TIME,MEM
0, 0
714, 552
720, 4768
728, 18724
733, 19326
740, 19730
744, 23470
748, 24664
752, 28944
756, 31220
760, 33348
765, 36420
771, 36508
774, 36852
779, 37013
782, 37145
787, 37171
792, 37318
796, 37329
801, 37662
805, 194798
810, 194881
814, 195612
818, 196334
822, 198562
827, 281790
834, 201078
841, 208238
845, 208227
849, 209203
853, 212833
857, 215773
862, 227406
866, 260415
870, 262097
874, 263830
878, 232496
882, 232580
886, 253405
890, 256751
894, 259871
898, 264532
902, 269023
906, 272757
910, 276740
914, 279803
918, 283389
924, 294300
930, 294300
937, 293079
941, 293871
945, 294515
949, 296636
953, 298223
959, 298518
963, 302889
967, 308739
972, 308756
977, 308571
981, 309026
985, 313555
989, 318910
993, 324369
997, 328858
1001, 334236
1008, 342201
1012, 344985
1016, 350099
1020, 356578
1024, 358239
1028, 364606
1035, 370168
1040, 370424
1044, 375662
1051, 375830
1055, 377426
1059, 377578
1065, 377830
1069, 445527
1073, 468322
1077, 468987
1081, 471505
1085, 488745
1090, 554809
1094, 475807
1098, 479057
1102, 489254
1106, 489931
1110, 492759
1114, 497661
1121, 500607
1125, 502745
1129, 505656
1133, 506931
1137, 508183
1141, 510087
1145, 511828
1149, 513689
1153, 515175
1157, 517235
1161, 521786
1165, 526120
1169, 527777
1173, 530738
1177, 534375
1181, 537258
1185, 540830
1189, 544665
1193, 550193
1197, 554525
1202, 563116
1207, 560932
1211, 562740
1215, 565527
1220, 567887
1224, 568311
1228, 570976
1232, 571004
1236, 571004
1241, 571102
1244, 571574
1250, 572134
1254, 572006
1259, 571746
1263, 572402
1270, 580834
1274, 581749
1280, 581640
1287, 581872
1291, 582982
1295, 581872
1299, 582522
1303, 634938
1307, 634379
1311, 635507
1315, 640878
1319, 645562
1323, 652379
1327, 647307
1331, 652414
1336, 661778
1340, 664961
1344, 669893
1349, 676683
1354, 680157
1357, 682703
1363, 683976
1367, 687588
1373, 688631
1377, 687573
1381, 693947
1388, 710974
1392, 712408
1396, 715989
1400, 768834
1404, 763842
1408, 762871
1413, 763022
1417, 776184
1421, 778811
1425, 782465
1429, 787136
1433, 786533
1437, 788503
1441, 789600
1445, 792672
1449, 798813
1453, 801776
1458, 792642
1462, 793338
1469, 795290
1473, 864344
1477, 869032
1481, 875463
1485, 881847
1489, 888992
1494, 900036
1498, 911988
1502, 917683
1506, 921732
1510, 926503
1514, 931137
1518, 937391
1522, 942136
1529, 950183
1533, 953895
1538, 959529
1542, 961628
1546, 965082
1550, 975804
1554, 982613
1558, 987917
1564, 996906
1571, 996287
1575, 2577749
1582, 2581079
1589, 2598621
1593, 2664701
1598, 2582592
1602, 2585226
1606, 2584418
1613, 2584998
1617, 2588946
1622, 2592830
1626, 2596894
1630, 2600870
1634, 2604073
1638, 2607401
1642, 2610605
1646, 2616174
1650, 2622434
1654, 2629476
1658, 2636507
1662, 2642287
1666, 2647203
1670, 2651447
1674, 2656633
1679, 2663039
1683, 2666210
1687, 2671563
1691, 2677152
1695, 2677920
1699, 2678366
1706, 2679384
1721, 2679688
1725, 2680320
1733, 6877504
1737, 7027496
1742, 7031011
1753, 7031307
1758, 7031979
