TIME,MEM
0, 0
500, 552
509, 18660
522, 24356
537, 36508
546, 37171
560, 194882
568, 196039
579, 281279
587, 202002
597, 208228
605, 211582
618, 227407
626, 262098
637, 232581
653, 261978
661, 275768
670, 294301
680, 293840
694, 298544
704, 308740
720, 315818
736, 338001
745, 342222
753, 353921
767, 370172
781, 375834
790, 377688
806, 468776
822, 472660
835, 480587
843, 490000
856, 500612
872, 509170
888, 513906
904, 521791
920, 534445
935, 554397
947, 563128
962, 565736
970, 568555
985, 571590
994, 572254
1002, 572641
1017, 581084
1026, 582390
1038, 583028
1054, 582137
1067, 636422
1083, 652764
1099, 660257
1107, 666951
1118, 678995
1130, 684228
1142, 687825
1157, 711465
1173, 764094
1189, 780199
1198, 786688
1211, 797301
1227, 793462
1235, 863215
1243, 875565
1251, 885676
1261, 900288
1269, 919937
1277, 929900
1285, 946026
1293, 954147
1301, 965348
1309, 988276
1317, 996948
1325, 2581344
1337, 2582744
1349, 2586910
1364, 2591342
1372, 2601124
1380, 2609239
1388, 2626752
1396, 2646230
1404, 2663007
1412, 2677454
1422, 2679894
1485, 2679942
1494, 6877758
1503, 7030689
1512, 7031537
1526, 7041756
1534, 7042527
1549, 7087985
1557, 7089057
1565, 7090296
1574, 7076530
1587, 7076482
1595, 7078978
1603, 7095146
1612, 7098008
1628, 7097920
1638, 7111634
1645, 7112658
1657, 7112746
1672, 7115738
1680, 40671260
1793, 40671308
1798, 40671400
1841, 40671456
1855, 74269221
1867, 74334913
1908, 74335313
1909, 74269713
2016, 74268569
2020, 40714137
2308, 74269058
2317, 74273972
2348, 74273964
2363, 107928117
2453, 107861373
2456, 74306709
2699, 74307134
2727, 74308136
2728, 74375017
2962, 74308530
2970, 74376413
3204, 74309926
3219, 74310928
3220, 74377809
3460, 74311322
3462, 74379205
3701, 74312718
3710, 74380601
3953, 74314114
3963, 74381997
4208, 74315510
4214, 74383393
4460, 74316906
4463, 74384789
4707, 74318302
4715, 74319092
4920, 107873797
4923, 242094515
6037, 242094151
6043, 174985239
6165, 174984575
6171, 141434559
6325, 141497520
6568, 141431033
6573, 141498916
6817, 141432429
6819, 141500312
7067, 141433825
7069, 141501708
7311, 141435221
7318, 141503104
7564, 141436617
7572, 141437139
7621, 141504788
7628, 141507654
7642, 141507064
7878, 141440577
7889, 141508460
8130, 141441973
8136, 141509856
8395, 141443369
8397, 141568780
8618, 141502301
8635, 141502918
8645, 141570920
8888, 141504433
8896, 141505127
8905, 141514979
8916, 253359991
9605, 253359491
9618, 141504979
9807, 141505531
9808, 141509627
