TIME,MEM
0, 0
672, 552
682, 4768
694, 18724
708, 19422
724, 27408
741, 36420
750, 36508
761, 37013
774, 37124
782, 37318
794, 37694
812, 196115
825, 196382
844, 281790
858, 203190
866, 208238
881, 209653
897, 227406
905, 263263
917, 257758
932, 263529
948, 278809
966, 294300
982, 294300
1000, 293871
1016, 296677
1027, 298518
1039, 308739
1048, 308756
1058, 308571
1074, 313555
1089, 324369
1097, 331175
1112, 342201
1129, 356578
1145, 365447
1155, 370168
1167, 375662
1178, 375830
1188, 377506
1204, 377830
1213, 468073
1229, 471505
1245, 474365
1258, 480582
1274, 498981
1290, 506857
1306, 512520
1315, 515165
1328, 523178
1346, 536814
1358, 554321
1370, 564548
1383, 567887
1399, 571004
1412, 572134
1421, 571746
1439, 582197
1451, 582874
1468, 582120
1484, 637446
1502, 649283
1515, 654479
1531, 671120
1544, 683939
1554, 687588
1564, 687573
1576, 710974
1590, 769480
1606, 765640
1614, 779297
1627, 787793
1643, 801526
1659, 793210
1675, 862762
1691, 879785
1700, 887198
1715, 911988
1724, 920266
1740, 940969
1756, 960246
1772, 988313
1785, 996463
1800, 2581079
1812, 2664701
1827, 2587858
1839, 2583879
1853, 2597043
1869, 2613921
1885, 2645445
1896, 2662753
1904, 2674752
1919, 2680320
1928, 6877504
1938, 7030474
1952, 7031282
1966, 7036770
1982, 7042272
1990, 7058519
2002, 7087839
2018, 7090037
2034, 7076744
2051, 7095060
2061, 7097750
2080, 7097662
2091, 7110696
2100, 7112400
2112, 7112488
2127, 7115480
2136, 40671002
2323, 40671050
2341, 40671198
2352, 40676854
2365, 74334611
2373, 74334655
2413, 74335055
2535, 74268311
2539, 40713647
2886, 74268800
2896, 74273822
2919, 74273706
2936, 107927859
3040, 107861115
3043, 74306451
3325, 74306876
3356, 74307878
3358, 74374759
3649, 74308272
3655, 74376155
3940, 74309668
3953, 74377551
4236, 74311064
4238, 74316002
4529, 74312460
4531, 74380343
4817, 74313856
4827, 74381739
5110, 74315252
5124, 74316254
5410, 74316648
5412, 74384531
5693, 74318044
5703, 74318834
5892, 107873539
5895, 208540041
7217, 208539677
7224, 141434581
7408, 141497542
7692, 141431055
7695, 141432057
7981, 141432451
7986, 141434347
8266, 141433847
8278, 141501730
8567, 141435243
8569, 141503126
8858, 141436639
8870, 141437641
8945, 141504810
8963, 141507134
8973, 141507086
9265, 141440599
9268, 141508482
9554, 141441995
9556, 141509878
9830, 141443391
9842, 141568850
9938, 141502323
9945, 141502427
9961, 141502939
10129, 141503211
10132, 141570942
10412, 141504455
10430, 141515001
10444, 253360013
11099, 253359513
11111, 141504721
11323, 141505273
11330, 96759721
11545, 141505118
11545, 275742432
12284, 275742532
12768, 275742516
12778, 186253060
13089, 231113381
13262, 231035957
13267, 186291021
13711, 186291446
13728, 186369861
14095, 186292694
14102, 186371109
14467, 186293942
14469, 186295329
14845, 186295190
14847, 186296184
15227, 186296438
15229, 186374853
15597, 186297686
15599, 186376101
15971, 186298934
15974, 186299950
16350, 186300182
16352, 186301198
16719, 186301430
16727, 186302446
17106, 186302678
17121, 141558789
17330, 141558821
17331, 275795787
18401, 275795771
18410, 186383660
18733, 186383628
18733, 186306229
19110, 186306461
19118, 186307477
19502, 186307709
19505, 186308725
19894, 186308957
19896, 186309973
20269, 186310205
20276, 186311221
20657, 186311453
20666, 186312469
21049, 186312701
21058, 186313717
21442, 186313949
21447, 186314965
21822, 186315197
21829, 186316213
22201, 186316445
22209, 186317461
22580, 186317693
22597, 186326202
22613, 186158072
22627, 186055956
22644, 181832266
22655, 181814159
22671, 180115194
22681, 180105957
22693, 180101783
22701, 180092428
22718, 179921234
22731, 179811719
22738, 179796366
22751, 179783498
22768, 179694323
22785, 179508050
22797, 179354614
22809, 179233487
22809, 179233455
22809, 179233399
22809, 179233343
22809, 179233287
22810, 179233255
22810, 179233215
22810, 179233183
22810, 179233151
22810, 179233103
22810, 179233063
22810, 179232999
22810, 179232951
22810, 179232919
22810, 179232887
22810, 179232855
22810, 179232823
22810, 179232775
22810, 179232727
22810, 179232679
22810, 179232647
22810, 179232615
22810, 179232591
22810, 179232551
22810, 179232519
22810, 179232487
22810, 179232455
22810, 179232367
22810, 179232279
22810, 179232247
22810, 179232215
22810, 179232159
22810, 179232111
22810, 179232063
22810, 179232015
22810, 179231983
22810, 179231943
22810, 179231895
22810, 179231863
22810, 179231831
22810, 179231783
22810, 179231751
22810, 179231703
22810, 179231663
22810, 179231623
22810, 179231591
22810, 179231559
22810, 179231527
22810, 179231463
22810, 179231431
22810, 179231399
22810, 179231343
22810, 179231311
22810, 179231279
22810, 179231247
22810, 179231215
22810, 179231183
22810, 179231135
22810, 179230255
22810, 179230238
22810, 179230338
22810, 179230352
22810, 179230252
22810, 179230238
22810, 179230338
22810, 179230349
22810, 179230249
22810, 179230238
22810, 179230198
22811, 179230006
22811, 179230558
22811, 179234654
22811, 179230558
22811, 179230006
22812, 179230558
22812, 179234654
22812, 179230558
22812, 179230006
22826, 179229989
22826, 179229965
22826, 179228941
22827, 179228605
22827, 179228269
22829, 179227101
22829, 179223005
