===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000117,0.000000,1571607950.868773,0,39160.000000,0.000000, ===
===,1,INIT-STOP,0,0.003257,0.000000,1571607950.871913,0,41824.000000,0.000000, ===
===,2,INIT,0,0.003285,0.003211,1571607950.871940,0,42020.000000,0.000000, ===
===,3,ITER,0,0.003313,0.000000,1571607950.871969,1,42020.000000,0.000000, ===
===,4,FAILURE-CHECK-START,0,0.003340,0.000000,1571607950.871995,1,42024.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,0,0.009521,0.000000,1571607950.878176,1,42024.000000,0.000000, ===
===,6,FAILURE-CHECK,0,0.009540,0.006214,1571607950.878196,1,42060.000000,0.000000, ===
===,7,CHECKPOINT-START,0,0.009563,0.000000,1571607950.878219,1,42060.000000,0.000000, ===
===,8,CHECKPOINT-PRE-NEW,0,0.009582,0.000000,1571607950.878238,1,42060.000000,0.000000, ===
===,9,CHECKPOINT-POST-NEW,0,0.096703,0.000000,1571607950.965359,1,92872.000000,5460.000000, ===
===,10,CHECKPOINT-STOP,0,0.096739,0.000000,1571607950.965395,1,92872.000000,5460.000000, ===
===,11,CHECKPOINT,0,0.096761,0.087209,1571607950.965416,1,92872.000000,5460.000000, ===
===,12,ITER,0,0.652911,0.000000,1571607951.521566,101,98404.000000,7596.718750, ===
===,13,COMM-ERROR,0,4.272713,0.000000,1571607955.141369,191,98944.000000,9519.765625, ===
===,14,ITER,0,4.319432,0.000000,1571607955.188088,201,99036.000000,9733.437500, ===
===,15,ITER,0,4.786444,0.000000,1571607955.655099,301,99096.000000,11870.156250, ===
===,16,ITER,0,5.253071,0.000000,1571607956.121727,401,99164.000000,14006.875000, ===
===,17,ITER,0,5.720595,0.000000,1571607956.589251,501,99252.000000,16143.593750, ===
===,18,FAILURE-CHECK-START,0,5.720637,0.000000,1571607956.589293,501,99292.000000,16143.593750, ===
===,19,FAILURE-CHECK-STOP,0,5.721307,0.000000,1571607956.589963,501,99292.000000,16143.593750, ===
===,20,FAILURE-CHECK,0,5.721340,0.000716,1571607956.589996,501,99292.000000,16143.593750, ===
===,21,FAILURE-DETECT,0,5.721372,0.000000,1571607956.590028,501,99292.000000,16143.593750, ===
===,22,RESTORE-START,0,5.721681,0.000000,1571607956.590337,501,99292.000000,16143.593750, ===
===,23,RESTORE-STOP,0,5.731105,0.000000,1571607956.599761,501,106016.000000,20214.992188, ===
===,24,RESTORE,0,5.731129,0.009493,1571607956.599785,501,106160.000000,20214.992188, ===
===,25,CHECKPOINT-START,0,5.731152,0.000000,1571607956.599808,501,106160.000000,20214.992188, ===
===,26,CHECKPOINT-PRE-NEW,0,5.731176,0.000000,1571607956.599832,501,106160.000000,10683.593750, ===
===,27,CHECKPOINT-POST-NEW,0,5.807008,0.000000,1571607956.675663,501,148596.000000,16258.914062, ===
===,28,CHECKPOINT-STOP,0,5.807038,0.000000,1571607956.675693,501,148668.000000,16258.914062, ===
===,29,CHECKPOINT,0,5.807057,0.075917,1571607956.675713,501,148668.000000,16258.914062, ===
===,30,ITER,0,6.298191,0.000000,1571607957.166847,101,151316.000000,18194.851562, ===
===,31,ITER,0,6.786434,0.000000,1571607957.655090,201,151476.000000,20130.789062, ===
===,32,ITER,0,7.280243,0.000000,1571607958.148899,301,151476.000000,22066.726562, ===
===,33,ITER,0,7.949143,0.000000,1571607958.817798,401,151476.000000,24002.664062, ===
===,34,ITER,0,8.508984,0.000000,1571607959.377640,501,151476.000000,25938.601562, ===
===,35,FAILURE-CHECK-START,0,8.509031,0.000000,1571607959.377687,501,151476.000000,25938.601562, ===
===,36,FAILURE-CHECK-STOP,0,8.509152,0.000000,1571607959.377808,501,151476.000000,25938.601562, ===
===,37,FAILURE-CHECK,0,8.509198,0.000187,1571607959.377853,501,151476.000000,25938.601562, ===
===,38,ITER,0,8.996395,0.000000,1571607959.865051,601,151476.000000,27874.539062, ===
===,39,ITER,0,9.486201,0.000000,1571607960.354857,701,151476.000000,29810.476562, ===
===,40,ITER,0,9.974754,0.000000,1571607960.843410,801,151476.000000,31746.414062, ===
===,41,ITER,0,10.465561,0.000000,1571607961.334217,901,151476.000000,33682.351562, ===
===,42,ITER,0,10.953956,0.000000,1571607961.822612,1001,151476.000000,35618.289062, ===
===,43,FAILURE-CHECK-START,0,10.954000,0.000000,1571607961.822656,1001,151476.000000,35618.289062, ===
===,44,FAILURE-CHECK-STOP,0,10.954135,0.000000,1571607961.822791,1001,151476.000000,35618.289062, ===
===,45,FAILURE-CHECK,0,10.954195,0.000214,1571607961.822851,1001,151476.000000,35618.289062, ===
===,46,ITER,0,11.443145,0.000000,1571607962.311800,1101,151476.000000,37554.226562, ===
===,47,ITER,0,11.930875,0.000000,1571607962.799531,1201,151476.000000,39490.164062, ===
===,48,ITER,0,12.419119,0.000000,1571607963.287775,1301,151476.000000,41426.101562, ===
===,49,ITER,0,12.907877,0.000000,1571607963.776533,1401,151476.000000,43362.039062, ===
===,50,ITER,0,13.395050,0.000000,1571607964.263706,1501,151476.000000,45297.976562, ===
===,51,FAILURE-CHECK-START,0,13.395094,0.000000,1571607964.263750,1501,151476.000000,45297.976562, ===
===,52,FAILURE-CHECK-STOP,0,13.395229,0.000000,1571607964.263885,1501,151476.000000,45297.976562, ===
===,53,FAILURE-CHECK,0,13.395289,0.000210,1571607964.263945,1501,151476.000000,45297.976562, ===
===,54,ITER,0,13.884383,0.000000,1571607964.753039,1601,151476.000000,47233.914062, ===
===,55,ITER,0,14.392590,0.000000,1571607965.261246,1701,151476.000000,49169.851562, ===
===,56,ITER,0,14.881070,0.000000,1571607965.749726,1801,151476.000000,51105.789062, ===
===,57,ITER,0,15.368346,0.000000,1571607966.237002,1901,151476.000000,53041.726562, ===
===,58,ITER,0,15.857264,0.000000,1571607966.725920,2001,151476.000000,54977.664062, ===
===,59,FAILURE-CHECK-START,0,15.857324,0.000000,1571607966.725980,2001,151476.000000,54977.664062, ===
===,60,FAILURE-CHECK-STOP,0,15.857395,0.000000,1571607966.726051,2001,151476.000000,54977.664062, ===
===,61,FAILURE-CHECK,0,15.857437,0.000146,1571607966.726093,2001,151476.000000,54977.664062, ===
===,62,CHECKPOINT-START,0,15.857470,0.000000,1571607966.726126,2001,151476.000000,54977.664062, ===
===,63,CHECKPOINT-PRE-NEW,0,15.857499,0.000000,1571607966.726155,2001,151476.000000,49402.343750, ===
===,64,CHECKPOINT-POST-NEW,0,15.937676,0.000000,1571607966.806332,2001,197348.000000,54977.664062, ===
===,65,CHECKPOINT-STOP,0,15.937707,0.000000,1571607966.806363,2001,197360.000000,54977.664062, ===
===,66,CHECKPOINT,0,15.937735,0.080286,1571607966.806391,2001,197360.000000,54977.664062, ===
===,67,ITER,0,16.425278,0.000000,1571607967.293934,2101,197360.000000,56913.601562, ===
===,68,ITER,0,16.914369,0.000000,1571607967.783024,2201,197360.000000,58849.539062, ===
===,69,ITER,0,17.402302,0.000000,1571607968.270957,2301,197360.000000,60785.476562, ===
===,70,ITER,0,17.891477,0.000000,1571607968.760133,2401,197360.000000,62721.414062, ===
===,71,ITER,0,18.379277,0.000000,1571607969.247933,2501,197360.000000,64657.351562, ===
===,72,FAILURE-CHECK-START,0,18.379319,0.000000,1571607969.247975,2501,197360.000000,64657.351562, ===
===,73,FAILURE-CHECK-STOP,0,18.379424,0.000000,1571607969.248080,2501,197360.000000,64657.351562, ===
===,74,FAILURE-CHECK,0,18.379469,0.000164,1571607969.248125,2501,197360.000000,64657.351562, ===
===,75,ITER,0,18.868691,0.000000,1571607969.737347,2601,197360.000000,66593.289062, ===
===,76,ITER,0,19.355967,0.000000,1571607970.224623,2701,197360.000000,68529.226562, ===
===,77,ITER,0,19.844590,0.000000,1571607970.713246,2801,197360.000000,70465.164062, ===
===,78,ITER,0,20.336701,0.000000,1571607971.205357,2901,197360.000000,72401.101562, ===
===,79,ITER,0,20.824759,0.000000,1571607971.693415,3001,197360.000000,74337.039062, ===
===,80,FAILURE-CHECK-START,0,20.824812,0.000000,1571607971.693468,3001,197360.000000,74337.039062, ===
===,81,FAILURE-CHECK-STOP,0,20.824899,0.000000,1571607971.693555,3001,197360.000000,74337.039062, ===
===,82,FAILURE-CHECK,0,20.824944,0.000161,1571607971.693600,3001,197360.000000,74337.039062, ===
===,83,ITER,0,21.314292,0.000000,1571607972.182948,3101,197360.000000,76272.976562, ===
===,84,ITER,0,21.802909,0.000000,1571607972.671565,3201,197360.000000,78208.914062, ===
===,85,ITER,0,22.291687,0.000000,1571607973.160343,3301,197360.000000,80144.851562, ===
===,86,ITER,0,22.779826,0.000000,1571607973.648481,3401,197360.000000,82080.789062, ===
===,87,ITER,0,23.268069,0.000000,1571607974.136725,3501,197360.000000,84016.726562, ===
===,88,FAILURE-CHECK-START,0,23.268119,0.000000,1571607974.136775,3501,197360.000000,84016.726562, ===
===,89,FAILURE-CHECK-STOP,0,23.268214,0.000000,1571607974.136870,3501,197360.000000,84016.726562, ===
===,90,FAILURE-CHECK,0,23.268269,0.000173,1571607974.136925,3501,197360.000000,84016.726562, ===
===,91,ITER,0,23.757457,0.000000,1571607974.626113,3601,197360.000000,85952.664062, ===
===,92,ITER,0,24.245968,0.000000,1571607975.114624,3701,197360.000000,87888.601562, ===
===,93,ITER,0,24.734162,0.000000,1571607975.602818,3801,197360.000000,89824.539062, ===
===,94,ITER,0,25.223130,0.000000,1571607976.091785,3901,197360.000000,91760.476562, ===
===,95,ITER,0,25.711662,0.000000,1571607976.580318,4001,197360.000000,93696.414062, ===
===,96,FAILURE-CHECK-START,0,25.711704,0.000000,1571607976.580360,4001,197360.000000,93696.414062, ===
===,97,FAILURE-CHECK-STOP,0,25.711812,0.000000,1571607976.580468,4001,197360.000000,93696.414062, ===
===,98,FAILURE-CHECK,0,25.711873,0.000185,1571607976.580529,4001,197360.000000,93696.414062, ===
===,99,CHECKPOINT-START,0,25.711973,0.000000,1571607976.580629,4001,197360.000000,93696.414062, ===
===,100,CHECKPOINT-PRE-NEW,0,25.712015,0.000000,1571607976.580671,4001,197360.000000,88121.093750, ===
===,101,CHECKPOINT-POST-NEW,0,25.799772,0.000000,1571607976.668428,4001,241716.000000,93696.414062, ===
===,102,CHECKPOINT-STOP,0,25.799802,0.000000,1571607976.668458,4001,241736.000000,93696.414062, ===
===,103,CHECKPOINT,0,25.799821,0.087870,1571607976.668477,4001,241736.000000,93696.414062, ===
===,104,ITER,0,26.287618,0.000000,1571607977.156274,4101,241736.000000,95632.351562, ===
===,105,ITER,0,26.788489,0.000000,1571607977.657145,4201,241736.000000,97568.289062, ===
===,106,ITER,0,27.278363,0.000000,1571607978.147019,4301,241736.000000,99504.226562, ===
===,107,ITER,0,27.768037,0.000000,1571607978.636693,4401,241736.000000,101440.164062, ===
