===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000147,0.000000,1572908682.089866,0,40220.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.151523,0.000000,1572908682.241242,0,55892.000000,102.203125, ===
===,2,INIT,0,0.151568,0.151473,1572908682.241286,0,56116.000000,102.203125, ===
===,3,FAILURE-DETECT,0,0.151591,0.000000,1572908682.241310,0,56116.000000,102.203125, ===
===,4,CHECKPOINT-START,0,0.158206,0.000000,1572908682.247925,0,56116.000000,102.203125, ===
===,5,CHECKPOINT-STOP,0,0.937280,0.000000,1572908683.026999,0,122740.000000,38648.101562, ===
===,6,CHECKPOINT,0,0.937311,0.779129,1572908683.027030,0,122916.000000,38648.101562, ===
===,7,FAILURE-DETECT,0,1.144989,0.000000,1572908683.234707,5,123176.000000,39104.226562, ===
===,8,FAILURE-DETECT,0,3.023902,0.000000,1572908685.113621,50,123196.000000,43209.421875, ===
===,9,FAILURE-DETECT,0,5.107685,0.000000,1572908687.197404,100,123196.000000,47770.750000, ===
===,10,FAILURE-DETECT,0,7.191422,0.000000,1572908689.281141,150,123196.000000,52332.078125, ===
===,11,FAILURE-DETECT,0,9.274268,0.000000,1572908691.363987,200,123196.000000,56893.406250, ===
===,12,CHECKPOINT-START,0,9.275322,0.000000,1572908691.365041,200,119960.000000,18347.507812, ===
===,13,CHECKPOINT-STOP,0,10.020178,0.000000,1572908692.109897,200,153484.000000,56893.406250, ===
===,14,CHECKPOINT,0,10.020211,0.744916,1572908692.109929,200,153696.000000,56893.406250, ===
===,15,FAILURE-DETECT,0,12.104584,0.000000,1572908694.194303,250,153696.000000,61454.734375, ===
===,16,FAILURE-DETECT,0,14.192007,0.000000,1572908696.281726,300,153696.000000,66016.062500, ===
===,17,COMM-ERROR,0,17.477240,0.000000,1572908699.566958,316,153696.000000,67475.687500, ===
===,18,FAILURE-DETECT,0,18.854048,0.000000,1572908700.943767,350,154492.000000,70577.390625, ===
===,19,RESTORE-START,0,18.854127,0.000000,1572908700.943846,350,154744.000000,70577.390625, ===
===,20,COMM-ERROR,0,18.854437,0.000000,1572908700.944156,350,154744.000000,70577.390625, ===
===,21,RESTORE-STOP,0,19.180418,0.000000,1572908701.270136,350,287244.000000,70577.398438, ===
===,22,RESTORE,0,19.180445,0.326338,1572908701.270163,350,287244.000000,70577.398438, ===
===,23,FAILURE-DETECT,0,67.093532,0.000000,1572908749.183251,250,291520.000000,70577.398438, ===
===,24,FAILURE-DETECT,0,115.023514,0.000000,1572908797.113233,300,291520.000000,70577.398438, ===
===,25,FAILURE-DETECT,0,162.959854,0.000000,1572908845.049573,350,291520.000000,70577.398438, ===
===,26,FAILURE-DETECT,0,210.903479,0.000000,1572908892.993197,400,291520.000000,70577.398438, ===
===,27,CHECKPOINT-START,0,210.903590,0.000000,1572908892.993308,400,291708.000000,32031.500000, ===
===,28,CHECKPOINT-STOP,0,211.017447,0.000000,1572908893.107166,400,295400.000000,32031.500000, ===
===,29,CHECKPOINT,0,211.017482,0.113910,1572908893.107200,400,295600.000000,32031.500000, ===
===,30,FAILURE-DETECT,0,258.981596,0.000000,1572908941.071315,450,299876.000000,32031.500000, ===
===,31,FAILURE-DETECT,0,306.951789,0.000000,1572908989.041507,500,299876.000000,32031.500000, ===
===,32,FAILURE-DETECT,0,354.927599,0.000000,1572909037.017318,550,299876.000000,32031.500000, ===
===,33,FAILURE-DETECT,0,402.914315,0.000000,1572909085.004034,600,299876.000000,32031.500000, ===
===,34,CHECKPOINT-START,0,402.914421,0.000000,1572909085.004140,600,299876.000000,32031.500000, ===
===,35,CHECKPOINT-STOP,0,403.027628,0.000000,1572909085.117347,600,302512.000000,32031.500000, ===
===,36,CHECKPOINT,0,403.027662,0.113259,1572909085.117380,600,302552.000000,32031.500000, ===
===,37,FAILURE-DETECT,0,450.988143,0.000000,1572909133.077862,650,306824.000000,32031.500000, ===
===,38,FAILURE-DETECT,0,498.948833,0.000000,1572909181.038552,700,306824.000000,32031.500000, ===
===,39,FAILURE-DETECT,0,546.914100,0.000000,1572909229.003819,750,306824.000000,32031.500000, ===
===,40,FAILURE-DETECT,0,594.890485,0.000000,1572909276.980204,800,306824.000000,32031.500000, ===
===,41,CHECKPOINT-START,0,594.890598,0.000000,1572909276.980317,800,306824.000000,32031.500000, ===
===,42,CHECKPOINT-STOP,0,595.004151,0.000000,1572909277.093870,800,309460.000000,32031.500000, ===
===,43,CHECKPOINT,0,595.004185,0.113606,1572909277.093904,800,309684.000000,32031.500000, ===
===,44,FAILURE-DETECT,0,643.012134,0.000000,1572909325.101853,850,313960.000000,32031.500000, ===
===,45,FAILURE-DETECT,0,691.033311,0.000000,1572909373.123030,900,313960.000000,32031.500000, ===
===,46,FAILURE-DETECT,0,739.058687,0.000000,1572909421.148406,950,313960.000000,32031.500000, ===
===,47,FAILURE-DETECT,0,787.095140,0.000000,1572909469.184858,1000,313960.000000,32031.500000, ===
===,48,CHECKPOINT-START,0,787.095255,0.000000,1572909469.184974,1000,313960.000000,32031.500000, ===
===,49,CHECKPOINT-STOP,0,787.208986,0.000000,1572909469.298705,1000,316596.000000,32031.500000, ===
===,50,CHECKPOINT,0,787.209019,0.113785,1572909469.298738,1000,316636.000000,32031.500000, ===
===,51,FAILURE-DETECT,0,835.262997,0.000000,1572909517.352716,1050,320908.000000,32031.500000, ===
===,52,FAILURE-DETECT,0,883.329328,0.000000,1572909565.419047,1100,320908.000000,32031.500000, ===
===,53,FAILURE-DETECT,0,931.390857,0.000000,1572909613.480576,1150,320908.000000,32031.500000, ===
===,54,FAILURE-DETECT,0,979.458481,0.000000,1572909661.548199,1200,320908.000000,32031.500000, ===
===,55,CHECKPOINT-START,0,979.458595,0.000000,1572909661.548314,1200,320908.000000,32031.500000, ===
===,56,CHECKPOINT-STOP,0,979.572267,0.000000,1572909661.661986,1200,323544.000000,32031.500000, ===
===,57,CHECKPOINT,0,979.572301,0.113727,1572909661.662020,1200,323588.000000,32031.500000, ===
===,58,FAILURE-DETECT,0,1027.595882,0.000000,1572909709.685601,1250,327860.000000,32031.500000, ===
===,59,FAILURE-DETECT,0,1075.622972,0.000000,1572909757.712690,1300,327860.000000,32031.500000, ===
===,60,FINALIZE-START,0,1114.043168,0.000000,1572909796.132887,1339,327860.000000,32031.500000, ===
===,61,FINALIZE-STOP,0,1116.307273,0.000000,1572909798.396992,1339,297212.000000,32031.515625, ===
===,62,FINALIZE,0,1116.307311,2.264219,1572909798.397030,1339,297212.000000,32031.515625, ===
===,0,INIT-START,1,0.000084,0.000000,1572908682.091401,0,40184.000000,0.000000, ===
===,1,INIT-STOP,1,0.149951,0.000000,1572908682.241268,0,56588.000000,138.218750, ===
===,2,INIT,1,0.149999,0.149962,1572908682.241315,0,56804.000000,138.218750, ===
===,3,FAILURE-DETECT,1,0.150027,0.000000,1572908682.241344,0,56804.000000,138.218750, ===
===,4,CHECKPOINT-START,1,0.154237,0.000000,1572908682.245554,0,56804.000000,138.218750, ===
===,5,CHECKPOINT-STOP,1,0.935576,0.000000,1572908683.026893,0,123056.000000,38684.117188, ===
===,6,CHECKPOINT,1,0.935609,0.781389,1572908683.026925,0,123096.000000,38684.117188, ===
===,7,FAILURE-DETECT,1,1.144425,0.000000,1572908683.235742,5,123356.000000,39300.789062, ===
===,8,FAILURE-DETECT,1,3.023264,0.000000,1572908685.114581,50,123528.000000,44850.906250, ===
===,9,FAILURE-DETECT,1,5.107032,0.000000,1572908687.198349,100,123528.000000,51017.703125, ===
