===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.011315,0.000000,1572348644.307815,0,55424.000000,0.000000, ===
===,1,INIT-STOP,0,0.161258,0.000000,1572348644.457849,0,88768.000000,0.000000, ===
===,2,INIT,0,0.161903,0.153037,1572348644.458436,0,88768.000000,0.000000, ===
===,3,ITER,0,0.162463,0.000000,1572348644.459054,1,88776.000000,0.000000, ===
===,4,FAILURE-CHECK-START,0,0.162916,0.000000,1572348644.459509,1,88776.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,0,0.210988,0.000000,1572348644.507569,1,88908.000000,0.000000, ===
===,6,FAILURE-CHECK,0,0.211646,0.048868,1572348644.508200,1,88912.000000,0.000000, ===
===,7,ITER,0,0.714339,0.000000,1572348645.010941,2,122312.000000,64.023438, ===
===,8,ITER,0,1.091226,0.000000,1572348645.387830,3,122548.000000,128.046875, ===
===,9,ITER,0,1.331070,0.000000,1572348645.627673,4,122568.000000,192.070312, ===
===,10,ITER,0,1.582650,0.000000,1572348645.879253,5,122580.000000,256.093750, ===
===,11,ITER,0,1.825383,0.000000,1572348646.121986,6,122580.000000,320.117188, ===
===,12,ITER,0,2.073456,0.000000,1572348646.370060,7,122592.000000,384.140625, ===
===,13,ITER,0,2.326427,0.000000,1572348646.623030,8,122612.000000,448.164062, ===
===,14,ITER,0,2.577029,0.000000,1572348646.873632,9,122616.000000,512.187500, ===
===,15,ITER,0,2.826442,0.000000,1572348647.123045,10,122616.000000,576.210938, ===
===,16,ITER,0,3.074659,0.000000,1572348647.371262,11,122616.000000,640.234375, ===
===,17,FAILURE-CHECK-START,0,3.074939,0.000000,1572348647.371543,11,122616.000000,640.234375, ===
===,18,FAILURE-CHECK-STOP,0,3.076212,0.000000,1572348647.372815,11,122620.000000,640.234375, ===
===,19,FAILURE-CHECK,0,3.076380,0.001650,1572348647.372981,11,122620.000000,640.234375, ===
===,20,CHECKPOINT-START,0,3.076752,0.000000,1572348647.373316,11,122624.000000,640.234375, ===
===,21,CHECKPOINT-PRE-NEW,0,3.077474,0.000000,1572348647.374060,11,122628.000000,640.234375, ===
===,22,CHECKPOINT-POST-NEW,0,4.687785,0.000000,1572348648.984376,11,205108.000000,66176.234375, ===
===,23,CHECKPOINT-STOP,0,4.688225,0.000000,1572348648.984817,11,205112.000000,66176.234375, ===
===,24,CHECKPOINT,0,4.688583,1.612075,1572348648.985130,11,205112.000000,66176.234375, ===
===,25,ITER,0,4.936065,0.000000,1572348649.232668,12,205136.000000,66240.257812, ===
===,26,ITER,0,5.182008,0.000000,1572348649.478611,13,205136.000000,66304.281250, ===
===,27,ITER,0,5.432179,0.000000,1572348649.728782,14,205140.000000,66368.304688, ===
===,28,ITER,0,5.681551,0.000000,1572348649.978154,15,205156.000000,66432.328125, ===
===,29,ITER,0,5.936123,0.000000,1572348650.232726,16,205164.000000,66496.351562, ===
===,30,COMM-ERROR,0,6.004922,0.000000,1572348650.301489,16,205256.000000,66496.351562, ===
===,31,ITER,0,6.242113,0.000000,1572348650.538716,17,205264.000000,66560.375000, ===
===,32,ITER,0,6.493001,0.000000,1572348650.789604,18,205264.000000,66624.398438, ===
===,33,ITER,0,6.758926,0.000000,1572348651.055529,19,205324.000000,66688.421875, ===
===,34,ITER,0,7.008211,0.000000,1572348651.304814,20,205324.000000,66752.445312, ===
===,35,ITER,0,7.252096,0.000000,1572348651.548698,21,205332.000000,66816.468750, ===
===,36,FAILURE-CHECK-START,0,7.252254,0.000000,1572348651.548858,21,205332.000000,66816.468750, ===
===,37,FAILURE-CHECK-STOP,0,7.257722,0.000000,1572348651.554326,21,205360.000000,66816.468750, ===
===,38,FAILURE-CHECK,0,7.257913,0.005734,1572348651.554515,21,205360.000000,66816.468750, ===
===,39,FAILURE-DETECT,0,7.258223,0.000000,1572348651.554815,21,205360.000000,66816.468750, ===
===,40,RESTORE-START,0,7.267587,0.000000,1572348651.564179,21,205424.000000,66816.468750, ===
===,41,RESTORE-STOP,0,7.928693,0.000000,1572348652.225278,21,200192.000000,132352.468750, ===
===,42,RESTORE,0,7.929370,0.661950,1572348652.225895,21,200192.000000,132352.468750, ===
===,43,CHECKPOINT-START,0,7.929907,0.000000,1572348652.226511,21,200196.000000,132352.468750, ===
===,44,CHECKPOINT-PRE-NEW,0,7.930559,0.000000,1572348652.227162,21,200196.000000,1280.468750, ===
===,45,CHECKPOINT-POST-NEW,0,9.483899,0.000000,1572348653.780496,21,290328.000000,88656.468750, ===
===,46,CHECKPOINT-STOP,0,9.484214,0.000000,1572348653.780817,21,290328.000000,88656.468750, ===
===,47,CHECKPOINT,0,9.484363,1.554669,1572348653.780963,21,290328.000000,88656.468750, ===
===,48,ITER,0,10.034790,0.000000,1572348654.331393,12,334084.000000,88720.492188, ===
===,49,ITER,0,10.365822,0.000000,1572348654.662426,13,334100.000000,88784.515625, ===
===,50,ITER,0,10.692334,0.000000,1572348654.988936,14,334100.000000,88848.539062, ===
===,51,ITER,0,11.031973,0.000000,1572348655.328576,15,334104.000000,88912.562500, ===
===,52,ITER,0,11.361720,0.000000,1572348655.658306,16,334104.000000,88976.585938, ===
===,53,ITER,0,11.712498,0.000000,1572348656.009101,17,334108.000000,89040.609375, ===
===,54,ITER,0,12.044477,0.000000,1572348656.341080,18,334108.000000,89104.632812, ===
===,55,ITER,0,12.372549,0.000000,1572348656.669152,19,334112.000000,89168.656250, ===
===,56,ITER,0,12.699461,0.000000,1572348656.996065,20,334112.000000,89232.679688, ===
===,57,ITER,0,13.022611,0.000000,1572348657.319215,21,334112.000000,89296.703125, ===
===,58,FAILURE-CHECK-START,0,13.022898,0.000000,1572348657.319502,21,334112.000000,89296.703125, ===
===,59,FAILURE-CHECK-STOP,0,13.025249,0.000000,1572348657.321852,21,334116.000000,89296.703125, ===
===,60,FAILURE-CHECK,0,13.025519,0.002796,1572348657.322119,21,334116.000000,89296.703125, ===
===,61,CHECKPOINT-START,0,13.025753,0.000000,1572348657.322356,21,334116.000000,89296.703125, ===
===,62,CHECKPOINT-PRE-NEW,0,13.026029,0.000000,1572348657.322617,21,334116.000000,1920.703125, ===
===,63,CHECKPOINT-POST-NEW,0,14.691794,0.000000,1572348658.988395,21,424232.000000,89296.703125, ===
===,64,CHECKPOINT-STOP,0,14.692032,0.000000,1572348658.988635,21,424232.000000,89296.703125, ===
===,65,CHECKPOINT,0,14.692219,1.666636,1572348658.988819,21,424232.000000,89296.703125, ===
===,66,ITER,0,15.021463,0.000000,1572348659.318064,22,424240.000000,89360.726562, ===
===,67,ITER,0,15.350128,0.000000,1572348659.646731,23,424240.000000,89424.750000, ===
===,68,ITER,0,15.676321,0.000000,1572348659.972924,24,424244.000000,89488.773438, ===
===,69,ITER,0,16.008928,0.000000,1572348660.305531,25,424244.000000,89552.796875, ===
===,70,ITER,0,16.336304,0.000000,1572348660.632907,26,424244.000000,89616.820312, ===
===,71,ITER,0,16.671900,0.000000,1572348660.968503,27,424248.000000,89680.843750, ===
===,72,ITER,0,16.999667,0.000000,1572348661.296270,28,424248.000000,89744.867188, ===
===,73,ITER,0,17.321891,0.000000,1572348661.618494,29,424252.000000,89808.890625, ===
===,74,ITER,0,17.661793,0.000000,1572348661.958396,30,424252.000000,89872.914062, ===
===,75,FINALIZE-START,0,18.033626,0.000000,1572348662.330217,30,424256.000000,89936.937500, ===
===,76,FINALIZE-STOP,0,18.209926,0.000000,1572348662.506518,30,417960.000000,89936.937500, ===
===,77,FINALIZE,0,18.210356,0.176912,1572348662.506916,30,417960.000000,89936.937500, ===
===,0,INIT-START,1,0.006900,0.000000,1572348644.302844,0,55292.000000,0.000000, ===
===,1,INIT-STOP,1,0.191173,0.000000,1572348644.487170,0,88376.000000,0.000000, ===
===,2,INIT,1,0.191734,0.186305,1572348644.487656,0,88376.000000,0.000000, ===
===,3,ITER,1,0.192433,0.000000,1572348644.488432,1,88384.000000,0.000000, ===
===,4,FAILURE-CHECK-START,1,0.193027,0.000000,1572348644.489026,1,88392.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,1,0.209157,0.000000,1572348644.505161,1,88524.000000,0.000000, ===
===,6,FAILURE-CHECK,1,0.209637,0.016793,1572348644.505587,1,88524.000000,0.000000, ===
===,7,ITER,1,0.713387,0.000000,1572348645.009401,2,121800.000000,64.023438, ===
===,8,ITER,1,1.092277,0.000000,1572348645.388293,3,121892.000000,128.046875, ===
===,9,ITER,1,1.331763,0.000000,1572348645.627778,4,121924.000000,192.070312, ===
===,10,ITER,1,1.583666,0.000000,1572348645.879682,5,121940.000000,256.093750, ===
===,11,ITER,1,1.825982,0.000000,1572348646.121998,6,121940.000000,320.117188, ===
===,12,ITER,1,2.073905,0.000000,1572348646.369920,7,121948.000000,384.140625, ===
===,13,ITER,1,2.326934,0.000000,1572348646.622949,8,121952.000000,448.164062, ===
===,14,ITER,1,2.577505,0.000000,1572348646.873520,9,121960.000000,512.187500, ===
===,15,ITER,1,2.826992,0.000000,1572348647.123007,10,121960.000000,576.210938, ===
===,16,ITER,1,3.075153,0.000000,1572348647.371168,11,121960.000000,640.234375, ===
===,17,FAILURE-CHECK-START,1,3.075324,0.000000,1572348647.371337,11,121960.000000,640.234375, ===
===,18,FAILURE-CHECK-STOP,1,3.076800,0.000000,1572348647.372815,11,121964.000000,640.234375, ===
===,19,FAILURE-CHECK,1,3.076968,0.001743,1572348647.372981,11,121964.000000,640.234375, ===
===,20,CHECKPOINT-START,1,3.077365,0.000000,1572348647.373345,11,121964.000000,640.234375, ===
===,21,CHECKPOINT-PRE-NEW,1,3.078062,0.000000,1572348647.374060,11,121972.000000,640.234375, ===
===,22,CHECKPOINT-POST-NEW,1,3.960312,0.000000,1572348648.256316,11,187752.000000,66176.234375, ===
===,23,CHECKPOINT-STOP,1,3.960725,0.000000,1572348648.256727,11,187752.000000,66176.234375, ===
===,24,CHECKPOINT,1,3.961082,0.883968,1572348648.257029,11,187756.000000,66176.234375, ===
===,25,ITER,1,4.936646,0.000000,1572348649.232660,12,187764.000000,66240.257812, ===
===,26,ITER,1,5.182571,0.000000,1572348649.478587,13,187780.000000,66304.281250, ===
===,27,ITER,1,5.432773,0.000000,1572348649.728788,14,187784.000000,66368.304688, ===
===,28,ITER,1,5.682014,0.000000,1572348649.978029,15,187784.000000,66432.328125, ===
===,29,ITER,1,5.936587,0.000000,1572348650.232602,16,187792.000000,66496.351562, ===
===,30,FAILURE-GENERATE,1,5.937361,0.000000,1572348650.233360,16,187792.000000,960.351562, ===
===,0,INIT-START,2,0.006483,0.000000,1572348644.303917,0,55388.000000,0.000000, ===
===,1,INIT-STOP,2,0.152603,0.000000,1572348644.450096,0,88732.000000,0.000000, ===
===,2,INIT,2,0.153050,0.148261,1572348644.450489,0,88732.000000,0.000000, ===
===,3,ITER,2,0.153683,0.000000,1572348644.451177,1,88744.000000,0.000000, ===
===,4,FAILURE-CHECK-START,2,0.154143,0.000000,1572348644.451638,1,88744.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,2,0.207884,0.000000,1572348644.505378,1,88860.000000,0.000000, ===
===,6,FAILURE-CHECK,2,0.208474,0.054440,1572348644.505898,1,88864.000000,0.000000, ===
===,7,ITER,2,0.713030,0.000000,1572348645.010534,2,122276.000000,64.023438, ===
===,8,ITER,2,1.090297,0.000000,1572348645.387802,3,122508.000000,128.046875, ===
===,9,ITER,2,1.330184,0.000000,1572348645.627689,4,122528.000000,192.070312, ===
===,10,ITER,2,1.581740,0.000000,1572348645.879245,5,122552.000000,256.093750, ===
===,11,ITER,2,1.824443,0.000000,1572348646.121949,6,122552.000000,320.117188, ===
===,12,ITER,2,2.072521,0.000000,1572348646.370025,7,122564.000000,384.140625, ===
===,13,ITER,2,2.325508,0.000000,1572348646.623013,8,122564.000000,448.164062, ===
===,14,ITER,2,2.576041,0.000000,1572348646.873547,9,122568.000000,512.187500, ===
===,15,ITER,2,2.825498,0.000000,1572348647.123004,10,122568.000000,576.210938, ===
===,16,ITER,2,3.073677,0.000000,1572348647.371182,11,122568.000000,640.234375, ===
===,17,FAILURE-CHECK-START,2,3.073812,0.000000,1572348647.371317,11,122568.000000,640.234375, ===
===,18,FAILURE-CHECK-STOP,2,3.075251,0.000000,1572348647.372756,11,122572.000000,640.234375, ===
===,19,FAILURE-CHECK,2,3.075437,0.001704,1572348647.372940,11,122572.000000,640.234375, ===
