===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.005930,0.000000,1572212481.004496,0,39952.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,0,INIT-START,1,0.008654,0.000000,1572212481.006531,0,39904.000000,0.000000, ===
===,0,INIT-START,2,0.014334,0.000000,1572212481.008989,0,39996.000000,0.000000, ===
===,0,INIT-START,3,0.000120,0.000000,1572212481.005225,0,39968.000000,0.000000, ===
===,0,INIT-START,4,0.005778,0.000000,1572212481.005845,0,39876.000000,0.000000, ===
===,0,INIT-START,5,0.013039,0.000000,1572212481.009748,0,39860.000000,0.000000, ===
===,0,INIT-START,6,0.006802,0.000000,1572212481.006145,0,39956.000000,0.000000, ===
===,0,INIT-START,7,0.000091,0.000000,1572212481.008838,0,40016.000000,0.000000, ===
===,0,INIT-START,8,0.004308,0.000000,1572212481.007745,0,39928.000000,0.000000, ===
===,0,INIT-START,9,0.000079,0.000000,1572212481.009567,0,39940.000000,0.000000, ===
===,0,INIT-START,10,0.002098,0.000000,1572212481.005223,0,39940.000000,0.000000, ===
===,0,INIT-START,11,0.014193,0.000000,1572212481.009745,0,39908.000000,0.000000, ===
===,0,INIT-START,12,0.000084,0.000000,1572212481.006826,0,39968.000000,0.000000, ===
===,0,INIT-START,13,0.000205,0.000000,1572212481.007380,0,39836.000000,0.000000, ===
===,0,INIT-START,14,0.000167,0.000000,1572212481.008699,0,40552.000000,0.000000, ===
===,0,INIT-START,15,0.009111,0.000000,1572212481.009558,0,40012.000000,0.000000, ===
===,0,INIT-START,16,0.000087,0.000000,1572212481.009657,0,39912.000000,0.000000, ===
===,0,INIT-START,17,0.005964,0.000000,1572212481.008695,0,39856.000000,0.000000, ===
===,0,INIT-START,18,0.010893,0.000000,1572212481.009193,0,39912.000000,0.000000, ===
===,0,INIT-START,19,0.010666,0.000000,1572212481.008133,0,39908.000000,0.000000, ===
===,0,INIT-START,20,0.000086,0.000000,1572212481.009757,0,39944.000000,0.000000, ===
===,0,INIT-START,21,0.000083,0.000000,1572212481.004940,0,39944.000000,0.000000, ===
===,0,INIT-START,22,0.013240,0.000000,1572212481.007903,0,39904.000000,0.000000, ===
===,0,INIT-START,23,0.011340,0.000000,1572212481.008526,0,39988.000000,0.000000, ===
===,0,INIT-START,24,0.000624,0.000000,1572212481.004415,0,39940.000000,0.000000, ===
===,0,INIT-START,25,0.013711,0.000000,1572212481.009689,0,39988.000000,0.000000, ===
===,0,INIT-START,26,0.005600,0.000000,1572212481.007383,0,39924.000000,0.000000, ===
===,0,INIT-START,27,0.000222,0.000000,1572212481.007044,0,40008.000000,0.000000, ===
===,0,INIT-START,28,0.000088,0.000000,1572212481.009687,0,40012.000000,0.000000, ===
===,0,INIT-START,29,0.000087,0.000000,1572212481.004793,0,39940.000000,0.000000, ===
===,0,INIT-START,30,0.000336,0.000000,1572212481.005845,0,40004.000000,0.000000, ===
===,0,INIT-START,31,0.000361,0.000000,1572212481.004418,0,39796.000000,0.000000, ===
===,0,INIT-START,32,0.014871,0.000000,1572212481.009471,0,39896.000000,0.000000, ===
===,0,INIT-START,33,0.000126,0.000000,1572212481.008990,0,39992.000000,0.000000, ===
===,0,INIT-START,34,0.014558,0.000000,1572212481.009473,0,39992.000000,0.000000, ===
===,0,INIT-START,35,0.007140,0.000000,1572212481.006299,0,40000.000000,0.000000, ===
===,0,INIT-START,36,0.000178,0.000000,1572212481.009476,0,39752.000000,0.000000, ===
===,0,INIT-START,37,0.000120,0.000000,1572212481.008136,0,40016.000000,0.000000, ===
===,0,INIT-START,38,0.006002,0.000000,1572212481.005799,0,39920.000000,0.000000, ===
===,0,INIT-START,39,0.000082,0.000000,1572212481.009302,0,40292.000000,0.000000, ===
===,0,INIT-START,40,0.009223,0.000000,1572212481.005494,0,39904.000000,0.000000, ===
===,0,INIT-START,41,0.010970,0.000000,1572212481.006597,0,39932.000000,0.000000, ===
===,0,INIT-START,42,0.012384,0.000000,1572212481.007042,0,40292.000000,0.000000, ===
===,0,INIT-START,43,0.000090,0.000000,1572212481.009722,0,39928.000000,0.000000, ===
===,0,INIT-START,44,0.000085,0.000000,1572212481.008314,0,40196.000000,0.000000, ===
===,0,INIT-START,45,0.000182,0.000000,1572212481.008519,0,39952.000000,0.000000, ===
===,0,INIT-START,46,0.011354,0.000000,1572212481.007744,0,39924.000000,0.000000, ===
===,0,INIT-START,47,0.000145,0.000000,1572212481.009187,0,40000.000000,0.000000, ===
