===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000115,0.000000,1571616792.426810,0,38640.000000,0.000000, ===
===,1,INIT-STOP,0,0.002788,0.000000,1571616792.429483,0,41888.000000,0.000000, ===
===,2,INIT,0,0.002811,0.002740,1571616792.429506,0,42084.000000,0.000000, ===
===,3,ITER,0,0.002838,0.000000,1571616792.429533,1,42084.000000,0.000000, ===
===,4,FAILURE-CHECK-START,0,0.002860,0.000000,1571616792.429555,1,42088.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,0,0.004243,0.000000,1571616792.430938,1,42088.000000,0.000000, ===
===,6,FAILURE-CHECK,0,0.004263,0.001416,1571616792.430957,1,42124.000000,0.000000, ===
===,7,CHECKPOINT-START,0,0.004285,0.000000,1571616792.430980,1,42124.000000,0.000000, ===
===,8,CHECKPOINT-PRE-NEW,0,0.004304,0.000000,1571616792.430998,1,42124.000000,0.000000, ===
===,9,CHECKPOINT-POST-NEW,0,0.091428,0.000000,1571616792.518123,1,91944.000000,5460.000000, ===
===,10,CHECKPOINT-STOP,0,0.091458,0.000000,1571616792.518153,1,91944.000000,5460.000000, ===
===,11,CHECKPOINT,0,0.091474,0.087202,1571616792.518168,1,91944.000000,5460.000000, ===
===,12,ITER,0,0.713423,0.000000,1571616793.140118,101,97476.000000,7596.718750, ===
===,13,ITER,0,1.204053,0.000000,1571616793.630748,201,97656.000000,9733.437500, ===
===,14,ITER,0,1.693524,0.000000,1571616794.120219,301,97656.000000,11870.156250, ===
===,15,ITER,0,2.186250,0.000000,1571616794.612945,401,97656.000000,14006.875000, ===
===,16,ITER,0,2.675509,0.000000,1571616795.102204,501,97656.000000,16143.593750, ===
===,17,FAILURE-CHECK-START,0,2.675553,0.000000,1571616795.102248,501,97656.000000,16143.593750, ===
===,18,FAILURE-CHECK-STOP,0,2.675671,0.000000,1571616795.102366,501,97656.000000,16143.593750, ===
===,19,FAILURE-CHECK,0,2.675724,0.000186,1571616795.102419,501,97656.000000,16143.593750, ===
===,20,ITER,0,3.167149,0.000000,1571616795.593844,601,97656.000000,18280.312500, ===
===,21,ITER,0,3.656829,0.000000,1571616796.083524,701,97656.000000,20417.031250, ===
===,22,ITER,0,4.147861,0.000000,1571616796.574556,801,97656.000000,22553.750000, ===
===,23,ITER,0,4.653741,0.000000,1571616797.080436,901,97656.000000,24690.468750, ===
===,24,ITER,0,5.145486,0.000000,1571616797.572180,1001,97656.000000,26827.187500, ===
===,25,FAILURE-CHECK-START,0,5.145528,0.000000,1571616797.572223,1001,97656.000000,26827.187500, ===
===,26,FAILURE-CHECK-STOP,0,5.145628,0.000000,1571616797.572323,1001,97656.000000,26827.187500, ===
===,27,FAILURE-CHECK,0,5.145696,0.000182,1571616797.572390,1001,97656.000000,26827.187500, ===
===,28,ITER,0,5.635157,0.000000,1571616798.061852,1101,97656.000000,28963.906250, ===
===,29,ITER,0,6.146134,0.000000,1571616798.572829,1201,97656.000000,31100.625000, ===
===,30,ITER,0,6.652799,0.000000,1571616799.079494,1301,97656.000000,33237.343750, ===
===,31,ITER,0,7.143722,0.000000,1571616799.570417,1401,97656.000000,35374.062500, ===
===,32,ITER,0,7.636830,0.000000,1571616800.063525,1501,97676.000000,37510.781250, ===
===,33,FAILURE-CHECK-START,0,7.636862,0.000000,1571616800.063557,1501,97852.000000,37510.781250, ===
===,34,FAILURE-CHECK-STOP,0,7.636950,0.000000,1571616800.063645,1501,97852.000000,37510.781250, ===
===,35,FAILURE-CHECK,0,7.637020,0.000172,1571616800.063714,1501,97852.000000,37510.781250, ===
===,36,ITER,0,8.128929,0.000000,1571616800.555624,1601,97852.000000,39647.500000, ===
===,37,ITER,0,8.632092,0.000000,1571616801.058787,1701,98028.000000,41784.218750, ===
===,38,ITER,0,9.122854,0.000000,1571616801.549549,1801,98200.000000,43920.937500, ===
===,39,ITER,0,9.611994,0.000000,1571616802.038689,1901,98376.000000,46057.656250, ===
===,40,ITER,0,10.146991,0.000000,1571616802.573686,2001,98544.000000,48194.375000, ===
===,41,FAILURE-CHECK-START,0,10.147047,0.000000,1571616802.573742,2001,98716.000000,48194.375000, ===
===,42,FAILURE-CHECK-STOP,0,10.147116,0.000000,1571616802.573811,2001,98716.000000,48194.375000, ===
===,43,FAILURE-CHECK,0,10.147184,0.000165,1571616802.573879,2001,98716.000000,48194.375000, ===
===,44,CHECKPOINT-START,0,10.147227,0.000000,1571616802.573922,2001,98716.000000,48194.375000, ===
===,45,CHECKPOINT-PRE-NEW,0,10.147279,0.000000,1571616802.573974,2001,98716.000000,42734.375000, ===
===,46,CHECKPOINT-POST-NEW,0,10.227157,0.000000,1571616802.653852,2001,156396.000000,48194.375000, ===
===,47,CHECKPOINT-STOP,0,10.227187,0.000000,1571616802.653882,2001,156396.000000,48194.375000, ===
===,48,CHECKPOINT,0,10.227207,0.080011,1571616802.653901,2001,156396.000000,48194.375000, ===
===,49,ITER,0,10.890445,0.000000,1571616803.317140,2101,156396.000000,50331.093750, ===
===,50,ITER,0,11.381082,0.000000,1571616803.807776,2201,156396.000000,52467.812500, ===
===,51,ITER,0,11.870311,0.000000,1571616804.297006,2301,156396.000000,54604.531250, ===
===,52,ITER,0,12.361544,0.000000,1571616804.788238,2401,156396.000000,56741.250000, ===
===,53,ITER,0,12.850773,0.000000,1571616805.277467,2501,156396.000000,58877.968750, ===
===,54,FAILURE-CHECK-START,0,12.850814,0.000000,1571616805.277509,2501,156396.000000,58877.968750, ===
===,55,FAILURE-CHECK-STOP,0,12.850892,0.000000,1571616805.277587,2501,156396.000000,58877.968750, ===
===,56,FAILURE-CHECK,0,12.850940,0.000147,1571616805.277635,2501,156396.000000,58877.968750, ===
===,57,ITER,0,13.345788,0.000000,1571616805.772483,2601,156396.000000,61014.687500, ===
===,58,ITER,0,13.835387,0.000000,1571616806.262082,2701,156396.000000,63151.406250, ===
===,59,ITER,0,14.326289,0.000000,1571616806.752983,2801,156396.000000,65288.125000, ===
===,60,ITER,0,14.815780,0.000000,1571616807.242475,2901,156396.000000,67424.843750, ===
===,61,ITER,0,15.306787,0.000000,1571616807.733482,3001,156396.000000,69561.562500, ===
===,62,FAILURE-CHECK-START,0,15.306856,0.000000,1571616807.733551,3001,156396.000000,69561.562500, ===
===,63,FAILURE-CHECK-STOP,0,15.306919,0.000000,1571616807.733614,3001,156396.000000,69561.562500, ===
===,64,FAILURE-CHECK,0,15.306982,0.000166,1571616807.733677,3001,156396.000000,69561.562500, ===
===,65,ITER,0,15.797172,0.000000,1571616808.223867,3101,156396.000000,71698.281250, ===
===,66,ITER,0,16.288070,0.000000,1571616808.714765,3201,156396.000000,73835.000000, ===
===,67,ITER,0,16.777221,0.000000,1571616809.203916,3301,156396.000000,75971.718750, ===
===,68,ITER,0,17.268227,0.000000,1571616809.694922,3401,156396.000000,78108.437500, ===
===,69,ITER,0,17.762007,0.000000,1571616810.188702,3501,156396.000000,80245.156250, ===
===,70,FAILURE-CHECK-START,0,17.762067,0.000000,1571616810.188762,3501,156396.000000,80245.156250, ===
===,71,FAILURE-CHECK-STOP,0,17.762127,0.000000,1571616810.188822,3501,156396.000000,80245.156250, ===
===,72,FAILURE-CHECK,0,17.762176,0.000144,1571616810.188871,3501,156396.000000,80245.156250, ===
===,73,ITER,0,18.254040,0.000000,1571616810.680734,3601,156396.000000,82381.875000, ===
===,74,ITER,0,18.743305,0.000000,1571616811.169999,3701,156396.000000,84518.593750, ===
===,75,ITER,0,19.234225,0.000000,1571616811.660920,3801,156396.000000,86655.312500, ===
===,76,ITER,0,19.723749,0.000000,1571616812.150443,3901,156396.000000,88792.031250, ===
===,77,ITER,0,20.214759,0.000000,1571616812.641454,4001,156396.000000,90928.750000, ===
===,78,FAILURE-CHECK-START,0,20.214815,0.000000,1571616812.641510,4001,156396.000000,90928.750000, ===
===,79,FAILURE-CHECK-STOP,0,20.214872,0.000000,1571616812.641567,4001,156396.000000,90928.750000, ===
===,80,FAILURE-CHECK,0,20.214937,0.000152,1571616812.641632,4001,156396.000000,90928.750000, ===
===,81,CHECKPOINT-START,0,20.214967,0.000000,1571616812.641662,4001,156396.000000,90928.750000, ===
===,82,CHECKPOINT-PRE-NEW,0,20.215017,0.000000,1571616812.641712,4001,156396.000000,85468.750000, ===
===,83,CHECKPOINT-POST-NEW,0,20.292700,0.000000,1571616812.719394,4001,209668.000000,90928.750000, ===
===,84,CHECKPOINT-STOP,0,20.292730,0.000000,1571616812.719425,4001,209756.000000,90928.750000, ===
===,85,CHECKPOINT,0,20.292749,0.077804,1571616812.719444,4001,209756.000000,90928.750000, ===
===,86,ITER,0,20.781760,0.000000,1571616813.208455,4101,209756.000000,93065.468750, ===
===,87,ITER,0,21.271924,0.000000,1571616813.698619,4201,209756.000000,95202.187500, ===
===,88,ITER,0,21.761535,0.000000,1571616814.188229,4301,209756.000000,97338.906250, ===
