===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.002451,0.000000,1572906556.269061,0,39928.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.148491,0.000000,1572906556.415101,0,55712.000000,102.203125, ===
===,2,INIT,0,0.148534,0.146134,1572906556.415143,0,55936.000000,102.203125, ===
===,3,FAILURE-DETECT,0,0.148559,0.000000,1572906556.415169,0,55936.000000,102.203125, ===
===,4,CHECKPOINT-START,0,0.152326,0.000000,1572906556.418936,0,55936.000000,102.203125, ===
===,5,CHECKPOINT-STOP,0,0.933142,0.000000,1572906557.199751,0,122464.000000,38648.101562, ===
===,6,CHECKPOINT,0,0.933175,0.780868,1572906557.199785,0,122640.000000,38648.101562, ===
===,7,FAILURE-DETECT,0,1.141957,0.000000,1572906557.408567,5,122900.000000,39104.226562, ===
===,8,FAILURE-DETECT,0,3.022246,0.000000,1572906559.288855,50,122920.000000,43209.421875, ===
===,9,FAILURE-DETECT,0,5.108895,0.000000,1572906561.375505,100,122920.000000,47770.750000, ===
===,10,FAILURE-DETECT,0,7.194315,0.000000,1572906563.460925,150,122920.000000,52332.078125, ===
===,11,FAILURE-DETECT,0,9.307285,0.000000,1572906565.573894,200,122920.000000,56893.406250, ===
===,12,CHECKPOINT-START,0,9.308386,0.000000,1572906565.574996,200,119684.000000,18347.507812, ===
===,13,CHECKPOINT-STOP,0,10.052734,0.000000,1572906566.319344,200,153208.000000,56893.406250, ===
===,14,CHECKPOINT,0,10.052799,0.744441,1572906566.319409,200,153420.000000,56893.406250, ===
===,15,FAILURE-DETECT,0,12.139514,0.000000,1572906568.406124,250,153420.000000,61454.734375, ===
===,16,FAILURE-DETECT,0,14.227193,0.000000,1572906570.493803,300,153420.000000,66016.062500, ===
===,17,FAILURE-DETECT,0,16.313723,0.000000,1572906572.580333,350,153420.000000,70577.390625, ===
===,18,FAILURE-DETECT,0,18.400525,0.000000,1572906574.667135,400,153420.000000,75138.718750, ===
===,19,CHECKPOINT-START,0,18.400740,0.000000,1572906574.667350,400,151476.000000,36592.820312, ===
===,20,CHECKPOINT-STOP,0,19.144562,0.000000,1572906575.411172,400,183944.000000,75138.718750, ===
===,21,CHECKPOINT,0,19.144599,0.743885,1572906575.411208,400,184144.000000,75138.718750, ===
===,22,COMM-ERROR,0,22.427610,0.000000,1572906578.694220,415,184144.000000,76507.117188, ===
===,23,FAILURE-DETECT,0,23.846698,0.000000,1572906580.113308,450,186724.000000,79700.046875, ===
===,24,RESTORE-START,0,23.846777,0.000000,1572906580.113387,450,187084.000000,79700.046875, ===
===,25,COMM-ERROR,0,23.848096,0.000000,1572906580.114706,450,187084.000000,79700.046875, ===
===,26,RESTORE-STOP,0,24.173945,0.000000,1572906580.440555,450,316108.000000,79700.054688, ===
===,27,RESTORE,0,24.173972,0.327215,1572906580.440581,450,316108.000000,79700.054688, ===
===,28,FAILURE-DETECT,0,72.124001,0.000000,1572906628.390610,450,320384.000000,79700.054688, ===
===,29,FAILURE-DETECT,0,120.082846,0.000000,1572906676.349456,500,320384.000000,79700.054688, ===
===,30,FAILURE-DETECT,0,168.043962,0.000000,1572906724.310572,550,320384.000000,79700.054688, ===
===,31,FAILURE-DETECT,0,216.013728,0.000000,1572906772.280337,600,320384.000000,79700.054688, ===
===,32,CHECKPOINT-START,0,216.013848,0.000000,1572906772.280458,600,320572.000000,41154.156250, ===
===,33,CHECKPOINT-STOP,0,216.128168,0.000000,1572906772.394778,600,324264.000000,41154.156250, ===
===,34,CHECKPOINT,0,216.128204,0.114376,1572906772.394814,600,324464.000000,41154.156250, ===
===,35,FAILURE-DETECT,0,264.121156,0.000000,1572906820.387766,650,328736.000000,41154.156250, ===
===,36,FAILURE-DETECT,0,312.115094,0.000000,1572906868.381704,700,328736.000000,41154.156250, ===
===,37,FAILURE-DETECT,0,360.114875,0.000000,1572906916.381484,750,328736.000000,41154.156250, ===
===,38,FAILURE-DETECT,0,408.123496,0.000000,1572906964.390105,800,328736.000000,41154.156250, ===
===,39,CHECKPOINT-START,0,408.123616,0.000000,1572906964.390226,800,328736.000000,41154.156250, ===
===,40,CHECKPOINT-STOP,0,408.237236,0.000000,1572906964.503845,800,331372.000000,41154.156250, ===
===,41,CHECKPOINT,0,408.237273,0.113677,1572906964.503883,800,331412.000000,41154.156250, ===
===,42,FAILURE-DETECT,0,456.254363,0.000000,1572907012.520973,850,335688.000000,41154.156250, ===
===,43,FAILURE-DETECT,0,504.270690,0.000000,1572907060.537300,900,335688.000000,41154.156250, ===
