===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000106,0.000000,1571590548.005685,0,38660.000000,0.000000, ===
===,1,INIT-STOP,0,0.002784,0.000000,1571590548.008363,0,41872.000000,0.000000, ===
===,2,INIT,0,0.002807,0.002736,1571590548.008385,0,42072.000000,0.000000, ===
===,3,ITER,0,0.002831,0.000000,1571590548.008410,1,42072.000000,0.000000, ===
===,4,ITER,0,0.654592,0.000000,1571590548.660171,101,47764.000000,2136.718750, ===
===,5,ITER,0,1.185497,0.000000,1571590549.191076,201,47860.000000,4273.437500, ===
===,6,ITER,0,1.711572,0.000000,1571590549.717151,301,47860.000000,6410.156250, ===
===,7,ITER,0,2.236206,0.000000,1571590550.241785,401,47860.000000,8546.875000, ===
===,8,ITER,0,2.760837,0.000000,1571590550.766416,501,47860.000000,10683.593750, ===
===,9,ITER,0,3.285622,0.000000,1571590551.291201,601,47860.000000,12820.312500, ===
===,10,ITER,0,3.809995,0.000000,1571590551.815574,701,47860.000000,14957.031250, ===
===,11,ITER,0,4.334637,0.000000,1571590552.340216,801,47860.000000,17093.750000, ===
===,12,ITER,0,4.859116,0.000000,1571590552.864694,901,47860.000000,19230.468750, ===
===,13,ITER,0,5.383850,0.000000,1571590553.389429,1001,47860.000000,21367.187500, ===
===,14,ITER,0,5.907952,0.000000,1571590553.913531,1101,47860.000000,23503.906250, ===
===,15,ITER,0,6.432379,0.000000,1571590554.437958,1201,47860.000000,25640.625000, ===
===,16,ITER,0,6.956609,0.000000,1571590554.962188,1301,47860.000000,27777.343750, ===
===,17,ITER,0,7.481505,0.000000,1571590555.487084,1401,47860.000000,29914.062500, ===
===,18,ITER,0,8.005869,0.000000,1571590556.011448,1501,47884.000000,32050.781250, ===
===,0,INIT-START,1,0.000090,0.000000,1571590548.005895,0,38660.000000,0.000000, ===
===,1,INIT-STOP,1,0.004021,0.000000,1571590548.009826,0,41748.000000,0.000000, ===
===,2,INIT,1,0.004054,0.004004,1571590548.009858,0,41964.000000,0.000000, ===
===,3,ITER,1,0.004088,0.000000,1571590548.009893,1,41964.000000,0.000000, ===
===,4,ITER,1,0.654393,0.000000,1571590548.660198,101,47900.000000,2669.531250, ===
===,5,ITER,1,1.185251,0.000000,1571590549.191056,201,47912.000000,5339.062500, ===
===,6,ITER,1,1.711345,0.000000,1571590549.717150,301,47912.000000,8008.593750, ===
===,7,ITER,1,2.235998,0.000000,1571590550.241803,401,47912.000000,10678.125000, ===
===,8,ITER,1,2.760637,0.000000,1571590550.766442,501,47912.000000,13347.656250, ===
===,9,ITER,1,3.285415,0.000000,1571590551.291220,601,47912.000000,16017.187500, ===
===,10,ITER,1,3.809757,0.000000,1571590551.815562,701,47912.000000,18686.718750, ===
===,11,ITER,1,4.334417,0.000000,1571590552.340222,801,47912.000000,21356.250000, ===
===,12,ITER,1,4.858907,0.000000,1571590552.864712,901,47912.000000,24025.781250, ===
===,13,ITER,1,5.383608,0.000000,1571590553.389413,1001,47912.000000,26695.312500, ===
===,14,ITER,1,5.907741,0.000000,1571590553.913546,1101,47912.000000,29364.843750, ===
===,15,ITER,1,6.432160,0.000000,1571590554.437965,1201,47912.000000,32034.375000, ===
===,16,ITER,1,6.956382,0.000000,1571590554.962187,1301,47912.000000,34703.906250, ===
===,17,ITER,1,7.481242,0.000000,1571590555.487046,1401,47912.000000,37373.437500, ===
===,18,ITER,1,8.005620,0.000000,1571590556.011425,1501,47912.000000,40042.968750, ===
===,0,INIT-START,2,0.000097,0.000000,1571590548.005867,0,38636.000000,0.000000, ===
===,1,INIT-STOP,2,0.003989,0.000000,1571590548.009759,0,41720.000000,0.000000, ===
===,2,INIT,2,0.004022,0.003969,1571590548.009791,0,41928.000000,0.000000, ===
===,3,ITER,2,0.004061,0.000000,1571590548.009831,1,41928.000000,0.000000, ===
===,4,ITER,2,0.654407,0.000000,1571590548.660177,101,47752.000000,3739.843750, ===
===,5,ITER,2,1.185297,0.000000,1571590549.191067,201,47888.000000,7479.687500, ===
===,6,ITER,2,1.711376,0.000000,1571590549.717146,301,47888.000000,11219.531250, ===
===,7,ITER,2,2.236029,0.000000,1571590550.241799,401,47888.000000,14959.375000, ===
===,8,ITER,2,2.760650,0.000000,1571590550.766420,501,47888.000000,18699.218750, ===
===,9,ITER,2,3.285452,0.000000,1571590551.291222,601,47888.000000,22439.062500, ===
===,10,ITER,2,3.809786,0.000000,1571590551.815556,701,47888.000000,26178.906250, ===
===,11,ITER,2,4.334465,0.000000,1571590552.340235,801,47888.000000,29918.750000, ===
===,12,ITER,2,4.858934,0.000000,1571590552.864704,901,47888.000000,33658.593750, ===
===,13,ITER,2,5.383637,0.000000,1571590553.389407,1001,47888.000000,37398.437500, ===
===,14,ITER,2,5.907771,0.000000,1571590553.913541,1101,47888.000000,41138.281250, ===
===,15,ITER,2,6.432213,0.000000,1571590554.437983,1201,47888.000000,44878.125000, ===
===,16,ITER,2,6.956439,0.000000,1571590554.962209,1301,47888.000000,48617.968750, ===
===,17,ITER,2,7.481309,0.000000,1571590555.487079,1401,47964.000000,52357.812500, ===
===,18,ITER,2,8.005672,0.000000,1571590556.011442,1501,48180.000000,56097.656250, ===
===,0,INIT-START,3,0.000102,0.000000,1571590548.005938,0,38664.000000,0.000000, ===
===,1,INIT-STOP,3,0.003989,0.000000,1571590548.009825,0,41788.000000,0.000000, ===
===,2,INIT,3,0.004024,0.003958,1571590548.009859,0,42000.000000,0.000000, ===
===,3,ITER,3,0.004064,0.000000,1571590548.009899,1,42000.000000,0.000000, ===
===,4,ITER,3,0.654356,0.000000,1571590548.660192,101,47852.000000,2671.093750, ===
===,5,ITER,3,1.185218,0.000000,1571590549.191054,201,48156.000000,5342.187500, ===
===,6,ITER,3,1.711307,0.000000,1571590549.717143,301,48156.000000,8013.281250, ===
===,7,ITER,3,2.235974,0.000000,1571590550.241810,401,48156.000000,10684.375000, ===
===,8,ITER,3,2.760601,0.000000,1571590550.766437,501,48156.000000,13355.468750, ===
===,9,ITER,3,3.285377,0.000000,1571590551.291213,601,48156.000000,16026.562500, ===
===,10,ITER,3,3.809735,0.000000,1571590551.815571,701,48156.000000,18697.656250, ===
===,11,ITER,3,4.334387,0.000000,1571590552.340223,801,48156.000000,21368.750000, ===
===,12,ITER,3,4.858864,0.000000,1571590552.864699,901,48156.000000,24039.843750, ===
===,13,ITER,3,5.383581,0.000000,1571590553.389417,1001,48156.000000,26710.937500, ===
===,14,ITER,3,5.907695,0.000000,1571590553.913531,1101,48156.000000,29382.031250, ===
