===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000104,0.000000,1571578180.105012,0,39928.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.152467,0.000000,1571578180.257375,0,55768.000000,102.203125, ===
===,2,INIT,0,0.152514,0.152446,1571578180.257421,0,56000.000000,102.203125, ===
===,0,INIT-START,1,0.000099,0.000000,1571578180.105059,0,40028.000000,0.000000, ===
===,1,INIT-STOP,1,0.152430,0.000000,1571578180.257390,0,56580.000000,138.218750, ===
===,2,INIT,1,0.152479,0.152428,1571578180.257438,0,56780.000000,138.218750, ===
===,0,INIT-START,2,0.000091,0.000000,1571578180.105100,0,40016.000000,0.000000, ===
===,1,INIT-STOP,2,0.152366,0.000000,1571578180.257375,0,55828.000000,102.203125, ===
===,2,INIT,2,0.152409,0.152363,1571578180.257418,0,56060.000000,102.203125, ===
===,0,INIT-START,3,0.000078,0.000000,1571578180.105006,0,40012.000000,0.000000, ===
===,1,INIT-STOP,3,0.152462,0.000000,1571578180.257390,0,55936.000000,138.218750, ===
===,2,INIT,3,0.152512,0.152477,1571578180.257439,0,56200.000000,138.218750, ===
===,0,INIT-START,4,0.000084,0.000000,1571578180.105086,0,40016.000000,0.000000, ===
===,1,INIT-STOP,4,0.152373,0.000000,1571578180.257375,0,57052.000000,176.218750, ===
===,2,INIT,4,0.152413,0.152369,1571578180.257414,0,57264.000000,176.218750, ===
===,0,INIT-START,5,0.000077,0.000000,1571578180.105082,0,40008.000000,0.000000, ===
===,1,INIT-STOP,5,0.152382,0.000000,1571578180.257387,0,55968.000000,138.218750, ===
===,2,INIT,5,0.152431,0.152392,1571578180.257435,0,56220.000000,138.218750, ===
===,0,INIT-START,6,0.000078,0.000000,1571578180.104984,0,40020.000000,0.000000, ===
===,1,INIT-STOP,6,0.152469,0.000000,1571578180.257375,0,55748.000000,102.203125, ===
===,2,INIT,6,0.152516,0.152479,1571578180.257421,0,55996.000000,102.203125, ===
===,0,INIT-START,7,0.000091,0.000000,1571578180.105007,0,40000.000000,0.000000, ===
===,1,INIT-STOP,7,0.152474,0.000000,1571578180.257390,0,56680.000000,138.218750, ===
===,2,INIT,7,0.152528,0.152485,1571578180.257443,0,56904.000000,138.218750, ===
===,0,INIT-START,8,0.000082,0.000000,1571578180.105017,0,40012.000000,0.000000, ===
===,1,INIT-STOP,8,0.152440,0.000000,1571578180.257375,0,55900.000000,102.203125, ===
===,2,INIT,8,0.152481,0.152443,1571578180.257415,0,56152.000000,102.203125, ===
===,0,INIT-START,9,0.000092,0.000000,1571578180.105006,0,39984.000000,0.000000, ===
===,1,INIT-STOP,9,0.152473,0.000000,1571578180.257387,0,56212.000000,138.218750, ===
===,2,INIT,9,0.152522,0.152478,1571578180.257435,0,56216.000000,138.218750, ===
===,0,INIT-START,10,0.000074,0.000000,1571578180.105071,0,40020.000000,0.000000, ===
===,1,INIT-STOP,10,0.152386,0.000000,1571578180.257383,0,57060.000000,176.218750, ===
===,2,INIT,10,0.152430,0.152394,1571578180.257426,0,57304.000000,176.218750, ===
===,0,INIT-START,11,0.000075,0.000000,1571578180.105015,0,40036.000000,0.000000, ===
===,1,INIT-STOP,11,0.152450,0.000000,1571578180.257390,0,56112.000000,138.218750, ===
===,2,INIT,11,0.152497,0.152459,1571578180.257435,0,56376.000000,138.218750, ===
===,0,INIT-START,12,0.000079,0.000000,1571578180.105062,0,39952.000000,0.000000, ===
===,1,INIT-STOP,12,0.152399,0.000000,1571578180.257382,0,56380.000000,176.218750, ===
===,2,INIT,12,0.152443,0.152404,1571578180.257426,0,56628.000000,176.218750, ===
===,0,INIT-START,13,0.000077,0.000000,1571578180.105059,0,39940.000000,0.000000, ===
===,1,INIT-STOP,13,0.152415,0.000000,1571578180.257397,0,57440.000000,216.312500, ===
===,2,INIT,13,0.152465,0.152428,1571578180.257446,0,57680.000000,216.312500, ===
===,0,INIT-START,14,0.000091,0.000000,1571578180.104992,0,39928.000000,0.000000, ===
===,1,INIT-STOP,14,0.152493,0.000000,1571578180.257393,0,56440.000000,176.218750, ===
===,2,INIT,14,0.152533,0.152486,1571578180.257433,0,56684.000000,176.218750, ===
===,0,INIT-START,15,0.000088,0.000000,1571578180.105085,0,40024.000000,0.000000, ===
===,1,INIT-STOP,15,0.152396,0.000000,1571578180.257393,0,56312.000000,138.218750, ===
===,2,INIT,15,0.152448,0.152395,1571578180.257444,0,56316.000000,138.218750, ===
===,0,INIT-START,16,0.000083,0.000000,1571578180.105047,0,39956.000000,0.000000, ===
===,1,INIT-STOP,16,0.152429,0.000000,1571578180.257392,0,57304.000000,176.218750, ===
===,2,INIT,16,0.152466,0.152422,1571578180.257429,0,57364.000000,176.218750, ===
===,0,INIT-START,17,0.000080,0.000000,1571578180.105016,0,39888.000000,0.000000, ===
===,1,INIT-STOP,17,0.152458,0.000000,1571578180.257394,0,55944.000000,138.218750, ===
===,2,INIT,17,0.152507,0.152466,1571578180.257442,0,56184.000000,138.218750, ===
===,0,INIT-START,18,0.000107,0.000000,1571578180.104984,0,39932.000000,0.000000, ===
===,1,INIT-STOP,18,0.152498,0.000000,1571578180.257375,0,55952.000000,102.203125, ===
===,2,INIT,18,0.152543,0.152490,1571578180.257419,0,56032.000000,102.203125, ===
===,0,INIT-START,19,0.000082,0.000000,1571578180.105006,0,40028.000000,0.000000, ===
===,1,INIT-STOP,19,0.152470,0.000000,1571578180.257394,0,56760.000000,138.218750, ===
===,2,INIT,19,0.152517,0.152477,1571578180.257440,0,56996.000000,138.218750, ===
===,0,INIT-START,20,0.000087,0.000000,1571578180.105038,0,39952.000000,0.000000, ===
===,1,INIT-STOP,20,0.152430,0.000000,1571578180.257381,0,55908.000000,102.203125, ===
===,2,INIT,20,0.152475,0.152434,1571578180.257425,0,56152.000000,102.203125, ===
===,0,INIT-START,21,0.000073,0.000000,1571578180.105014,0,40068.000000,0.000000, ===
===,1,INIT-STOP,21,0.152453,0.000000,1571578180.257394,0,56236.000000,138.218750, ===
===,2,INIT,21,0.152506,0.152471,1571578180.257446,0,56488.000000,138.218750, ===
===,0,INIT-START,22,0.000108,0.000000,1571578180.104984,0,39944.000000,0.000000, ===
===,1,INIT-STOP,22,0.152523,0.000000,1571578180.257399,0,57200.000000,176.218750, ===
===,2,INIT,22,0.152559,0.152507,1571578180.257434,0,57416.000000,176.218750, ===
===,0,INIT-START,23,0.000087,0.000000,1571578180.105006,0,40012.000000,0.000000, ===
===,1,INIT-STOP,23,0.152476,0.000000,1571578180.257395,0,56100.000000,138.218750, ===
