===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000118,0.000000,1571577012.951579,0,38664.000000,0.000000, ===
===,1,INIT-STOP,0,0.000164,0.000000,1571577012.951625,0,39248.000000,0.000000, ===
===,2,INIT,0,0.000187,0.000110,1571577012.951647,0,39248.000000,0.000000, ===
===,3,ITER,0,0.000398,0.000000,1571577012.951859,0,39248.000000,0.000000, ===
===,4,ITER,0,0.273243,0.000000,1571577013.224704,10000,41784.000000,13344.000000, ===
===,5,ITER,0,0.543206,0.000000,1571577013.494667,20000,44036.000000,26656.000000, ===
===,6,ITER,0,0.809101,0.000000,1571577013.760562,30000,46400.000000,39968.000000, ===
===,7,ITER,0,1.075174,0.000000,1571577014.026635,40000,49032.000000,53344.000000, ===
===,0,INIT-START,1,0.000108,0.000000,1571577012.951760,0,38704.000000,0.000000, ===
===,1,INIT-STOP,1,0.000155,0.000000,1571577012.951807,0,39152.000000,0.000000, ===
===,2,INIT,1,0.000178,0.000112,1571577012.951829,0,39156.000000,0.000000, ===
===,3,ITER,1,0.000354,0.000000,1571577012.952006,0,39156.000000,0.000000, ===
===,4,ITER,1,0.273076,0.000000,1571577013.224728,10000,41616.000000,13376.000000, ===
===,5,ITER,1,0.543027,0.000000,1571577013.494679,20000,43896.000000,26688.000000, ===
===,6,ITER,1,0.808942,0.000000,1571577013.760593,30000,46260.000000,40000.000000, ===
===,7,ITER,1,1.074997,0.000000,1571577014.026649,40000,48892.000000,53376.000000, ===
===,0,INIT-START,2,0.000107,0.000000,1571577012.951720,0,38640.000000,0.000000, ===
===,1,INIT-STOP,2,0.000161,0.000000,1571577012.951773,0,39072.000000,0.000000, ===
===,2,INIT,2,0.000189,0.000129,1571577012.951801,0,39076.000000,0.000000, ===
===,3,ITER,2,0.000505,0.000000,1571577012.952118,0,39076.000000,0.000000, ===
===,4,ITER,2,0.273146,0.000000,1571577013.224759,10000,41608.000000,13376.000000, ===
===,5,ITER,2,0.543084,0.000000,1571577013.494697,20000,43860.000000,26688.000000, ===
===,6,ITER,2,0.808994,0.000000,1571577013.760606,30000,46224.000000,40000.000000, ===
===,7,ITER,2,1.075055,0.000000,1571577014.026668,40000,48856.000000,53376.000000, ===
===,0,INIT-START,3,0.000084,0.000000,1571577012.951631,0,38588.000000,0.000000, ===
===,1,INIT-STOP,3,0.000129,0.000000,1571577012.951676,0,39016.000000,0.000000, ===
===,2,INIT,3,0.000154,0.000108,1571577012.951701,0,39020.000000,0.000000, ===
===,3,ITER,3,0.000345,0.000000,1571577012.951892,0,39020.000000,0.000000, ===
===,4,ITER,3,0.273242,0.000000,1571577013.224789,10000,41516.000000,13376.000000, ===
===,5,ITER,3,0.543173,0.000000,1571577013.494720,20000,43768.000000,26688.000000, ===
===,6,ITER,3,0.809077,0.000000,1571577013.760624,30000,46136.000000,40000.000000, ===
===,7,ITER,3,1.075142,0.000000,1571577014.026689,40000,48764.000000,53376.000000, ===
===,0,INIT-START,4,0.000108,0.000000,1571577012.951819,0,38608.000000,0.000000, ===
===,1,INIT-STOP,4,0.000149,0.000000,1571577012.951861,0,39092.000000,0.000000, ===
===,2,INIT,4,0.000171,0.000105,1571577012.951882,0,39096.000000,0.000000, ===
===,3,ITER,4,0.000368,0.000000,1571577012.952080,0,39096.000000,0.000000, ===
===,4,ITER,4,0.273110,0.000000,1571577013.224822,10000,41612.000000,13376.000000, ===
===,5,ITER,4,0.543030,0.000000,1571577013.494742,20000,43864.000000,26688.000000, ===
===,6,ITER,4,0.808937,0.000000,1571577013.760649,30000,46232.000000,40000.000000, ===
===,7,ITER,4,1.074995,0.000000,1571577014.026707,40000,48864.000000,53376.000000, ===
===,0,INIT-START,5,0.000107,0.000000,1571577012.951579,0,38588.000000,0.000000, ===
===,1,INIT-STOP,5,0.000155,0.000000,1571577012.951627,0,39032.000000,0.000000, ===
===,2,INIT,5,0.000179,0.000124,1571577012.951650,0,39036.000000,0.000000, ===
===,3,ITER,5,0.000370,0.000000,1571577012.951842,0,39036.000000,0.000000, ===
===,4,ITER,5,0.273379,0.000000,1571577013.224851,10000,41540.000000,13376.000000, ===
===,5,ITER,5,0.543288,0.000000,1571577013.494760,20000,43792.000000,26688.000000, ===
===,6,ITER,5,0.809202,0.000000,1571577013.760674,30000,46160.000000,40000.000000, ===
===,7,ITER,5,1.075254,0.000000,1571577014.026726,40000,48792.000000,53376.000000, ===
