===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000130,0.000000,1571150190.035660,0,38908.000000,0.000000, ===
===,1,INIT-STOP,0,0.044491,0.000000,1571150190.080021,0,104356.000000,0.000000, ===
===,2,INIT,0,0.044517,0.044422,1571150190.080047,0,104596.000000,0.000000, ===
===,3,ITER,0,0.044536,0.000000,1571150190.080067,1,104596.000000,0.000000, ===
===,4,ITER,0,0.283540,0.000000,1571150190.319071,2,169904.000000,104.195312, ===
===,5,ITER,0,0.454412,0.000000,1571150190.489943,3,170036.000000,208.390625, ===
===,6,ITER,0,0.566438,0.000000,1571150190.601969,4,170036.000000,312.585938, ===
===,7,ITER,0,0.678335,0.000000,1571150190.713866,5,170140.000000,416.781250, ===
===,8,ITER,0,0.790361,0.000000,1571150190.825892,6,170140.000000,520.976562, ===
===,9,ITER,0,0.902352,0.000000,1571150190.937883,7,170152.000000,625.171875, ===
===,10,ITER,0,1.054155,0.000000,1571150191.089686,8,170152.000000,729.367188, ===
===,11,ITER,0,1.235864,0.000000,1571150191.271394,9,170160.000000,833.562500, ===
===,12,ITER,0,1.407026,0.000000,1571150191.442557,10,170176.000000,937.757812, ===
===,13,ITER,0,1.573844,0.000000,1571150191.609375,11,170176.000000,1041.953125, ===
===,0,INIT-START,1,0.000121,0.000000,1571150190.035838,0,38952.000000,0.000000, ===
===,1,INIT-STOP,1,0.055917,0.000000,1571150190.091633,0,104372.000000,0.000000, ===
===,2,INIT,1,0.055949,0.055875,1571150190.091665,0,104588.000000,0.000000, ===
===,3,ITER,1,0.055974,0.000000,1571150190.091691,1,104588.000000,0.000000, ===
===,4,ITER,1,0.283355,0.000000,1571150190.319072,2,169964.000000,130.242188, ===
===,5,ITER,1,0.454221,0.000000,1571150190.489938,3,170080.000000,260.484375, ===
===,6,ITER,1,0.566240,0.000000,1571150190.601957,4,170088.000000,390.726562, ===
