===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000142,0.000000,1571390864.272386,0,38880.000000,0.000000, ===
===,1,INIT-STOP,0,0.044442,0.000000,1571390864.316686,0,104256.000000,0.000000, ===
===,2,INIT,0,0.044469,0.044378,1571390864.316712,0,104492.000000,0.000000, ===
===,3,ITER,0,0.044488,0.000000,1571390864.316732,1,104492.000000,0.000000, ===
===,4,ITER,0,0.321309,0.000000,1571390864.593552,2,169796.000000,104.195312, ===
===,5,ITER,0,0.560071,0.000000,1571390864.832315,3,169932.000000,208.390625, ===
===,6,ITER,0,0.672609,0.000000,1571390864.944853,4,169932.000000,312.585938, ===
===,7,ITER,0,0.785091,0.000000,1571390865.057335,5,170036.000000,416.781250, ===
===,8,ITER,0,0.897935,0.000000,1571390865.170179,6,170036.000000,520.976562, ===
===,9,ITER,0,1.010758,0.000000,1571390865.283002,7,170048.000000,625.171875, ===
===,10,ITER,0,1.123372,0.000000,1571390865.395616,8,170048.000000,729.367188, ===
===,11,ITER,0,1.237520,0.000000,1571390865.509764,9,170056.000000,833.562500, ===
===,12,ITER,0,1.350167,0.000000,1571390865.622410,10,170072.000000,937.757812, ===
===,13,ITER,0,1.462885,0.000000,1571390865.735129,11,170072.000000,1041.953125, ===
===,14,ITER,0,1.575575,0.000000,1571390865.847819,12,170072.000000,1146.148438, ===
===,15,ITER,0,1.688328,0.000000,1571390865.960572,13,170072.000000,1250.343750, ===
===,16,ITER,0,1.801026,0.000000,1571390866.073270,14,170076.000000,1354.539062, ===
===,17,ITER,0,1.913796,0.000000,1571390866.186040,15,170084.000000,1458.734375, ===
===,18,ITER,0,2.062797,0.000000,1571390866.335041,16,170088.000000,1562.929688, ===
===,19,ITER,0,2.175788,0.000000,1571390866.448032,17,170088.000000,1667.125000, ===
===,20,ITER,0,2.288382,0.000000,1571390866.560626,18,170088.000000,1771.320312, ===
===,21,ITER,0,2.401018,0.000000,1571390866.673262,19,170088.000000,1875.515625, ===
===,22,ITER,0,2.513693,0.000000,1571390866.785937,20,170088.000000,1979.710938, ===
===,23,ITER,0,2.649919,0.000000,1571390866.922163,21,170088.000000,2083.906250, ===
===,24,ITER,0,2.767358,0.000000,1571390867.039602,22,170088.000000,2188.101562, ===
===,0,INIT-START,1,0.000107,0.000000,1571390864.272527,0,38956.000000,0.000000, ===
===,1,INIT-STOP,1,0.056154,0.000000,1571390864.328574,0,104588.000000,0.000000, ===
===,2,INIT,1,0.056192,0.056130,1571390864.328610,0,104612.000000,0.000000, ===
===,3,ITER,1,0.056220,0.000000,1571390864.328640,1,104612.000000,0.000000, ===
===,4,ITER,1,0.321152,0.000000,1571390864.593572,2,169992.000000,130.242188, ===
===,5,ITER,1,0.559917,0.000000,1571390864.832337,3,170112.000000,260.484375, ===
===,6,ITER,1,0.672451,0.000000,1571390864.944871,4,170116.000000,390.726562, ===
===,7,ITER,1,0.784933,0.000000,1571390865.057353,5,170116.000000,520.968750, ===
===,8,ITER,1,0.897761,0.000000,1571390865.170181,6,170116.000000,651.210938, ===
===,9,ITER,1,1.010566,0.000000,1571390865.282986,7,170128.000000,781.453125, ===
===,10,ITER,1,1.123192,0.000000,1571390865.395612,8,170128.000000,911.695312, ===
===,11,ITER,1,1.237331,0.000000,1571390865.509751,9,170128.000000,1041.937500, ===
===,12,ITER,1,1.349998,0.000000,1571390865.622418,10,170148.000000,1172.179688, ===
===,13,ITER,1,1.462723,0.000000,1571390865.735143,11,170148.000000,1302.421875, ===
===,14,ITER,1,1.575428,0.000000,1571390865.847848,12,170148.000000,1432.664062, ===
===,15,ITER,1,1.688148,0.000000,1571390865.960568,13,170148.000000,1562.906250, ===
===,16,ITER,1,1.800847,0.000000,1571390866.073267,14,170148.000000,1693.148438, ===
===,17,ITER,1,1.913627,0.000000,1571390866.186047,15,170168.000000,1823.390625, ===
===,18,ITER,1,2.062614,0.000000,1571390866.335034,16,170180.000000,1953.632812, ===
===,19,ITER,1,2.175630,0.000000,1571390866.448050,17,170184.000000,2083.875000, ===
===,20,ITER,1,2.288197,0.000000,1571390866.560617,18,170204.000000,2214.117188, ===
===,21,ITER,1,2.400847,0.000000,1571390866.673267,19,170208.000000,2344.359375, ===
===,22,ITER,1,2.513532,0.000000,1571390866.785952,20,170212.000000,2474.601562, ===
===,23,ITER,1,2.649746,0.000000,1571390866.922166,21,170212.000000,2604.843750, ===
===,24,ITER,1,2.767193,0.000000,1571390867.039613,22,170216.000000,2735.085938, ===
===,25,FAILURE-GENERATE,1,2.767213,0.000000,1571390867.039633,22,170216.000000,2735.085938, ===
===,0,INIT-START,2,0.000106,0.000000,1571390864.272403,0,38980.000000,0.000000, ===
===,1,INIT-STOP,2,0.044636,0.000000,1571390864.316932,0,104436.000000,0.000000, ===
===,2,INIT,2,0.044662,0.044602,1571390864.316958,0,104648.000000,0.000000, ===
===,3,ITER,2,0.044680,0.000000,1571390864.316977,1,104648.000000,0.000000, ===
===,4,ITER,2,0.321268,0.000000,1571390864.593565,2,170216.000000,182.367188, ===
===,5,ITER,2,0.560030,0.000000,1571390864.832327,3,170508.000000,364.734375, ===
===,6,ITER,2,0.672552,0.000000,1571390864.944849,4,170508.000000,547.101562, ===
===,7,ITER,2,0.785040,0.000000,1571390865.057337,5,170508.000000,729.468750, ===
===,8,ITER,2,0.897879,0.000000,1571390865.170176,6,170512.000000,911.835938, ===
===,9,ITER,2,1.010712,0.000000,1571390865.283009,7,170512.000000,1094.203125, ===
===,10,ITER,2,1.123328,0.000000,1571390865.395625,8,170512.000000,1276.570312, ===
===,11,ITER,2,1.237463,0.000000,1571390865.509760,9,170536.000000,1458.937500, ===
===,12,ITER,2,1.350126,0.000000,1571390865.622423,10,170560.000000,1641.304688, ===
===,13,ITER,2,1.462839,0.000000,1571390865.735136,11,170560.000000,1823.671875, ===
===,14,ITER,2,1.575524,0.000000,1571390865.847821,12,170560.000000,2006.039062, ===
===,15,ITER,2,1.688257,0.000000,1571390865.960554,13,170560.000000,2188.406250, ===
===,16,ITER,2,1.800956,0.000000,1571390866.073253,14,170568.000000,2370.773438, ===
===,17,ITER,2,1.913744,0.000000,1571390866.186040,15,170568.000000,2553.140625, ===
===,18,ITER,2,2.062718,0.000000,1571390866.335015,16,170584.000000,2735.507812, ===
===,19,ITER,2,2.175725,0.000000,1571390866.448022,17,170584.000000,2917.875000, ===
===,20,ITER,2,2.288319,0.000000,1571390866.560616,18,170592.000000,3100.242188, ===
===,21,ITER,2,2.400965,0.000000,1571390866.673262,19,170592.000000,3282.609375, ===
===,22,ITER,2,2.513626,0.000000,1571390866.785923,20,170592.000000,3464.976562, ===
===,23,ITER,2,2.649876,0.000000,1571390866.922173,21,170592.000000,3647.343750, ===
===,24,ITER,2,2.767322,0.000000,1571390867.039619,22,170592.000000,3829.710938, ===
===,0,INIT-START,3,0.000138,0.000000,1571390864.272635,0,38960.000000,0.000000, ===
===,1,INIT-STOP,3,0.052177,0.000000,1571390864.324674,0,104308.000000,0.000000, ===
===,2,INIT,3,0.052206,0.052110,1571390864.324702,0,104548.000000,0.000000, ===
===,3,ITER,3,0.052226,0.000000,1571390864.324723,1,104548.000000,0.000000, ===
===,4,ITER,3,0.321077,0.000000,1571390864.593574,2,170004.000000,130.242188, ===
===,5,ITER,3,0.559839,0.000000,1571390864.832336,3,170224.000000,260.484375, ===
===,6,ITER,3,0.672358,0.000000,1571390864.944855,4,170228.000000,390.726562, ===
===,7,ITER,3,0.784847,0.000000,1571390865.057344,5,170232.000000,520.968750, ===
===,8,ITER,3,0.897698,0.000000,1571390865.170195,6,170232.000000,651.210938, ===
===,9,ITER,3,1.010511,0.000000,1571390865.283008,7,170240.000000,781.453125, ===
===,10,ITER,3,1.123120,0.000000,1571390865.395616,8,170240.000000,911.695312, ===
===,11,ITER,3,1.237273,0.000000,1571390865.509770,9,170248.000000,1041.937500, ===
===,12,ITER,3,1.349916,0.000000,1571390865.622413,10,170284.000000,1172.179688, ===
===,13,ITER,3,1.462629,0.000000,1571390865.735125,11,170284.000000,1302.421875, ===
===,14,ITER,3,1.575338,0.000000,1571390865.847835,12,170284.000000,1432.664062, ===
===,15,ITER,3,1.688067,0.000000,1571390865.960564,13,170284.000000,1562.906250, ===
===,16,ITER,3,1.800777,0.000000,1571390866.073274,14,170284.000000,1693.148438, ===
===,17,ITER,3,1.913568,0.000000,1571390866.186065,15,170300.000000,1823.390625, ===
===,18,ITER,3,2.062526,0.000000,1571390866.335023,16,170320.000000,1953.632812, ===
===,19,ITER,3,2.175543,0.000000,1571390866.448040,17,170320.000000,2083.875000, ===
===,20,ITER,3,2.288107,0.000000,1571390866.560604,18,170348.000000,2214.117188, ===
===,21,ITER,3,2.400780,0.000000,1571390866.673277,19,170352.000000,2344.359375, ===
===,22,ITER,3,2.513448,0.000000,1571390866.785945,20,170352.000000,2474.601562, ===
===,23,ITER,3,2.649670,0.000000,1571390866.922167,21,170352.000000,2604.843750, ===
===,24,ITER,3,2.767117,0.000000,1571390867.039614,22,170352.000000,2735.085938, ===
===,0,INIT-START,4,0.000095,0.000000,1571390864.272574,0,38860.000000,0.000000, ===
===,1,INIT-STOP,4,0.044752,0.000000,1571390864.317231,0,104384.000000,0.000000, ===
===,2,INIT,4,0.044778,0.044721,1571390864.317256,0,104604.000000,0.000000, ===
===,3,ITER,4,0.044797,0.000000,1571390864.317276,1,104604.000000,0.000000, ===
===,4,ITER,4,0.321064,0.000000,1571390864.593543,2,170180.000000,182.367188, ===
===,5,ITER,4,0.559859,0.000000,1571390864.832338,3,170468.000000,364.734375, ===
===,6,ITER,4,0.672378,0.000000,1571390864.944857,4,170468.000000,547.101562, ===
===,7,ITER,4,0.784873,0.000000,1571390865.057352,5,170468.000000,729.468750, ===
===,8,ITER,4,0.897687,0.000000,1571390865.170166,6,170468.000000,911.835938, ===
===,9,ITER,4,1.010521,0.000000,1571390865.283000,7,170472.000000,1094.203125, ===
===,10,ITER,4,1.123135,0.000000,1571390865.395614,8,170480.000000,1276.570312, ===
===,11,ITER,4,1.237283,0.000000,1571390865.509762,9,170480.000000,1458.937500, ===
===,12,ITER,4,1.349930,0.000000,1571390865.622409,10,170512.000000,1641.304688, ===
===,13,ITER,4,1.462661,0.000000,1571390865.735140,11,170512.000000,1823.671875, ===
===,14,ITER,4,1.575340,0.000000,1571390865.847819,12,170512.000000,2006.039062, ===
===,15,ITER,4,1.688070,0.000000,1571390865.960549,13,170512.000000,2188.406250, ===
===,16,ITER,4,1.800778,0.000000,1571390866.073257,14,170512.000000,2370.773438, ===
===,17,ITER,4,1.913574,0.000000,1571390866.186053,15,170524.000000,2553.140625, ===
===,18,ITER,4,2.062560,0.000000,1571390866.335039,16,170536.000000,2735.507812, ===
===,19,ITER,4,2.175592,0.000000,1571390866.448071,17,170536.000000,2917.875000, ===
===,20,ITER,4,2.288137,0.000000,1571390866.560616,18,170540.000000,3100.242188, ===
===,21,ITER,4,2.400809,0.000000,1571390866.673288,19,170540.000000,3282.609375, ===
===,22,ITER,4,2.513441,0.000000,1571390866.785920,20,170540.000000,3464.976562, ===
===,23,ITER,4,2.649677,0.000000,1571390866.922156,21,170540.000000,3647.343750, ===
===,24,ITER,4,2.767143,0.000000,1571390867.039622,22,170540.000000,3829.710938, ===
===,0,INIT-START,5,0.000112,0.000000,1571390864.272586,0,38872.000000,0.000000, ===
===,1,INIT-STOP,5,0.056648,0.000000,1571390864.329123,0,104512.000000,0.000000, ===
===,2,INIT,5,0.056675,0.056600,1571390864.329149,0,104536.000000,0.000000, ===
===,3,ITER,5,0.056697,0.000000,1571390864.329172,1,104536.000000,0.000000, ===
===,4,ITER,5,0.321099,0.000000,1571390864.593574,2,170116.000000,182.367188, ===
===,5,ITER,5,0.559864,0.000000,1571390864.832339,3,170424.000000,364.734375, ===
===,6,ITER,5,0.672369,0.000000,1571390864.944844,4,170424.000000,547.101562, ===
===,7,ITER,5,0.784881,0.000000,1571390865.057356,5,170424.000000,729.468750, ===
===,8,ITER,5,0.897707,0.000000,1571390865.170182,6,170424.000000,911.835938, ===
===,9,ITER,5,1.010511,0.000000,1571390865.282986,7,170436.000000,1094.203125, ===
===,10,ITER,5,1.123128,0.000000,1571390865.395603,8,170444.000000,1276.570312, ===
===,11,ITER,5,1.237283,0.000000,1571390865.509758,9,170444.000000,1458.937500, ===
===,12,ITER,5,1.349943,0.000000,1571390865.622418,10,170460.000000,1641.304688, ===
===,13,ITER,5,1.462666,0.000000,1571390865.735141,11,170468.000000,1823.671875, ===
===,14,ITER,5,1.575362,0.000000,1571390865.847837,12,170472.000000,2006.039062, ===
===,15,ITER,5,1.688085,0.000000,1571390865.960560,13,170472.000000,2188.406250, ===
===,16,ITER,5,1.800790,0.000000,1571390866.073265,14,170472.000000,2370.773438, ===
===,17,ITER,5,1.913591,0.000000,1571390866.186066,15,170480.000000,2553.140625, ===
===,18,ITER,5,2.062558,0.000000,1571390866.335033,16,170488.000000,2735.507812, ===
===,19,ITER,5,2.175599,0.000000,1571390866.448074,17,170488.000000,2917.875000, ===
===,20,ITER,5,2.288142,0.000000,1571390866.560617,18,170524.000000,3100.242188, ===
===,21,ITER,5,2.400792,0.000000,1571390866.673267,19,170528.000000,3282.609375, ===
===,22,ITER,5,2.513475,0.000000,1571390866.785950,20,170528.000000,3464.976562, ===
===,23,ITER,5,2.649700,0.000000,1571390866.922175,21,170528.000000,3647.343750, ===
===,24,ITER,5,2.767128,0.000000,1571390867.039603,22,170528.000000,3829.710938, ===
===,0,INIT-START,6,0.000144,0.000000,1571390864.272664,0,38960.000000,0.000000, ===
===,1,INIT-STOP,6,0.061109,0.000000,1571390864.333629,0,104436.000000,0.000000, ===
===,2,INIT,6,0.061139,0.061036,1571390864.333658,0,104560.000000,0.000000, ===
===,3,ITER,6,0.061165,0.000000,1571390864.333685,1,104560.000000,0.000000, ===
===,4,ITER,6,0.321011,0.000000,1571390864.593531,2,170144.000000,182.351562, ===
===,5,ITER,6,0.559810,0.000000,1571390864.832330,3,170436.000000,364.703125, ===
===,6,ITER,6,0.672342,0.000000,1571390864.944862,4,170436.000000,547.054688, ===
===,7,ITER,6,0.784832,0.000000,1571390865.057352,5,170436.000000,729.406250, ===
===,8,ITER,6,0.897661,0.000000,1571390865.170180,6,170436.000000,911.757812, ===
===,9,ITER,6,1.010489,0.000000,1571390865.283009,7,170440.000000,1094.109375, ===
===,10,ITER,6,1.123098,0.000000,1571390865.395618,8,170448.000000,1276.460938, ===
===,11,ITER,6,1.237247,0.000000,1571390865.509767,9,170460.000000,1458.812500, ===
===,12,ITER,6,1.349916,0.000000,1571390865.622436,10,170492.000000,1641.164062, ===
===,13,ITER,6,1.462627,0.000000,1571390865.735147,11,170492.000000,1823.515625, ===
===,14,ITER,6,1.575325,0.000000,1571390865.847845,12,170492.000000,2005.867188, ===
===,15,ITER,6,1.688056,0.000000,1571390865.960576,13,170496.000000,2188.218750, ===
===,16,ITER,6,1.800781,0.000000,1571390866.073300,14,170500.000000,2370.570312, ===
===,17,ITER,6,1.913547,0.000000,1571390866.186067,15,170524.000000,2552.921875, ===
===,18,ITER,6,2.062501,0.000000,1571390866.335020,16,170536.000000,2735.273438, ===
===,19,ITER,6,2.175561,0.000000,1571390866.448081,17,170536.000000,2917.625000, ===
===,20,ITER,6,2.288109,0.000000,1571390866.560629,18,170548.000000,3099.976562, ===
===,21,ITER,6,2.400750,0.000000,1571390866.673270,19,170548.000000,3282.328125, ===
===,22,ITER,6,2.513415,0.000000,1571390866.785934,20,170548.000000,3464.679688, ===
===,23,ITER,6,2.649645,0.000000,1571390866.922165,21,170548.000000,3647.031250, ===
===,24,ITER,6,2.767094,0.000000,1571390867.039614,22,170548.000000,3829.382812, ===
===,0,INIT-START,7,0.000103,0.000000,1571390864.272530,0,38860.000000,0.000000, ===
===,1,INIT-STOP,7,0.056348,0.000000,1571390864.328775,0,104508.000000,0.000000, ===
===,2,INIT,7,0.056385,0.056325,1571390864.328811,0,104532.000000,0.000000, ===
===,3,ITER,7,0.056414,0.000000,1571390864.328841,1,104532.000000,0.000000, ===
===,4,ITER,7,0.321124,0.000000,1571390864.593551,2,169908.000000,130.242188, ===
===,5,ITER,7,0.559922,0.000000,1571390864.832349,3,170028.000000,260.484375, ===
===,6,ITER,7,0.672439,0.000000,1571390864.944866,4,170032.000000,390.726562, ===
===,7,ITER,7,0.784932,0.000000,1571390865.057359,5,170032.000000,520.968750, ===
===,8,ITER,7,0.897756,0.000000,1571390865.170183,6,170036.000000,651.210938, ===
===,9,ITER,7,1.010577,0.000000,1571390865.283004,7,170044.000000,781.453125, ===
===,10,ITER,7,1.123170,0.000000,1571390865.395597,8,170048.000000,911.695312, ===
===,11,ITER,7,1.237320,0.000000,1571390865.509747,9,170052.000000,1041.937500, ===
===,12,ITER,7,1.349987,0.000000,1571390865.622414,10,170072.000000,1172.179688, ===
===,13,ITER,7,1.462717,0.000000,1571390865.735143,11,170076.000000,1302.421875, ===
===,14,ITER,7,1.575408,0.000000,1571390865.847835,12,170080.000000,1432.664062, ===
===,15,ITER,7,1.688152,0.000000,1571390865.960579,13,170084.000000,1562.906250, ===
===,16,ITER,7,1.800863,0.000000,1571390866.073290,14,170088.000000,1693.148438, ===
===,17,ITER,7,1.913620,0.000000,1571390866.186047,15,170100.000000,1823.390625, ===
===,18,ITER,7,2.062601,0.000000,1571390866.335028,16,170116.000000,1953.632812, ===
===,19,ITER,7,2.175657,0.000000,1571390866.448084,17,170176.000000,2083.875000, ===
===,20,ITER,7,2.288192,0.000000,1571390866.560619,18,170200.000000,2214.117188, ===
===,21,ITER,7,2.400861,0.000000,1571390866.673288,19,170204.000000,2344.359375, ===
===,22,ITER,7,2.513515,0.000000,1571390866.785941,20,170208.000000,2474.601562, ===
===,23,ITER,7,2.649749,0.000000,1571390866.922176,21,170208.000000,2604.843750, ===
===,24,ITER,7,2.767192,0.000000,1571390867.039619,22,170208.000000,2735.085938, ===
===,0,INIT-START,8,0.000104,0.000000,1571390864.272561,0,38848.000000,0.000000, ===
===,1,INIT-STOP,8,0.044072,0.000000,1571390864.316529,0,104516.000000,0.000000, ===
===,2,INIT,8,0.044097,0.044033,1571390864.316554,0,104540.000000,0.000000, ===
