===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000100,0.000000,1571150299.550033,0,40084.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.110749,0.000000,1571150299.660681,0,50544.000000,70.421875, ===
===,2,INIT,0,0.110802,0.110737,1571150299.660734,0,50748.000000,70.421875, ===
===,0,INIT-START,1,0.000076,0.000000,1571150299.549963,0,40256.000000,0.000000, ===
===,1,INIT-STOP,1,0.110805,0.000000,1571150299.660692,0,51192.000000,95.515625, ===
===,2,INIT,1,0.110857,0.110820,1571150299.660743,0,51364.000000,95.515625, ===
===,0,INIT-START,2,0.000083,0.000000,1571150299.549896,0,40212.000000,0.000000, ===
===,1,INIT-STOP,2,0.110868,0.000000,1571150299.660681,0,50732.000000,70.421875, ===
===,2,INIT,2,0.110910,0.110873,1571150299.660722,0,50928.000000,70.421875, ===
===,0,INIT-START,3,0.000071,0.000000,1571150299.550021,0,40224.000000,0.000000, ===
===,1,INIT-STOP,3,0.110745,0.000000,1571150299.660695,0,50780.000000,95.515625, ===
===,2,INIT,3,0.110791,0.110756,1571150299.660739,0,50952.000000,95.515625, ===
===,0,INIT-START,4,0.000076,0.000000,1571150299.549978,0,40232.000000,0.000000, ===
===,1,INIT-STOP,4,0.110779,0.000000,1571150299.660681,0,51516.000000,122.265625, ===
===,2,INIT,4,0.110821,0.110785,1571150299.660722,0,51728.000000,122.265625, ===
===,0,INIT-START,5,0.000097,0.000000,1571150299.549931,0,40160.000000,0.000000, ===
===,1,INIT-STOP,5,0.110858,0.000000,1571150299.660692,0,50772.000000,95.515625, ===
===,2,INIT,5,0.110907,0.110863,1571150299.660740,0,50936.000000,95.515625, ===
===,0,INIT-START,6,0.000088,0.000000,1571150299.550032,0,40180.000000,0.000000, ===
===,1,INIT-STOP,6,0.110743,0.000000,1571150299.660687,0,50636.000000,70.421875, ===
===,2,INIT,6,0.110793,0.110747,1571150299.660735,0,50876.000000,70.421875, ===
===,0,INIT-START,7,0.000073,0.000000,1571150299.550011,0,40312.000000,0.000000, ===
===,1,INIT-STOP,7,0.110757,0.000000,1571150299.660695,0,51380.000000,95.515625, ===
===,2,INIT,7,0.110809,0.110775,1571150299.660746,0,51428.000000,95.515625, ===
===,0,INIT-START,8,0.000096,0.000000,1571150299.549894,0,40268.000000,0.000000, ===
===,1,INIT-STOP,8,0.110887,0.000000,1571150299.660685,0,50880.000000,70.421875, ===
===,2,INIT,8,0.110929,0.110890,1571150299.660726,0,50900.000000,70.421875, ===
===,0,INIT-START,9,0.000074,0.000000,1571150299.549985,0,40316.000000,0.000000, ===
===,1,INIT-STOP,9,0.110781,0.000000,1571150299.660692,0,51212.000000,95.515625, ===
===,2,INIT,9,0.110831,0.110796,1571150299.660741,0,51220.000000,95.515625, ===
===,0,INIT-START,10,0.000089,0.000000,1571150299.549961,0,40184.000000,0.000000, ===
===,1,INIT-STOP,10,0.110816,0.000000,1571150299.660688,0,51588.000000,122.265625, ===
===,2,INIT,10,0.110865,0.110820,1571150299.660735,0,51784.000000,122.265625, ===
===,0,INIT-START,11,0.000077,0.000000,1571150299.549931,0,40248.000000,0.000000, ===
===,1,INIT-STOP,11,0.110841,0.000000,1571150299.660695,0,50824.000000,95.515625, ===
===,2,INIT,11,0.110886,0.110853,1571150299.660739,0,51044.000000,95.515625, ===
===,0,INIT-START,12,0.000076,0.000000,1571150299.549981,0,40172.000000,0.000000, ===
===,1,INIT-STOP,12,0.110788,0.000000,1571150299.660693,0,51176.000000,122.265625, ===
===,2,INIT,12,0.110828,0.110793,1571150299.660732,0,51280.000000,122.265625, ===
===,0,INIT-START,13,0.000096,0.000000,1571150299.549931,0,40216.000000,0.000000, ===
===,1,INIT-STOP,13,0.110871,0.000000,1571150299.660706,0,51992.000000,150.781250, ===
===,2,INIT,13,0.110917,0.110874,1571150299.660751,0,52108.000000,150.781250, ===
===,3,FAILURE-GENERATE,13,6.432070,0.000000,1571150305.981905,0,52968.000000,34561.820312, ===
===,0,INIT-START,14,0.000086,0.000000,1571150299.549965,0,40176.000000,0.000000, ===
===,1,INIT-STOP,14,0.110817,0.000000,1571150299.660696,0,51256.000000,122.265625, ===
===,2,INIT,14,0.110859,0.110819,1571150299.660737,0,51348.000000,122.265625, ===
===,0,INIT-START,15,0.000075,0.000000,1571150299.549998,0,40236.000000,0.000000, ===
===,1,INIT-STOP,15,0.110774,0.000000,1571150299.660697,0,51032.000000,95.515625, ===
===,2,INIT,15,0.110827,0.110790,1571150299.660749,0,51052.000000,95.515625, ===
===,0,INIT-START,16,0.000076,0.000000,1571150299.549919,0,40184.000000,0.000000, ===
===,1,INIT-STOP,16,0.110857,0.000000,1571150299.660700,0,51796.000000,122.265625, ===
===,2,INIT,16,0.110894,0.110857,1571150299.660736,0,51852.000000,122.265625, ===
===,0,INIT-START,17,0.000074,0.000000,1571150299.549975,0,40304.000000,0.000000, ===
===,1,INIT-STOP,17,0.110797,0.000000,1571150299.660698,0,50876.000000,95.515625, ===
===,2,INIT,17,0.110848,0.110813,1571150299.660748,0,51104.000000,95.515625, ===
===,0,INIT-START,18,0.000078,0.000000,1571150299.550023,0,40284.000000,0.000000, ===
