===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000097,0.000000,1571390978.604639,0,40256.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.105093,0.000000,1571390978.709635,0,50612.000000,70.421875, ===
===,2,INIT,0,0.105144,0.105087,1571390978.709685,0,50796.000000,70.421875, ===
===,0,INIT-START,1,0.000077,0.000000,1571390978.604627,0,40232.000000,0.000000, ===
===,1,INIT-STOP,1,0.105101,0.000000,1571390978.709651,0,51124.000000,95.515625, ===
===,2,INIT,1,0.105149,0.105111,1571390978.709698,0,51324.000000,95.515625, ===
===,0,INIT-START,2,0.000082,0.000000,1571390978.604700,0,40196.000000,0.000000, ===
===,1,INIT-STOP,2,0.105017,0.000000,1571390978.709635,0,50616.000000,70.421875, ===
===,2,INIT,2,0.105069,0.105024,1571390978.709685,0,50784.000000,70.421875, ===
===,0,INIT-START,3,0.000075,0.000000,1571390978.604626,0,40256.000000,0.000000, ===
===,1,INIT-STOP,3,0.105100,0.000000,1571390978.709651,0,50800.000000,95.515625, ===
===,2,INIT,3,0.105144,0.105106,1571390978.709694,0,50980.000000,95.515625, ===
===,0,INIT-START,4,0.000084,0.000000,1571390978.604727,0,40064.000000,0.000000, ===
===,1,INIT-STOP,4,0.104997,0.000000,1571390978.709640,0,51420.000000,122.265625, ===
===,2,INIT,4,0.105043,0.104994,1571390978.709684,0,51556.000000,122.265625, ===
[i01r01c01s02:278380] [ 0] ===,3,FAILURE-GENERATE,4,4.277139,0.000000,1571390982.881781,0,52136.000000,18590.445312, ===
===,0,INIT-START,5,0.000082,0.000000,1571390978.604722,0,40244.000000,0.000000, ===
===,1,INIT-STOP,5,0.105011,0.000000,1571390978.709651,0,50840.000000,95.515625, ===
===,2,INIT,5,0.105057,0.105014,1571390978.709696,0,51020.000000,95.515625, ===
===,0,INIT-START,6,0.000104,0.000000,1571390978.604615,0,40224.000000,0.000000, ===
===,1,INIT-STOP,6,0.105124,0.000000,1571390978.709635,0,50660.000000,70.421875, ===
===,2,INIT,6,0.105174,0.105129,1571390978.709683,0,50888.000000,70.421875, ===
