===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000118,0.000000,1571149005.608157,0,38832.000000,0.000000, ===
===,1,INIT-STOP,0,0.000173,0.000000,1571149005.608212,0,39300.000000,0.000000, ===
===,2,INIT,0,0.000204,0.000131,1571149005.608242,0,39300.000000,0.000000, ===
===,0,INIT-START,1,0.000120,0.000000,1571149005.608076,0,38928.000000,0.000000, ===
===,1,INIT-STOP,1,0.000171,0.000000,1571149005.608127,0,39340.000000,0.000000, ===
===,2,INIT,1,0.000197,0.000134,1571149005.608153,0,39344.000000,0.000000, ===
===,0,INIT-START,2,0.000095,0.000000,1571149005.608190,0,38968.000000,0.000000, ===
===,1,INIT-STOP,2,0.000147,0.000000,1571149005.608242,0,39540.000000,0.000000, ===
===,2,INIT,2,0.000184,0.000129,1571149005.608279,0,39544.000000,0.000000, ===
===,0,INIT-START,3,0.000098,0.000000,1571149005.608238,0,39032.000000,0.000000, ===
===,1,INIT-STOP,3,0.000153,0.000000,1571149005.608293,0,39516.000000,0.000000, ===
===,2,INIT,3,0.000183,0.000122,1571149005.608322,0,39520.000000,0.000000, ===
===,0,INIT-START,4,0.000095,0.000000,1571149005.608115,0,38888.000000,0.000000, ===
===,1,INIT-STOP,4,0.000151,0.000000,1571149005.608171,0,39364.000000,0.000000, ===
===,2,INIT,4,0.000179,0.000127,1571149005.608198,0,39368.000000,0.000000, ===
===,0,INIT-START,5,0.000090,0.000000,1571149005.608226,0,38908.000000,0.000000, ===
===,1,INIT-STOP,5,0.000144,0.000000,1571149005.608280,0,39320.000000,0.000000, ===
===,2,INIT,5,0.000179,0.000128,1571149005.608315,0,39324.000000,0.000000, ===
===,0,INIT-START,6,0.000102,0.000000,1571149005.608181,0,38952.000000,0.000000, ===
===,1,INIT-STOP,6,0.000152,0.000000,1571149005.608231,0,39408.000000,0.000000, ===
===,2,INIT,6,0.000182,0.000115,1571149005.608260,0,39412.000000,0.000000, ===
===,0,INIT-START,7,0.000100,0.000000,1571149005.608155,0,38900.000000,0.000000, ===
===,1,INIT-STOP,7,0.000157,0.000000,1571149005.608212,0,39376.000000,0.000000, ===
===,2,INIT,7,0.000188,0.000129,1571149005.608243,0,39380.000000,0.000000, ===
===,0,INIT-START,8,0.000086,0.000000,1571149005.608083,0,38916.000000,0.000000, ===
===,1,INIT-STOP,8,0.000130,0.000000,1571149005.608127,0,39336.000000,0.000000, ===
===,2,INIT,8,0.000154,0.000110,1571149005.608150,0,39340.000000,0.000000, ===
===,0,INIT-START,9,0.000113,0.000000,1571149005.608255,0,38916.000000,0.000000, ===
===,1,INIT-STOP,9,0.000169,0.000000,1571149005.608311,0,39404.000000,0.000000, ===
===,2,INIT,9,0.000199,0.000130,1571149005.608340,0,39408.000000,0.000000, ===
===,0,INIT-START,10,0.000103,0.000000,1571149005.608075,0,38908.000000,0.000000, ===
===,1,INIT-STOP,10,0.000154,0.000000,1571149005.608126,0,39484.000000,0.000000, ===
===,2,INIT,10,0.000175,0.000128,1571149005.608147,0,39488.000000,0.000000, ===
===,0,INIT-START,11,0.000100,0.000000,1571149005.608227,0,38880.000000,0.000000, ===
===,1,INIT-STOP,11,0.000150,0.000000,1571149005.608277,0,39264.000000,0.000000, ===
===,2,INIT,11,0.000182,0.000121,1571149005.608309,0,39268.000000,0.000000, ===
===,0,INIT-START,12,0.000097,0.000000,1571149005.608075,0,38940.000000,0.000000, ===
===,1,INIT-STOP,12,0.000148,0.000000,1571149005.608125,0,39444.000000,0.000000, ===
===,2,INIT,12,0.000170,0.000128,1571149005.608148,0,39448.000000,0.000000, ===
===,0,INIT-START,13,0.000105,0.000000,1571149005.608212,0,38924.000000,0.000000, ===
===,1,INIT-STOP,13,0.000160,0.000000,1571149005.608267,0,39392.000000,0.000000, ===
===,2,INIT,13,0.000190,0.000131,1571149005.608296,0,39396.000000,0.000000, ===
===,0,INIT-START,14,0.000086,0.000000,1571149005.608128,0,38864.000000,0.000000, ===
===,1,INIT-STOP,14,0.000130,0.000000,1571149005.608172,0,39320.000000,0.000000, ===
===,2,INIT,14,0.000152,0.000106,1571149005.608193,0,39324.000000,0.000000, ===
===,0,INIT-START,15,0.000088,0.000000,1571149005.608207,0,38864.000000,0.000000, ===
===,1,INIT-STOP,15,0.000133,0.000000,1571149005.608251,0,39324.000000,0.000000, ===
===,2,INIT,15,0.000154,0.000105,1571149005.608273,0,39328.000000,0.000000, ===
===,0,INIT-START,16,0.000106,0.000000,1571149005.608167,0,38900.000000,0.000000, ===
===,1,INIT-STOP,16,0.000160,0.000000,1571149005.608220,0,39388.000000,0.000000, ===
===,2,INIT,16,0.000190,0.000131,1571149005.608250,0,39392.000000,0.000000, ===
===,0,INIT-START,17,0.000100,0.000000,1571149005.608094,0,38952.000000,0.000000, ===
===,1,INIT-STOP,17,0.000156,0.000000,1571149005.608150,0,39436.000000,0.000000, ===
===,2,INIT,17,0.000183,0.000130,1571149005.608177,0,39440.000000,0.000000, ===
===,0,INIT-START,18,0.000091,0.000000,1571149005.608188,0,38980.000000,0.000000, ===
===,1,INIT-STOP,18,0.000131,0.000000,1571149005.608228,0,39472.000000,0.000000, ===
===,2,INIT,18,0.000153,0.000101,1571149005.608250,0,39476.000000,0.000000, ===
===,0,INIT-START,19,0.000106,0.000000,1571149005.608222,0,38932.000000,0.000000, ===
===,1,INIT-STOP,19,0.000162,0.000000,1571149005.608278,0,39360.000000,0.000000, ===
===,2,INIT,19,0.000194,0.000135,1571149005.608309,0,39364.000000,0.000000, ===
===,0,INIT-START,20,0.000115,0.000000,1571149005.608193,0,38900.000000,0.000000, ===
===,1,INIT-STOP,20,0.000166,0.000000,1571149005.608244,0,39372.000000,0.000000, ===
===,2,INIT,20,0.000194,0.000130,1571149005.608272,0,39376.000000,0.000000, ===
===,0,INIT-START,21,0.000093,0.000000,1571149005.608076,0,38900.000000,0.000000, ===
===,1,INIT-STOP,21,0.000141,0.000000,1571149005.608124,0,39368.000000,0.000000, ===
===,2,INIT,21,0.000167,0.000118,1571149005.608149,0,39372.000000,0.000000, ===
===,0,INIT-START,22,0.000111,0.000000,1571149005.608075,0,38964.000000,0.000000, ===
===,1,INIT-STOP,22,0.000157,0.000000,1571149005.608121,0,39448.000000,0.000000, ===
===,2,INIT,22,0.000180,0.000125,1571149005.608143,0,39452.000000,0.000000, ===
===,0,INIT-START,23,0.000087,0.000000,1571149005.608154,0,38928.000000,0.000000, ===
===,1,INIT-STOP,23,0.000130,0.000000,1571149005.608197,0,39404.000000,0.000000, ===
===,2,INIT,23,0.000153,0.000106,1571149005.608219,0,39408.000000,0.000000, ===
===,0,INIT-START,24,0.000084,0.000000,1571149005.608097,0,38924.000000,0.000000, ===
===,1,INIT-STOP,24,0.000127,0.000000,1571149005.608140,0,39404.000000,0.000000, ===
===,2,INIT,24,0.000150,0.000107,1571149005.608163,0,39408.000000,0.000000, ===
===,0,INIT-START,25,0.000093,0.000000,1571149005.608235,0,38880.000000,0.000000, ===
===,1,INIT-STOP,25,0.000134,0.000000,1571149005.608277,0,39356.000000,0.000000, ===
===,2,INIT,25,0.000157,0.000105,1571149005.608300,0,39360.000000,0.000000, ===
===,0,INIT-START,26,0.000561,0.000000,1571149005.608585,0,41012.000000,0.000000, ===
===,1,INIT-STOP,26,0.000607,0.000000,1571149005.608631,0,41492.000000,0.000000, ===
===,2,INIT,26,0.000634,0.000115,1571149005.608658,0,41496.000000,0.000000, ===
===,3,FAILURE-GENERATE,26,0.137515,0.000000,1571149005.745539,0,42788.000000,6720.000000, ===
===,0,INIT-START,27,0.000105,0.000000,1571149005.608131,0,38916.000000,0.000000, ===
===,1,INIT-STOP,27,0.000159,0.000000,1571149005.608185,0,39468.000000,0.000000, ===
===,2,INIT,27,0.000186,0.000128,1571149005.608212,0,39472.000000,0.000000, ===
===,0,INIT-START,28,0.000093,0.000000,1571149005.608173,0,38924.000000,0.000000, ===
===,1,INIT-STOP,28,0.000135,0.000000,1571149005.608215,0,39388.000000,0.000000, ===
===,2,INIT,28,0.000158,0.000108,1571149005.608238,0,39392.000000,0.000000, ===
===,0,INIT-START,29,0.000094,0.000000,1571149005.608170,0,38920.000000,0.000000, ===
===,1,INIT-STOP,29,0.000148,0.000000,1571149005.608224,0,39328.000000,0.000000, ===
===,2,INIT,29,0.000178,0.000124,1571149005.608253,0,39332.000000,0.000000, ===
===,0,INIT-START,30,0.000117,0.000000,1571149005.608075,0,38952.000000,0.000000, ===
===,1,INIT-STOP,30,0.000164,0.000000,1571149005.608122,0,39440.000000,0.000000, ===
===,2,INIT,30,0.000185,0.000125,1571149005.608143,0,39444.000000,0.000000, ===
===,0,INIT-START,31,0.000108,0.000000,1571149005.608238,0,38872.000000,0.000000, ===
===,1,INIT-STOP,31,0.000147,0.000000,1571149005.608277,0,39316.000000,0.000000, ===
===,2,INIT,31,0.000167,0.000101,1571149005.608297,0,39320.000000,0.000000, ===
===,0,INIT-START,32,0.000110,0.000000,1571149005.608238,0,39008.000000,0.000000, ===
===,1,INIT-STOP,32,0.000164,0.000000,1571149005.608292,0,39488.000000,0.000000, ===
===,2,INIT,32,0.000202,0.000132,1571149005.608329,0,39492.000000,0.000000, ===
===,0,INIT-START,33,0.000083,0.000000,1571149005.608089,0,38980.000000,0.000000, ===
===,1,INIT-STOP,33,0.000123,0.000000,1571149005.608129,0,39456.000000,0.000000, ===
===,2,INIT,33,0.000147,0.000103,1571149005.608153,0,39460.000000,0.000000, ===
===,0,INIT-START,34,0.000105,0.000000,1571149005.608225,0,38912.000000,0.000000, ===
===,1,INIT-STOP,34,0.000155,0.000000,1571149005.608275,0,39384.000000,0.000000, ===
===,2,INIT,34,0.000184,0.000119,1571149005.608304,0,39388.000000,0.000000, ===
===,0,INIT-START,35,0.000089,0.000000,1571149005.608155,0,38940.000000,0.000000, ===
===,1,INIT-STOP,35,0.000130,0.000000,1571149005.608196,0,39336.000000,0.000000, ===
===,2,INIT,35,0.000155,0.000107,1571149005.608220,0,39340.000000,0.000000, ===
===,0,INIT-START,36,0.000093,0.000000,1571149005.608147,0,38896.000000,0.000000, ===
===,1,INIT-STOP,36,0.000141,0.000000,1571149005.608195,0,39372.000000,0.000000, ===
===,2,INIT,36,0.000167,0.000122,1571149005.608220,0,39376.000000,0.000000, ===
===,0,INIT-START,37,0.000116,0.000000,1571149005.608076,0,38968.000000,0.000000, ===
===,1,INIT-STOP,37,0.000165,0.000000,1571149005.608125,0,39452.000000,0.000000, ===
===,2,INIT,37,0.000189,0.000130,1571149005.608149,0,39456.000000,0.000000, ===
===,0,INIT-START,38,0.000094,0.000000,1571149005.608166,0,39000.000000,0.000000, ===
===,1,INIT-STOP,38,0.000147,0.000000,1571149005.608219,0,39476.000000,0.000000, ===
===,2,INIT,38,0.000176,0.000120,1571149005.608247,0,39480.000000,0.000000, ===
