===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000165,0.000000,1571390770.785873,0,38916.000000,0.000000, ===
===,1,INIT-STOP,0,0.000218,0.000000,1571390770.785926,0,39428.000000,0.000000, ===
===,2,INIT,0,0.000254,0.000123,1571390770.785961,0,39428.000000,0.000000, ===
===,3,ITER,0,0.000467,0.000000,1571390770.786174,0,39428.000000,0.000000, ===
===,4,ITER,0,0.263584,0.000000,1571390771.049292,0,41896.000000,13344.000000, ===
===,5,ITER,0,0.527709,0.000000,1571390771.313417,0,44180.000000,26656.000000, ===
===,6,ITER,0,0.790723,0.000000,1571390771.576431,0,46548.000000,39968.000000, ===
===,7,ITER,0,1.055319,0.000000,1571390771.841027,0,49180.000000,53344.000000, ===
===,8,ITER,0,1.318355,0.000000,1571390772.104063,0,51312.000000,66656.000000, ===
===,9,ITER,0,1.580901,0.000000,1571390772.366609,0,53944.000000,79968.000000, ===
===,10,ITER,0,1.845931,0.000000,1571390772.631639,0,56076.000000,93344.000000, ===
===,11,ITER,0,2.109479,0.000000,1571390772.895187,0,58680.000000,106656.000000, ===
===,12,ITER,0,2.371943,0.000000,1571390773.157651,0,60840.000000,119968.000000, ===
===,13,ITER,0,2.635165,0.000000,1571390773.420873,0,63472.000000,133344.000000, ===
===,14,ITER,0,2.897765,0.000000,1571390773.683473,0,65608.000000,146656.000000, ===
===,15,ITER,0,3.159717,0.000000,1571390773.945425,0,67972.000000,159968.000000, ===
===,0,INIT-START,1,0.000084,0.000000,1571390770.785666,0,38936.000000,0.000000, ===
===,1,INIT-STOP,1,0.000125,0.000000,1571390770.785707,0,39332.000000,0.000000, ===
===,2,INIT,1,0.000145,0.000102,1571390770.785727,0,39336.000000,0.000000, ===
===,3,ITER,1,0.000310,0.000000,1571390770.785892,0,39336.000000,0.000000, ===
===,4,ITER,1,0.263738,0.000000,1571390771.049320,0,41760.000000,13376.000000, ===
===,5,ITER,1,0.527830,0.000000,1571390771.313412,0,44076.000000,26688.000000, ===
===,6,ITER,1,0.790871,0.000000,1571390771.576453,0,46440.000000,40000.000000, ===
===,7,ITER,1,1.055462,0.000000,1571390771.841044,0,49072.000000,53376.000000, ===
===,8,ITER,1,1.318504,0.000000,1571390772.104086,0,51204.000000,66688.000000, ===
===,9,ITER,1,1.581052,0.000000,1571390772.366634,0,53836.000000,80000.000000, ===
===,10,ITER,1,1.846075,0.000000,1571390772.631657,0,55972.000000,93376.000000, ===
===,11,ITER,1,2.109638,0.000000,1571390772.895220,0,58576.000000,106688.000000, ===
===,12,ITER,1,2.372089,0.000000,1571390773.157671,0,60736.000000,120000.000000, ===
===,13,ITER,1,2.635316,0.000000,1571390773.420898,0,63364.000000,133376.000000, ===
===,14,ITER,1,2.897906,0.000000,1571390773.683488,0,65500.000000,146688.000000, ===
===,15,ITER,1,3.159838,0.000000,1571390773.945420,0,67864.000000,160000.000000, ===
===,0,INIT-START,2,0.000117,0.000000,1571390770.785823,0,38940.000000,0.000000, ===
===,1,INIT-STOP,2,0.000173,0.000000,1571390770.785879,0,39320.000000,0.000000, ===
