===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000115,0.000000,1571593712.868573,0,38652.000000,0.000000, ===
===,1,INIT-STOP,0,0.004046,0.000000,1571593712.872504,0,41864.000000,0.000000, ===
===,2,INIT,0,0.004078,0.004005,1571593712.872536,0,42076.000000,0.000000, ===
===,3,ITER,0,0.004110,0.000000,1571593712.872568,1,42076.000000,0.000000, ===
===,4,ITER,0,0.789995,0.000000,1571593713.658453,101,47772.000000,2136.718750, ===
===,5,ITER,0,1.536674,0.000000,1571593714.405132,201,47860.000000,4273.437500, ===
===,6,ITER,0,2.284108,0.000000,1571593715.152566,301,47860.000000,6410.156250, ===
===,7,ITER,0,2.847641,0.000000,1571593715.716099,401,47860.000000,8546.875000, ===
===,8,ITER,0,3.371182,0.000000,1571593716.239640,501,47860.000000,10683.593750, ===
===,9,ITER,0,3.895125,0.000000,1571593716.763583,601,47860.000000,12820.312500, ===
===,10,ITER,0,4.417904,0.000000,1571593717.286362,701,47860.000000,14957.031250, ===
===,11,ITER,0,4.941394,0.000000,1571593717.809852,801,47860.000000,17093.750000, ===
===,12,ITER,0,5.464657,0.000000,1571593718.333115,901,47860.000000,19230.468750, ===
===,13,ITER,0,5.989264,0.000000,1571593718.857722,1001,47860.000000,21367.187500, ===
===,14,ITER,0,6.512075,0.000000,1571593719.380533,1101,47860.000000,23503.906250, ===
===,15,ITER,0,7.038309,0.000000,1571593719.906767,1201,47860.000000,25640.625000, ===
===,16,ITER,0,7.560712,0.000000,1571593720.429170,1301,47860.000000,27777.343750, ===
===,17,ITER,0,8.083514,0.000000,1571593720.951972,1401,47860.000000,29914.062500, ===
===,18,ITER,0,8.606285,0.000000,1571593721.474743,1501,47884.000000,32050.781250, ===
===,19,ITER,0,9.131747,0.000000,1571593722.000205,1601,48056.000000,34187.500000, ===
===,20,ITER,0,9.655151,0.000000,1571593722.523609,1701,48232.000000,36324.218750, ===
===,21,ITER,0,10.178266,0.000000,1571593723.046724,1801,48404.000000,38460.937500, ===
===,22,ITER,0,10.701716,0.000000,1571593723.570174,1901,48580.000000,40597.656250, ===
===,23,ITER,0,11.227073,0.000000,1571593724.095531,2001,48752.000000,42734.375000, ===
===,24,ITER,0,11.749972,0.000000,1571593724.618430,2101,48924.000000,44871.093750, ===
===,25,ITER,0,12.275861,0.000000,1571593725.144318,2201,49096.000000,47007.812500, ===
===,26,ITER,0,12.831408,0.000000,1571593725.699866,2301,49276.000000,49144.531250, ===
===,27,ITER,0,13.393795,0.000000,1571593726.262253,2401,49464.000000,51281.250000, ===
===,28,ITER,0,13.916928,0.000000,1571593726.785386,2501,49656.000000,53417.968750, ===
===,29,ITER,0,14.440348,0.000000,1571593727.308806,2601,49844.000000,55554.687500, ===
===,30,ITER,0,14.963368,0.000000,1571593727.831825,2701,50032.000000,57691.406250, ===
===,31,ITER,0,15.485391,0.000000,1571593728.353849,2801,50220.000000,59828.125000, ===
===,32,ITER,0,16.008401,0.000000,1571593728.876859,2901,50412.000000,61964.843750, ===
===,33,ITER,0,16.530876,0.000000,1571593729.399334,3001,50600.000000,64101.562500, ===
===,34,ITER,0,17.054281,0.000000,1571593729.922739,3101,50788.000000,66238.281250, ===
===,35,ITER,0,17.576985,0.000000,1571593730.445443,3201,50976.000000,68375.000000, ===
===,36,ITER,0,18.100139,0.000000,1571593730.968597,3301,51164.000000,70511.718750, ===
===,37,ITER,0,18.624492,0.000000,1571593731.492950,3401,51356.000000,72648.437500, ===
===,38,ITER,0,19.146986,0.000000,1571593732.015444,3501,51544.000000,74785.156250, ===
===,39,ITER,0,19.669205,0.000000,1571593732.537663,3601,51736.000000,76921.875000, ===
===,40,ITER,0,20.192249,0.000000,1571593733.060707,3701,51924.000000,79058.593750, ===
===,41,ITER,0,20.714502,0.000000,1571593733.582960,3801,52112.000000,81195.312500, ===
===,42,ITER,0,21.237369,0.000000,1571593734.105827,3901,52300.000000,83332.031250, ===
===,43,ITER,0,21.759856,0.000000,1571593734.628314,4001,52488.000000,85468.750000, ===
===,44,ITER,0,22.285681,0.000000,1571593735.154139,4101,52680.000000,87605.468750, ===
===,0,INIT-START,1,0.000134,0.000000,1571593712.868658,0,38736.000000,0.000000, ===
===,1,INIT-STOP,1,0.003262,0.000000,1571593712.871786,0,41896.000000,0.000000, ===
