===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000109,0.000000,1571595156.124559,0,39960.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.143648,0.000000,1571595156.268098,0,55764.000000,102.203125, ===
===,2,INIT,0,0.143697,0.143637,1571595156.268146,0,55980.000000,102.203125, ===
===,0,INIT-START,1,0.000077,0.000000,1571595156.124643,0,40044.000000,0.000000, ===
===,1,INIT-STOP,1,0.143545,0.000000,1571595156.268111,0,56596.000000,138.218750, ===
===,2,INIT,1,0.143603,0.143563,1571595156.268168,0,56808.000000,138.218750, ===
===,0,INIT-START,2,0.000082,0.000000,1571595156.124631,0,39936.000000,0.000000, ===
===,1,INIT-STOP,2,0.143549,0.000000,1571595156.268098,0,55644.000000,102.203125, ===
===,2,INIT,2,0.143595,0.143558,1571595156.268143,0,55896.000000,102.203125, ===
===,0,INIT-START,3,0.000093,0.000000,1571595156.124604,0,42304.000000,0.000000, ===
===,1,INIT-STOP,3,0.143600,0.000000,1571595156.268111,0,57916.000000,138.218750, ===
===,2,INIT,3,0.143648,0.143608,1571595156.268158,0,58196.000000,138.218750, ===
===,0,INIT-START,4,0.000075,0.000000,1571595156.124627,0,39960.000000,0.000000, ===
===,1,INIT-STOP,4,0.143546,0.000000,1571595156.268097,0,56824.000000,176.218750, ===
===,2,INIT,4,0.143593,0.143559,1571595156.268144,0,57064.000000,176.218750, ===
===,0,INIT-START,5,0.000074,0.000000,1571595156.124604,0,39960.000000,0.000000, ===
===,1,INIT-STOP,5,0.143581,0.000000,1571595156.268110,0,55844.000000,138.218750, ===
===,2,INIT,5,0.143630,0.143597,1571595156.268158,0,56108.000000,138.218750, ===
===,0,INIT-START,6,0.000073,0.000000,1571595156.124569,0,39948.000000,0.000000, ===
===,1,INIT-STOP,6,0.143602,0.000000,1571595156.268098,0,55636.000000,102.203125, ===
===,2,INIT,6,0.143647,0.143610,1571595156.268141,0,55896.000000,102.203125, ===
===,0,INIT-START,7,0.000071,0.000000,1571595156.124606,0,40008.000000,0.000000, ===
===,1,INIT-STOP,7,0.143578,0.000000,1571595156.268114,0,56708.000000,138.218750, ===
===,2,INIT,7,0.143630,0.143597,1571595156.268165,0,56936.000000,138.218750, ===
===,0,INIT-START,8,0.000072,0.000000,1571595156.124572,0,39980.000000,0.000000, ===
===,1,INIT-STOP,8,0.143598,0.000000,1571595156.268098,0,55860.000000,102.203125, ===
===,2,INIT,8,0.143643,0.143610,1571595156.268142,0,56100.000000,102.203125, ===
===,0,INIT-START,9,0.000089,0.000000,1571595156.124604,0,39948.000000,0.000000, ===
===,1,INIT-STOP,9,0.143596,0.000000,1571595156.268111,0,56148.000000,138.218750, ===
===,2,INIT,9,0.143647,0.143611,1571595156.268161,0,56176.000000,138.218750, ===
===,0,INIT-START,10,0.000085,0.000000,1571595156.124689,0,39872.000000,0.000000, ===
===,1,INIT-STOP,10,0.143507,0.000000,1571595156.268111,0,56840.000000,176.218750, ===
===,2,INIT,10,0.143544,0.143497,1571595156.268147,0,57100.000000,176.218750, ===
===,0,INIT-START,11,0.000077,0.000000,1571595156.124638,0,39960.000000,0.000000, ===
