===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000116,0.000000,1571585714.641157,0,39340.000000,0.000000, ===
===,1,INIT-STOP,0,0.000175,0.000000,1571585714.641216,0,39372.000000,0.000000, ===
===,2,INIT,0,0.000206,0.000133,1571585714.641246,0,39372.000000,0.000000, ===
===,3,ITER,0,0.000473,0.000000,1571585714.641514,0,39372.000000,0.000000, ===
===,4,ITER,0,0.273976,0.000000,1571585714.915017,10000,41904.000000,13344.000000, ===
===,5,ITER,0,0.540115,0.000000,1571585715.181156,20000,44156.000000,26656.000000, ===
===,6,ITER,0,0.804579,0.000000,1571585715.445620,30000,46520.000000,39968.000000, ===
===,7,ITER,0,1.070149,0.000000,1571585715.711190,40000,49152.000000,53344.000000, ===
===,8,ITER,0,1.333848,0.000000,1571585715.974889,50000,51284.000000,66656.000000, ===
===,9,ITER,0,1.597307,0.000000,1571585716.238348,60000,53916.000000,79968.000000, ===
===,10,ITER,0,1.862518,0.000000,1571585716.503559,70000,56052.000000,93344.000000, ===
===,11,ITER,0,2.126279,0.000000,1571585716.767320,80000,58680.000000,106656.000000, ===
===,12,ITER,0,2.390066,0.000000,1571585717.031107,90000,60816.000000,119968.000000, ===
===,13,ITER,0,2.654534,0.000000,1571585717.295575,100000,63444.000000,133344.000000, ===
===,14,ITER,0,2.918948,0.000000,1571585717.559989,110000,65580.000000,146656.000000, ===
===,15,ITER,0,3.182617,0.000000,1571585717.823658,120000,67944.000000,159968.000000, ===
===,16,ITER,0,3.447992,0.000000,1571585718.089033,130000,70576.000000,173344.000000, ===
===,17,ITER,0,3.711476,0.000000,1571585718.352517,140000,72712.000000,186656.000000, ===
===,18,ITER,0,3.975360,0.000000,1571585718.616401,150000,75344.000000,199968.000000, ===
===,19,ITER,0,4.240369,0.000000,1571585718.881410,160000,77476.000000,213344.000000, ===
===,20,ITER,0,4.503929,0.000000,1571585719.144970,170000,80108.000000,226656.000000, ===
===,21,ITER,0,4.767931,0.000000,1571585719.408971,180000,82240.000000,239968.000000, ===
===,22,ITER,0,5.032330,0.000000,1571585719.673371,190000,84872.000000,253344.000000, ===
===,23,ITER,0,5.296415,0.000000,1571585719.937456,200000,87004.000000,266656.000000, ===
===,24,ITER,0,5.559958,0.000000,1571585720.200999,210000,89372.000000,279968.000000, ===
===,25,ITER,0,5.824913,0.000000,1571585720.465954,220000,92004.000000,293344.000000, ===
===,26,ITER,0,6.088335,0.000000,1571585720.729376,230000,94136.000000,306656.000000, ===
===,27,ITER,0,6.351592,0.000000,1571585720.992633,240000,96768.000000,319968.000000, ===
===,28,ITER,0,6.616388,0.000000,1571585721.257428,250000,98900.000000,333344.000000, ===
