===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000125,0.000000,1571590113.177361,0,39036.000000,0.000000, ===
===,1,INIT-STOP,0,0.004113,0.000000,1571590113.181349,0,41924.000000,0.000000, ===
===,2,INIT,0,0.004145,0.004073,1571590113.181381,0,42124.000000,0.000000, ===
===,3,ITER,0,0.004176,0.000000,1571590113.181412,1,42124.000000,0.000000, ===
===,4,ITER,0,0.722870,0.000000,1571590113.900106,101,47812.000000,2136.718750, ===
===,5,ITER,0,1.256989,0.000000,1571590114.434225,201,47932.000000,4273.437500, ===
===,6,ITER,0,1.790389,0.000000,1571590114.967625,301,47932.000000,6410.156250, ===
===,7,ITER,0,2.370981,0.000000,1571590115.548217,401,47932.000000,8546.875000, ===
===,8,ITER,0,2.913243,0.000000,1571590116.090479,501,47932.000000,10683.593750, ===
===,9,ITER,0,3.447223,0.000000,1571590116.624459,601,47932.000000,12820.312500, ===
===,10,ITER,0,3.980900,0.000000,1571590117.158136,701,47932.000000,14957.031250, ===
===,11,ITER,0,4.514584,0.000000,1571590117.691820,801,47932.000000,17093.750000, ===
===,12,ITER,0,5.047929,0.000000,1571590118.225165,901,47932.000000,19230.468750, ===
===,13,ITER,0,5.583365,0.000000,1571590118.760601,1001,47932.000000,21367.187500, ===
===,14,ITER,0,6.117008,0.000000,1571590119.294244,1101,47932.000000,23503.906250, ===
===,15,ITER,0,6.650687,0.000000,1571590119.827923,1201,47932.000000,25640.625000, ===
===,16,ITER,0,7.184189,0.000000,1571590120.361425,1301,47932.000000,27777.343750, ===
===,17,ITER,0,7.717573,0.000000,1571590120.894809,1401,47932.000000,29914.062500, ===
===,18,ITER,0,8.251353,0.000000,1571590121.428589,1501,47956.000000,32050.781250, ===
===,19,ITER,0,8.784735,0.000000,1571590121.961971,1601,48128.000000,34187.500000, ===
===,20,ITER,0,9.319367,0.000000,1571590122.496603,1701,48312.000000,36324.218750, ===
===,21,ITER,0,9.852635,0.000000,1571590123.029871,1801,48488.000000,38460.937500, ===
===,22,ITER,0,10.385892,0.000000,1571590123.563128,1901,48660.000000,40597.656250, ===
===,23,ITER,0,10.919355,0.000000,1571590124.096591,2001,48832.000000,42734.375000, ===
===,24,ITER,0,11.452943,0.000000,1571590124.630179,2101,49004.000000,44871.093750, ===
