===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000096,0.000000,1571428999.495960,0,40228.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.161172,0.000000,1571428999.657037,0,55940.000000,102.203125, ===
===,2,INIT,0,0.161214,0.161156,1571428999.657077,0,56020.000000,102.203125, ===
===,3,FINALIZE-START,0,56.729164,0.000000,1571429056.225029,0,55984.000000,122345.789062, ===
===,4,FINALIZE-STOP,0,58.301634,0.000000,1571429057.797499,0,25108.000000,122345.789062, ===
===,5,FINALIZE,0,58.301679,1.572563,1571429057.797544,0,25108.000000,122345.789062, ===
===,0,INIT-START,1,0.000075,0.000000,1571428999.495944,0,40284.000000,0.000000, ===
===,1,INIT-STOP,1,0.161191,0.000000,1571428999.657060,0,56916.000000,138.218750, ===
===,2,INIT,1,0.161241,0.161204,1571428999.657109,0,57016.000000,138.218750, ===
===,3,FINALIZE-START,1,56.731407,0.000000,1571429056.227276,0,57156.000000,165408.367188, ===
===,4,FINALIZE-STOP,1,58.621418,0.000000,1571429058.117287,0,26152.000000,165408.367188, ===
===,5,FINALIZE,1,58.621449,1.890089,1571429058.117318,0,26152.000000,165408.367188, ===
===,0,INIT-START,2,0.000102,0.000000,1571428999.495994,0,40564.000000,0.000000, ===
===,1,INIT-STOP,2,0.161148,0.000000,1571428999.657040,0,56044.000000,102.203125, ===
===,2,INIT,2,0.161191,0.161128,1571428999.657082,0,56152.000000,102.203125, ===
===,3,FINALIZE-START,2,56.724579,0.000000,1571429056.220471,0,56116.000000,122345.789062, ===
===,4,FINALIZE-STOP,2,59.257156,0.000000,1571429058.753048,0,25276.000000,122345.789062, ===
===,5,FINALIZE,2,59.257198,2.532668,1571429058.753089,0,25276.000000,122345.789062, ===
===,0,INIT-START,3,0.000075,0.000000,1571428999.495947,0,40156.000000,0.000000, ===
===,1,INIT-STOP,3,0.161192,0.000000,1571428999.657064,0,56036.000000,138.218750, ===
===,2,INIT,3,0.161246,0.161208,1571428999.657116,0,56216.000000,138.218750, ===
===,3,FINALIZE-START,3,56.722974,0.000000,1571429056.218845,0,56348.000000,165408.367188, ===
===,4,FINALIZE-STOP,3,58.333256,0.000000,1571429057.829128,0,25288.000000,165408.367188, ===
===,5,FINALIZE,3,58.333297,1.610403,1571429057.829168,0,25288.000000,165408.367188, ===
===,0,INIT-START,4,0.000081,0.000000,1571428999.495966,0,40264.000000,0.000000, ===
===,1,INIT-STOP,4,0.161157,0.000000,1571428999.657042,0,57332.000000,176.218750, ===
===,2,INIT,4,0.161199,0.161155,1571428999.657082,0,57336.000000,176.218750, ===
===,3,FINALIZE-START,4,56.723745,0.000000,1571429056.219630,0,57672.000000,210796.992188, ===
===,4,FINALIZE-STOP,4,58.525506,0.000000,1571429058.021391,0,26484.000000,210796.992188, ===
===,5,FINALIZE,4,58.525548,1.801852,1571429058.021432,0,26484.000000,210796.992188, ===
===,0,INIT-START,5,0.000076,0.000000,1571428999.495977,0,40260.000000,0.000000, ===
===,1,INIT-STOP,5,0.161159,0.000000,1571428999.657059,0,56120.000000,138.218750, ===
===,2,INIT,5,0.161214,0.161177,1571428999.657114,0,56340.000000,138.218750, ===
===,3,FINALIZE-START,5,56.723334,0.000000,1571429056.219235,0,56460.000000,165408.367188, ===
===,4,FINALIZE-STOP,5,58.149224,0.000000,1571429057.645125,0,25396.000000,165408.367188, ===
===,5,FINALIZE,5,58.149268,1.425991,1571429057.645168,0,25396.000000,165408.367188, ===
===,0,INIT-START,6,0.000082,0.000000,1571428999.495978,0,40272.000000,0.000000, ===
===,1,INIT-STOP,6,0.161142,0.000000,1571428999.657038,0,55952.000000,102.203125, ===
===,2,INIT,6,0.161184,0.161141,1571428999.657079,0,56108.000000,102.203125, ===
===,3,FINALIZE-START,6,56.730514,0.000000,1571429056.226410,0,56040.000000,122345.789062, ===
===,4,FINALIZE-STOP,6,59.381214,0.000000,1571429058.877110,0,25136.000000,122345.789062, ===
===,5,FINALIZE,6,59.381255,2.650791,1571429058.877150,0,25136.000000,122345.789062, ===
===,0,INIT-START,7,0.000097,0.000000,1571428999.496000,0,40196.000000,0.000000, ===
===,1,INIT-STOP,7,0.161157,0.000000,1571428999.657059,0,56692.000000,138.218750, ===
===,2,INIT,7,0.161206,0.161147,1571428999.657108,0,56888.000000,138.218750, ===
===,3,FINALIZE-START,7,56.723883,0.000000,1571429056.219786,0,57012.000000,165408.367188, ===
===,4,FINALIZE-STOP,7,58.721210,0.000000,1571429058.217113,0,25944.000000,165408.367188, ===
===,5,FINALIZE,7,58.721253,1.997419,1571429058.217156,0,25944.000000,165408.367188, ===
===,0,INIT-START,8,0.000089,0.000000,1571428999.495884,0,40292.000000,0.000000, ===
===,1,INIT-STOP,8,0.161242,0.000000,1571428999.657037,0,56032.000000,102.203125, ===
===,2,INIT,8,0.161283,0.161247,1571428999.657078,0,56208.000000,102.203125, ===
===,3,FINALIZE-START,8,56.723837,0.000000,1571429056.219633,0,56176.000000,122345.789062, ===
===,4,FINALIZE-STOP,8,58.877444,0.000000,1571429058.373240,0,25252.000000,122345.789062, ===
===,5,FINALIZE,8,58.877485,2.153696,1571429058.373280,0,25252.000000,122345.789062, ===
===,0,INIT-START,9,0.000092,0.000000,1571428999.495995,0,40300.000000,0.000000, ===
===,1,INIT-STOP,9,0.161160,0.000000,1571428999.657063,0,56360.000000,138.218750, ===
===,2,INIT,9,0.161209,0.161155,1571428999.657111,0,56404.000000,138.218750, ===
===,3,FINALIZE-START,9,56.726131,0.000000,1571429056.222034,0,56540.000000,165408.367188, ===
===,4,FINALIZE-STOP,9,58.401331,0.000000,1571429057.897233,0,25448.000000,165408.367188, ===
===,5,FINALIZE,9,58.401373,1.675288,1571429057.897275,0,25448.000000,165408.367188, ===
===,0,INIT-START,10,0.000078,0.000000,1571428999.495971,0,40304.000000,0.000000, ===
===,1,INIT-STOP,10,0.161163,0.000000,1571428999.657056,0,57308.000000,176.218750, ===
===,2,INIT,10,0.161195,0.161157,1571428999.657087,0,57348.000000,176.218750, ===
===,3,FINALIZE-START,10,56.723660,0.000000,1571429056.219553,0,57740.000000,210796.992188, ===
===,4,FINALIZE-STOP,10,59.713575,0.000000,1571429059.209468,0,26528.000000,210796.992188, ===
===,5,FINALIZE,10,59.713605,2.989996,1571429059.209498,0,26528.000000,210796.992188, ===
===,0,INIT-START,11,0.000090,0.000000,1571428999.495933,0,40224.000000,0.000000, ===
