===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000115,0.000000,1571415040.667376,0,38876.000000,0.000000, ===
===,1,INIT-STOP,0,0.000163,0.000000,1571415040.667424,0,39296.000000,0.000000, ===
===,2,INIT,0,0.000184,0.000104,1571415040.667444,0,39296.000000,0.000000, ===
===,3,ITER,0,0.000366,0.000000,1571415040.667627,0,39296.000000,0.000000, ===
===,4,ITER,0,0.273186,0.000000,1571415040.940447,0,41764.000000,13344.000000, ===
===,5,ITER,0,0.537727,0.000000,1571415041.204988,0,44048.000000,26656.000000, ===
===,6,ITER,0,0.800840,0.000000,1571415041.468101,0,46416.000000,39968.000000, ===
===,7,ITER,0,1.065546,0.000000,1571415041.732807,0,49048.000000,53344.000000, ===
===,8,ITER,0,1.328322,0.000000,1571415041.995583,0,51180.000000,66656.000000, ===
===,9,ITER,0,1.591094,0.000000,1571415042.258355,0,53812.000000,79968.000000, ===
===,10,ITER,0,1.855410,0.000000,1571415042.522671,0,55944.000000,93344.000000, ===
===,11,ITER,0,2.117995,0.000000,1571415042.785255,0,58576.000000,106656.000000, ===
===,12,ITER,0,2.381432,0.000000,1571415043.048693,0,60708.000000,119968.000000, ===
===,13,ITER,0,2.645155,0.000000,1571415043.312416,0,63340.000000,133344.000000, ===
===,14,ITER,0,2.908509,0.000000,1571415043.575770,0,65476.000000,146656.000000, ===
===,15,ITER,0,3.171618,0.000000,1571415043.838879,0,67840.000000,159968.000000, ===
===,16,ITER,0,3.435925,0.000000,1571415044.103186,0,70472.000000,173344.000000, ===
===,17,ITER,0,3.698801,0.000000,1571415044.366062,0,72604.000000,186656.000000, ===
===,18,ITER,0,3.961451,0.000000,1571415044.628711,0,75236.000000,199968.000000, ===
===,19,ITER,0,4.226006,0.000000,1571415044.893267,0,77372.000000,213344.000000, ===
===,20,ITER,0,4.490327,0.000000,1571415045.157588,0,79972.000000,226656.000000, ===
===,21,ITER,0,4.753724,0.000000,1571415045.420985,0,82136.000000,239968.000000, ===
===,22,ITER,0,5.017536,0.000000,1571415045.684797,0,84764.000000,253344.000000, ===
===,23,ITER,0,5.281123,0.000000,1571415045.948384,0,86900.000000,266656.000000, ===
===,24,ITER,0,5.543913,0.000000,1571415046.211173,0,89264.000000,279968.000000, ===
===,25,ITER,0,5.808515,0.000000,1571415046.475776,0,91896.000000,293344.000000, ===
===,26,ITER,0,6.071562,0.000000,1571415046.738823,0,94032.000000,306656.000000, ===
===,27,ITER,0,6.334543,0.000000,1571415047.001804,0,96664.000000,319968.000000, ===
===,28,ITER,0,6.599004,0.000000,1571415047.266264,0,98796.000000,333344.000000, ===
===,29,ITER,0,6.862100,0.000000,1571415047.529361,0,101428.000000,346656.000000, ===
===,30,ITER,0,7.125508,0.000000,1571415047.792769,0,103560.000000,359968.000000, ===
===,31,ITER,0,7.389342,0.000000,1571415048.056603,0,106192.000000,373344.000000, ===
===,32,ITER,0,7.653028,0.000000,1571415048.320289,0,108328.000000,386656.000000, ===
===,33,ITER,0,7.916030,0.000000,1571415048.583291,0,110692.000000,399968.000000, ===
===,34,ITER,0,8.180409,0.000000,1571415048.847670,0,113324.000000,413344.000000, ===
===,35,ITER,0,8.443494,0.000000,1571415049.110755,0,115456.000000,426656.000000, ===
===,36,ITER,0,8.706070,0.000000,1571415049.373331,0,118088.000000,439968.000000, ===
===,37,ITER,0,8.970708,0.000000,1571415049.637969,0,120220.000000,453344.000000, ===
===,38,ITER,0,9.233368,0.000000,1571415049.900629,0,122852.000000,466656.000000, ===
===,39,ITER,0,9.498438,0.000000,1571415050.165699,0,125220.000000,479968.000000, ===
===,40,ITER,0,9.761972,0.000000,1571415050.429233,0,127616.000000,493344.000000, ===
===,41,ITER,0,10.025401,0.000000,1571415050.692662,0,129752.000000,506656.000000, ===
===,42,ITER,0,10.288010,0.000000,1571415050.955271,0,132116.000000,519968.000000, ===
===,43,ITER,0,10.552752,0.000000,1571415051.220013,0,134748.000000,533344.000000, ===
===,44,ITER,0,10.815142,0.000000,1571415051.482403,0,136884.000000,546656.000000, ===
===,45,ITER,0,11.067745,0.000000,1571415051.735006,0,139516.000000,559968.000000, ===
===,46,ITER,0,11.331676,0.000000,1571415051.998937,0,141648.000000,573344.000000, ===
===,47,ITER,0,11.594550,0.000000,1571415052.261810,0,144280.000000,586656.000000, ===
===,48,ITER,0,11.857683,0.000000,1571415052.524944,0,146412.000000,599968.000000, ===
===,49,ITER,0,12.121652,0.000000,1571415052.788913,0,149044.000000,613344.000000, ===
===,50,ITER,0,12.384928,0.000000,1571415053.052189,0,151176.000000,626656.000000, ===
