TIME,MEM
0, 0
488, 552
493, 4768
501, 19068
509, 23062
517, 32052
521, 36420
527, 36508
532, 36892
539, 37183
544, 37330
552, 194899
560, 196039
567, 281279
575, 203207
580, 208239
585, 208228
592, 210474
600, 216222
608, 227423
616, 263264
624, 246724
632, 259872
640, 269566
648, 282638
653, 294301
659, 294301
666, 293840
670, 293976
677, 296637
685, 300271
690, 308740
695, 308757
701, 308572
709, 313536
717, 325250
725, 338327
733, 346890
741, 357516
745, 363971
750, 369836
756, 370182
760, 375666
766, 375834
770, 377430
777, 377824
785, 468537
793, 470116
797, 472248
804, 554814
812, 477974
819, 480587
827, 492788
835, 499368
843, 505942
851, 509005
859, 512129
867, 515017
875, 519683
883, 527557
891, 532654
899, 538744
907, 545831
915, 559032
923, 561640
927, 564898
932, 568131
939, 571261
943, 571251
950, 571259
958, 571822
962, 572022
967, 571966
978, 571985
986, 572652
992, 581084
1001, 581084
1009, 579969
1013, 581646
1018, 582198
1022, 582190
1027, 582441
1035, 582271
1043, 582770
1049, 634909
1056, 637696
1064, 642852
1069, 649199
1076, 652749
1084, 646109
1088, 649458
1093, 654729
1099, 661944
1105, 662473
1112, 671184
1120, 678609
1125, 681635
1129, 684191
1136, 684228
1142, 687840
1149, 687862
1154, 687825
1162, 697189
1170, 711365
1174, 714259
1181, 717358
1189, 764696
1193, 763230
1198, 767099
1203, 778196
1207, 781107
1212, 785475
1217, 786768
1225, 789908
1229, 792929
1236, 799577
1244, 793238
1252, 795286
1259, 863215
1267, 872692
1272, 880784
1276, 884874
1281, 890681
1287, 912313
1291, 919951
1296, 925155
1303, 937643
1307, 946026
1312, 951006
1319, 962713
1327, 974910
1335, 991090
1340, 997280
1348, 2580291
1352, 2581503
1357, 2664953
1365, 2588110
1369, 2584209
1376, 2587438
1383, 2595601
1391, 2602882
1399, 2611958
1407, 2633068
1415, 2648828
1419, 2655296
1423, 2660854
1428, 2664739
1433, 2671817
1437, 2677406
1441, 2678714
1445, 2679438
1542, 2679942
1545, 2680574
1554, 6877758
1558, 6892246
1564, 7031241
1573, 7031537
1580, 7036616
1584, 7039676
1588, 7042692
1592, 7044302
1596, 7051127
1600, 7058838
1604, 7068936
1611, 7088097
1615, 7088985
1619, 7089985
1623, 7089705
1627, 7089529
1631, 7069633
1635, 7071128
1639, 7076530
1645, 7076482
1649, 7078034
1654, 7078914
1658, 7090442
1663, 7095318
1669, 7097887
1675, 7097879
1678, 7098103
1683, 7098111
1687, 7098103
1691, 7098925
1695, 7111634
1700, 7112658
1703, 7117306
1716, 7112746
1723, 7114208
1727, 7114373
1732, 7116227
1735, 40671260
1854, 40671308
1861, 40671456
1894, 40671536
1899, 40671480
1904, 40671704
1910, 74268753
1914, 74335597
1919, 74335453
1922, 74334945
1962, 74335345
2069, 74268601
2073, 40713937
2386, 74269090
2391, 74270147
2398, 74274004
2406, 74273996
2408, 107862229
2424, 107928149
2532, 107861405
2535, 74306741
2775, 74307166
2784, 74308168
2786, 74308137
3022, 74308562
3027, 74376445
3271, 74309958
3277, 74377841
3517, 74311354
3519, 74380153
3766, 74312750
4010, 74314146
4019, 74315148
4021, 74382029
4269, 74315542
4271, 74383425
4517, 74316938
4519, 74317940
4764, 74318334
4767, 74319336
4773, 107874297
4917, 107873829
4919, 309203411
6239, 309203047
6245, 242094135
6377, 242093471
6382, 208539039
6618, 208539929
6629, 208540931
6870, 208541325
6875, 208542327
7122, 208542721
7125, 208543723
7374, 208544117
7376, 208612000
7628, 208545513
7678, 208613684
7682, 208616821
7690, 208616080
7694, 208616008
7697, 208616560
7699, 208615960
7934, 208549473
7946, 208617356
8185, 208550869
8193, 208618752
8451, 208552265
8454, 208677676
8677, 208611197
8695, 208611302
8699, 208611534
8701, 208612887
8944, 208613329
8946, 208614091
8948, 208614311
8950, 208614347
8952, 208614023
8954, 208614507
8956, 208614199
8958, 208618355
8960, 208622662
8962, 208623875
8965, 219797952
8969, 230939261
8971, 230940671
9444, 298049803
9451, 230940891
9621, 230940491
9623, 230940491
9813, 275668968
9813, 409889174
9813, 499362706
10002, 499362806
11021, 499362790
11030, 409889718
11171, 409889054
11177, 365160502
11213, 409988879
11317, 409922375
11321, 365193823
11707, 365194248
11727, 365195242
11729, 365261743
12051, 365195496
12058, 365196490
12060, 365262991
12375, 365196744
12385, 365197738
12387, 365264239
12721, 365197992
12724, 365198986
12726, 365265487
13052, 365199240
13054, 365200234
13056, 365266735
13405, 365200488
13407, 365267983
13735, 365201736
13737, 365202730
13739, 365269231
14063, 365202984
14065, 365203978
14067, 365270479
14388, 365204232
14392, 365205226
14394, 365271727
14714, 365205480
14716, 365206314
14718, 365206526
14938, 409935239
14939, 544155445
14939, 633628977
16238, 633628613
16247, 544155541
16380, 544154877
16384, 499426325
16387, 499493550
16712, 499427303
16714, 499428297
16716, 499494798
17040, 499428551
17043, 499429545
17363, 499429799
17369, 499430793
17371, 499497294
17701, 499431047
17703, 499498542
18020, 499432295
18029, 499433289
18354, 499433543
18365, 499434537
18684, 499434791
18692, 499435785
18694, 499502286
19014, 499436039
19016, 499503534
19354, 499437287
19357, 499504782
19726, 499438535
19728, 499439389
19730, 499447180
19737, 499447044
19740, 499445508
19742, 499443044
19744, 499442429
19746, 499432269
19748, 499430923
19750, 499286074
19752, 499276539
19754, 499261989
19756, 499259172
19758, 499256147
19760, 499245300
19762, 499180621
19764, 499178955
19766, 499177307
19771, 499176779
19773, 499176283
19775, 499165011
19777, 499161480
19779, 499154629
19781, 494958285
19783, 494956572
19785, 494951267
19787, 494946529
19789, 494943270
19791, 494938692
19793, 494935234
19795, 494931607
19797, 493348759
19799, 493338952
19801, 493320731
19803, 493317457
19805, 493315749
19807, 493248554
19809, 493238259
19811, 493236382
19813, 493232957
19815, 493230465
19817, 493230192
19819, 493227047
19821, 493226916
19823, 493226340
19826, 493224937
19828, 493224373
19830, 493222053
19832, 493217086
19834, 493213122
19836, 493205458
19838, 493174293
19840, 493083468
19842, 493049662
19844, 492951276
19846, 492937339
19848, 492934307
19850, 492932003
19852, 492918490
19855, 492916963
19857, 492909427
19859, 492937399
19861, 492937399
19863, 492937399
19865, 492904245
19867, 492899754
19869, 492894631
19871, 492891007
19873, 492886694
19875, 492885795
19877, 492871755
19879, 492840923
19881, 492799029
19883, 492758798
19885, 492727125
19887, 492695653
19889, 492645639
19891, 492614842
19893, 492582151
19895, 492483483
19897, 492404989
19899, 492396170
19901, 492362063
19903, 492351117
19910, 492350548
19912, 492347660
