TIME,MEM
0, 0
523, 552
528, 4768
535, 18908
539, 19422
543, 22418
547, 25104
551, 31476
556, 36420
559, 36508
565, 37145
569, 37171
576, 37329
580, 38766
584, 195193
588, 195935
592, 196434
596, 198483
600, 281278
604, 281790
608, 202471
613, 208238
619, 208227
623, 209744
627, 212833
631, 215799
635, 217806
639, 227445
643, 262092
647, 265118
651, 232877
655, 254856
659, 260223
663, 263608
667, 270905
671, 276740
675, 282442
679, 294300
685, 294300
689, 293119
693, 293887
698, 296636
705, 299854
711, 308739
716, 308756
721, 308571
725, 312388
729, 316605
733, 323391
737, 330207
741, 335226
745, 341913
749, 345037
753, 350269
757, 356721
761, 361844
765, 367167
769, 370166
774, 370422
778, 375660
787, 375828
791, 379040
795, 377464
799, 377729
803, 378181
807, 468050
811, 469085
818, 554295
822, 554807
826, 473447
830, 477967
834, 479696
838, 489252
842, 489929
846, 492757
849, 497659
853, 499035
856, 500605
860, 502743
864, 505935
868, 507438
872, 509612
876, 511751
880, 514113
884, 515990
888, 518438
892, 523176
896, 527615
900, 533733
904, 538736
908, 544615
912, 550191
916, 558323
920, 564778
924, 562688
930, 568117
935, 568541
941, 571191
945, 571211
949, 571250
954, 571234
960, 571492
966, 572004
971, 571948
983, 571966
987, 571976
992, 572632
996, 572680
1000, 581064
1004, 581723
1008, 581467
1012, 582984
1016, 582102
1020, 582660
1024, 581966
1028, 583304
1031, 582350
1036, 582750
1039, 635168
1043, 634786
1047, 636490
1051, 641108
1055, 645792
1059, 652609
1063, 647537
1067, 654709
1071, 660630
1074, 662334
1078, 665191
1082, 668699
1086, 675406
1089, 676637
1093, 680387
1097, 684122
1104, 684206
1110, 687818
1116, 688413
1121, 687803
1125, 693635
1130, 711207
1134, 711204
1138, 711443
1142, 715698
1146, 716490
1150, 764052
1154, 764928
1158, 763082
1162, 766280
1166, 778172
1170, 781267
1174, 786844
1178, 787162
1182, 788506
1186, 792876
1190, 799041
1194, 794697
1198, 792870
1202, 793726
1205, 795294
1209, 863191
1213, 865980
1217, 875245
1221, 881004
1225, 885652
1229, 890559
1233, 896168
1237, 915070
1242, 920009
1246, 925131
1250, 929486
1254, 937619
1258, 946758
1262, 951201
1266, 960070
1270, 964729
1274, 972031
1278, 979980
1282, 988252
1287, 997134
1292, 995008
1296, 2578546
1299, 2581320
1303, 2581859
1307, 2664929
1311, 2582820
1315, 2587190
1320, 2584271
1324, 2584121
1328, 2587412
1332, 2591612
1336, 2595654
1340, 2600123
1344, 2604301
1348, 2607574
1352, 2610833
1356, 2616414
1360, 2623466
1364, 2629784
1368, 2635643
1372, 2639786
1376, 2645273
1380, 2648936
1384, 2654240
1388, 2658839
1392, 2662981
1396, 2666438
1400, 2671661
1404, 2677428
1408, 2680425
1412, 2678908
1416, 2679868
1485, 2679916
1487, 2680548
1494, 6877732
1498, 7028940
1501, 7031239
1512, 7031535
1518, 7032207
1522, 7035476
1526, 7040738
1530, 7041818
1534, 7042610
1538, 7044757
1542, 7058508
1546, 7065404
1550, 7067918
1554, 7087252
1557, 7088092
1561, 7088980
1565, 7089524
1569, 7088972
1573, 7089524
1577, 7069868
1581, 7073440
1585, 7076573
1589, 7079037
1593, 7081757
1598, 7093093
1602, 7095453
1608, 7097811
1622, 7097723
1626, 7097947
1632, 7111629
1636, 7116277
1638, 7112653
1646, 7112741
1651, 7114203
1655, 7114368
1659, 7115733
1664, 7116330
1666, 7116282
1667, 40671255
1797, 40671303
1799, 40671303
1801, 40671063
1803, 40671395
1805, 40671451
1823, 40671531
1825, 40671487
1829, 40671699
1831, 40671379
1833, 40674259
1835, 40680019
1837, 74268748
1837, 74268748
1839, 74269392
1841, 74270040
1844, 74335544
1846, 74335448
1848, 74335496
1850, 74334940
1906, 74335340
2017, 74268596
2021, 40713932
2322, 74269085
2326, 74270142
2328, 74273198
2330, 74274011
2334, 74273991
2335, 107862224
2366, 107928144
2463, 107861400
2466, 74306736
2705, 74307161
2721, 74308163
2724, 74375044
2965, 74308557
2970, 74376440
3214, 74309953
3216, 74377836
3460, 74311349
3462, 74311639
3710, 74312745
3712, 74380628
3955, 74314141
3957, 74316748
4199, 74315537
4202, 74316539
4204, 74383420
4443, 74316933
4446, 74317935
4448, 74318829
4687, 74318329
4693, 74319331
4695, 74323267
4698, 74319119
4905, 107873824
4907, 107875065
4907, 141430954
4907, 208540326
5488, 208539962
5495, 141431050
5497, 141430770
6206, 141497827
6444, 141431340
6453, 141432342
6697, 141432736
6699, 141500619
6939, 141434132
6945, 141435134
6947, 141502015
7187, 141435528
7190, 141436530
7192, 141437424
7435, 141436924
7439, 141437926
7443, 141437250
7463, 141438891
7465, 141437459
