TIME,MEM
0, 0
770, 552
775, 4768
781, 4768
786, 4
793, 19004
799, 19422
807, 23862
815, 29752
819, 32388
826, 36420
832, 36508
838, 36892
845, 37145
850, 37171
856, 37318
861, 37329
869, 38766
876, 194881
884, 195935
892, 196411
896, 197916
903, 281278
911, 281790
919, 202001
923, 206676
929, 208238
940, 208227
949, 208175
954, 208975
958, 209293
963, 210292
971, 210372
979, 213582
987, 217997
991, 218672
996, 227422
1004, 261091
1009, 262197
1016, 264278
1024, 232516
1032, 232580
1040, 258686
1048, 257358
1052, 259559
1057, 259871
1061, 261194
1066, 263106
1074, 267210
1082, 273382
1090, 276684
1098, 282799
1102, 287754
1107, 294300
1119, 294300
1126, 293039
1132, 293871
1138, 294515
1142, 296216
1147, 296677
1154, 298462
1162, 302451
1169, 308739
1177, 308756
1180, 308739
1186, 308571
1194, 312388
1202, 315857
1210, 321527
1218, 328246
1226, 333920
1234, 341648
1240, 342221
1248, 351527
1256, 357046
1264, 365429
1268, 367074
1274, 370170
1281, 370426
1287, 375664
1298, 375832
1306, 377508
1311, 377500
1318, 377821
1324, 377862
1328, 378153
1333, 468077
1341, 468769
1349, 470113
1356, 554299
1360, 554811
1367, 476528
1375, 479700
1383, 522658
1391, 495345
1396, 498983
1401, 500609
1407, 502790
1414, 507153
1422, 510089
1430, 512805
1438, 515167
1442, 516926
1449, 523180
1457, 527614
1465, 532675
1469, 536816
1474, 541624
1480, 545827
1487, 554527
1491, 558327
1497, 564550
1505, 562820
1509, 565529
1516, 567889
1524, 570983
1532, 571080
1539, 571264
1543, 571576
1548, 571776
1555, 571738
1562, 571290
1567, 572404
1572, 572452
1577, 580836
1585, 581943
1589, 581943
1594, 582756
1601, 582852
1609, 583546
1617, 581746
1623, 582122
1631, 600154
1637, 634940
1645, 639048
1650, 642604
1655, 648951
1660, 649285
1668, 649261
1673, 653826
1678, 658520
1685, 662061
1689, 664779
1695, 669711
1703, 675402
1708, 680117
1716, 683941
1724, 683978
1729, 687590
1736, 687612
1741, 687575
1746, 693407
1753, 710960
1757, 710976
1763, 711869
1771, 715871
1777, 769485
1784, 764303
1792, 764431
1796, 766946
1803, 777948
1807, 780859
1814, 785227
1822, 786938
1830, 788900
1835, 789912
1840, 801563
1848, 794953
1856, 792654
1864, 794046
