TIME,MEM
0, 0
684, 552
700, 4
715, 19294
730, 24080
738, 29200
748, 34372
759, 36508
767, 36892
779, 37171
793, 37594
803, 194881
818, 196115
826, 197474
839, 198578
855, 281790
871, 206933
883, 208227
898, 211763
913, 227406
926, 232516
934, 257758
945, 259871
961, 275618
977, 294300
1002, 294300
1019, 293871
1033, 296677
1041, 299854
1055, 308739
1067, 308756
1078, 308177
1092, 313580
1108, 324369
1124, 338324
1133, 342219
1146, 356578
1162, 365427
1170, 370168
1182, 375662
1193, 375830
1201, 378922
1214, 377830
1230, 468910
1240, 472243
1251, 554809
1260, 477969
1269, 480582
1285, 498981
1301, 505937
1317, 512507
1333, 519678
1345, 527777
1362, 542004
1377, 563116
1391, 567551
1407, 571014
1419, 572086
1431, 572392
1439, 580834
1454, 582778
1471, 581840
1482, 634938
1498, 645818
1514, 650806
1522, 661951
1537, 680157
1547, 683976
1564, 693733
1577, 715154
1585, 716262
1594, 764427
1602, 763022
1616, 785223
1625, 786484
1641, 801547
1650, 794465
1658, 792922
1668, 795290
1684, 880532
1692, 886898
1703, 900036
1711, 917141
1722, 923463
1730, 930920
1741, 949251
1757, 970818
1772, 996925
1788, 2578655
1801, 2582217
1810, 2582492
1818, 2584469
1834, 2585592
1850, 2602388
1860, 2609155
1876, 2636957
1884, 2651447
1893, 2664485
1902, 2674752
1911, 2677896
1937, 2679688
1950, 6877504
1959, 7030434
1970, 7031282
1981, 7037850
1993, 7042272
2005, 7068679
2018, 7088327
2028, 7089711
2040, 7069383
2052, 7075240
2065, 7083984
2078, 7095304
2089, 7097536
2103, 7097760
2117, 7116024
2127, 7112488
2139, 7114268
2151, 40671002
2303, 40671050
2309, 40671154
2361, 40671198
2374, 40679734
2386, 74335259
2393, 74334655
2452, 74335055
2569, 74268311
2574, 40713647
2918, 74268800
2932, 74273714
2939, 107861939
2971, 107927859
3079, 107861115
3083, 74306451
3362, 74306876
3376, 74307878
3379, 74308604
3657, 74308272
3672, 74309274
3676, 74376155
3958, 74309668
3972, 74310670
4258, 74311064
4545, 74312460
4552, 74380343
4845, 74313856
4848, 74381739
5137, 74315252
5144, 74316254
5420, 74316648
5431, 74317650
5714, 74318044
5723, 107873431
5926, 107873539
5929, 208540041
6896, 208539677
6902, 141430765
7429, 141497542
7713, 141431055
7716, 141499166
7999, 141432451
8004, 141433453
8297, 141433847
8584, 141435243
8588, 141436245
8880, 141436639
8890, 141437641
8966, 141504810
8977, 141511439
8991, 141507686
9285, 141440599
9289, 141508482
9573, 141441995
9576, 141509878
9860, 141443391
9864, 141515386
9981, 141448907
9996, 141449011
10003, 141449523
10150, 141449795
10430, 141451039
10437, 141452017
10449, 141459972
10463, 253307369
10908, 253306361
10912, 208561609
11011, 208560825
11019, 141451449
11226, 141452001
11232, 96706449
11463, 141451846
11464, 275656392
11927, 275656492
12304, 275656476
12316, 186183404
13124, 231043725
13293, 230966301
13299, 186221365
13744, 186221790
13748, 186300205
14120, 186223038
14123, 186301453
14486, 186224286
14489, 186225280
14867, 186225534
15230, 186226782
15248, 186227776
15615, 186228030
15618, 186229024
15991, 186229278
15994, 186307693
16359, 186230526
16370, 186231520
16744, 186231774
16747, 186310189
17121, 186233022
17129, 186238412
17141, 96760164
17344, 141505549
18064, 275709731
18073, 186236659
18753, 186313972
19134, 186236805
19137, 186241735
19520, 186238053
19523, 186239047
19911, 186239301
19915, 186240295
20294, 186240549
20297, 186318964
20684, 186241797
20687, 186243692
21074, 186243045
21078, 186321460
21465, 186244293
21846, 186245541
21850, 186323956
22223, 186246789
22228, 186247783
22591, 186248037
22602, 186249031
22617, 186256546
22625, 186252204
22637, 186062772
22651, 186033277
22663, 181814825
22675, 181791732
22687, 180104844
22699, 180083945
22710, 180080872
22711, 180080860
22712, 180080644
22713, 180079056
22714, 180078552
22715, 180077058
22716, 180075381
22717, 180075123
22718, 180073632
22719, 180072187
22720, 180071639
22721, 180069621
22722, 180067675
22723, 180062041
22724, 180057620
22725, 180052812
22726, 180048121
22727, 180013487
22728, 179943419
22729, 179941831
22730, 179939975
22731, 179927480
22732, 179915031
22733, 179906398
22734, 179905198
22735, 179899546
22736, 179878525
22737, 179810267
22739, 179807859
22740, 179802906
22741, 179794111
22742, 179791464
22743, 179791432
22745, 179791048
22746, 179789920
22747, 179789056
22748, 179788744
22749, 179787235
22750, 179778506
22751, 179775230
22752, 179773720
22755, 179773703
22756, 179772918
22757, 179769414
22758, 179764762
22759, 179762987
22760, 179794139
22761, 179761323
22762, 179761323
22763, 179794139
22764, 179761323
22765, 179794139
22766, 179794139
22767, 179794139
22768, 179760988
22769, 179760055
22770, 179758176
22771, 179756597
22772, 179756312
22773, 179753028
22774, 179749747
22775, 179747750
22776, 179746064
22777, 179743446
22778, 179742538
22779, 179734549
22780, 179717927
22781, 179697948
22782, 179685145
22783, 179669462
22784, 179652158
22785, 179633194
22786, 179615543
22787, 179594955
22788, 179574923
22789, 179554152
22790, 179535761
22791, 179511060
22792, 179490621
22793, 179482974
22794, 179468881
22795, 179455510
22796, 179441328
22797, 179432530
22798, 179345374
22799, 179340118
22800, 179333941
22801, 179262074
22802, 179261337
22803, 179257608
22804, 179252915
22805, 179229011
22806, 179218809
22807, 179212344
22808, 179207895
22819, 179207326
22820, 179205942
22821, 179205606
22823, 179204438
