===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,MEM,NET,EXTRA
===,0,INIT,0,0.003900,0.003856,10128.000000,0.000000, ===
===,1,ITER,0,0.003950,0.000000,10128.000000,0.000000, ===
===,2,ITER,0,0.021307,0.000000,12312.000000,16.023438, ===
===,3,ITER,0,0.031779,0.000000,14408.000000,32.046875, ===
===,4,ITER,0,0.036143,0.000000,14428.000000,48.070312, ===
===,5,ITER,0,0.040594,0.000000,14440.000000,64.093750, ===
===,6,ITER,0,0.045003,0.000000,14440.000000,80.117188, ===
===,7,CHECKPOINT,0,0.092995,0.047975,22896.000000,4176.117188, ===
===,8,ITER,0,0.097197,0.000000,22896.000000,4192.140625, ===
===,9,ITER,0,0.101409,0.000000,22896.000000,4208.164062, ===
===,10,ITER,0,0.105737,0.000000,22896.000000,4224.187500, ===
===,11,ITER,0,0.110553,0.000000,22900.000000,4240.210938, ===
===,12,ITER,0,0.114710,0.000000,22912.000000,4256.234375, ===
===,13,ITER,0,0.118844,0.000000,22912.000000,4272.257812, ===
===,14,ITER,0,0.123233,0.000000,22912.000000,4288.281250, ===
===,15,ITER,0,0.127416,0.000000,22912.000000,4304.304688, ===
===,16,ITER,0,0.131775,0.000000,22912.000000,4320.328125, ===
===,17,ITER,0,0.135981,0.000000,22916.000000,4336.351562, ===
===,18,ITER,0,0.140134,0.000000,22916.000000,4352.375000, ===
===,19,ITER,0,0.144408,0.000000,22916.000000,4368.398438, ===
===,20,ITER,0,0.148751,0.000000,22916.000000,4384.421875, ===
===,21,ITER,0,0.152996,0.000000,22916.000000,4400.445312, ===
===,22,ITER,0,0.157235,0.000000,22916.000000,4416.468750, ===
===,23,ITER,0,0.161433,0.000000,22916.000000,4432.492188, ===
===,24,ITER,0,0.165602,0.000000,22916.000000,4448.515625, ===
===,25,ITER,0,0.169836,0.000000,22916.000000,4464.539062, ===
===,26,ITER,0,0.174119,0.000000,22916.000000,4480.562500, ===
===,27,ITER,0,0.177828,0.000000,22916.000000,4496.585938, ===
===,28,ITER,0,0.181994,0.000000,22916.000000,4512.609375, ===
===,29,ITER,0,0.186199,0.000000,22916.000000,4528.632812, ===
===,30,ITER,0,0.190571,0.000000,22916.000000,4544.656250, ===
===,31,ITER,0,0.194755,0.000000,22916.000000,4560.679688, ===
===,32,ITER,0,0.199452,0.000000,22916.000000,4576.703125, ===
===,33,ITER,0,0.203823,0.000000,22916.000000,4592.726562, ===
===,34,ITER,0,0.208039,0.000000,22916.000000,4608.750000, ===
===,35,ITER,0,0.212461,0.000000,22916.000000,4624.773438, ===
===,36,ITER,0,0.216797,0.000000,22916.000000,4640.796875, ===
===,37,COMM-ERROR,0,0.228066,0.000000,22944.000000,4640.796875, ===
===,38,COMM-ERROR,0,0.228166,0.000000,22944.000000,4640.796875, ===
===,39,COMM-ERROR,0,0.232194,0.000000,22952.000000,4656.812500, ===
===,40,ITER,0,0.232253,0.000000,22952.000000,4656.820312, ===
===,41,FAILURE-CHECK,0,0.232368,0.000095,22980.000000,4656.820312, ===
===,42,RESTORE,0,0.254576,0.022071,26000.000000,8752.820312, ===
===,43,ITER,0,0.271640,0.000000,28728.000000,8768.843750, ===
===,44,ITER,0,0.277198,0.000000,28732.000000,8784.867188, ===
===,45,ITER,0,0.282594,0.000000,28732.000000,8800.890625, ===
===,46,ITER,0,0.287837,0.000000,28732.000000,8816.914062, ===
===,47,ITER,0,0.293716,0.000000,28732.000000,8832.937500, ===
===,48,ITER,0,0.299008,0.000000,28732.000000,8848.960938, ===
===,49,ITER,0,0.304399,0.000000,28732.000000,8864.984375, ===
===,50,ITER,0,0.309820,0.000000,28732.000000,8881.007812, ===
===,51,ITER,0,0.315044,0.000000,28732.000000,8897.031250, ===
===,52,ITER,0,0.320140,0.000000,28732.000000,8913.054688, ===
===,53,ITER,0,0.325055,0.000000,28732.000000,8929.078125, ===
===,54,ITER,0,0.330271,0.000000,28732.000000,8945.101562, ===
===,55,ITER,0,0.335393,0.000000,28732.000000,8961.125000, ===
===,56,ITER,0,0.340570,0.000000,28732.000000,8977.148438, ===
===,57,ITER,0,0.345740,0.000000,28732.000000,8993.171875, ===
===,58,ITER,0,0.350907,0.000000,28732.000000,9009.195312, ===
===,59,ITER,0,0.356015,0.000000,28732.000000,9025.218750, ===
===,60,ITER,0,0.361466,0.000000,28732.000000,9041.242188, ===
===,61,ITER,0,0.366612,0.000000,28732.000000,9057.265625, ===
===,62,ITER,0,0.371783,0.000000,28732.000000,9073.289062, ===
===,63,ITER,0,0.376711,0.000000,28732.000000,9089.312500, ===
===,64,ITER,0,0.381900,0.000000,28732.000000,9105.335938, ===
===,65,ITER,0,0.386238,0.000000,28732.000000,9121.359375, ===
===,66,ITER,0,0.390185,0.000000,28732.000000,9137.382812, ===
===,67,ITER,0,0.395306,0.000000,28732.000000,9153.406250, ===
===,68,ITER,0,0.400407,0.000000,28732.000000,9169.429688, ===
===,69,ITER,0,0.405499,0.000000,28732.000000,9185.453125, ===
===,70,ITER,0,0.410708,0.000000,28732.000000,9201.476562, ===
===,71,ITER,0,0.414903,0.000000,28732.000000,9217.500000, ===
===,72,ITER,0,0.419963,0.000000,28732.000000,9233.523438, ===
===,73,FAILURE-CHECK,0,0.420119,0.000138,28732.000000,9233.523438, ===
===,74,ITER,0,0.425403,0.000000,28732.000000,9249.546875, ===
===,75,ITER,0,0.431011,0.000000,28732.000000,9265.570312, ===
===,76,ITER,0,0.436156,0.000000,28732.000000,9281.593750, ===
===,77,ITER,0,0.441357,0.000000,28732.000000,9297.617188, ===
===,78,ITER,0,0.446539,0.000000,28732.000000,9313.640625, ===
===,79,ITER,0,0.451631,0.000000,28732.000000,9329.664062, ===
===,80,ITER,0,0.456777,0.000000,28732.000000,9345.687500, ===
