===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000255,0.000000,1571608642.582421,0,38560.000000,0.000000, ===
===,1,INIT-STOP,0,0.003763,0.000000,1571608642.585929,0,41912.000000,0.000000, ===
===,2,INIT,0,0.003797,0.003584,1571608642.585962,0,42120.000000,0.000000, ===
===,3,ITER,0,0.003830,0.000000,1571608642.585996,1,42120.000000,0.000000, ===
===,4,FAILURE-CHECK-START,0,0.003859,0.000000,1571608642.586025,1,42124.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,0,0.003975,0.000000,1571608642.586140,1,42124.000000,0.000000, ===
===,6,FAILURE-CHECK,0,0.003995,0.000152,1571608642.586161,1,42160.000000,0.000000, ===
===,7,CHECKPOINT-START,0,0.004018,0.000000,1571608642.586184,1,42160.000000,0.000000, ===
===,8,CHECKPOINT-PRE-NEW,0,0.004041,0.000000,1571608642.586207,1,42160.000000,0.000000, ===
===,9,CHECKPOINT-POST-NEW,0,0.089862,0.000000,1571608642.672028,1,93344.000000,5460.000000, ===
===,10,CHECKPOINT-STOP,0,0.089898,0.000000,1571608642.672064,1,93344.000000,5460.000000, ===
===,11,CHECKPOINT,0,0.089919,0.085913,1571608642.672085,1,93344.000000,5460.000000, ===
===,12,ITER,0,0.823116,0.000000,1571608643.405282,101,98888.000000,7596.718750, ===
===,13,ITER,0,1.326802,0.000000,1571608643.908968,201,99104.000000,9733.437500, ===
===,14,ITER,0,1.810413,0.000000,1571608644.392579,301,99104.000000,11870.156250, ===
===,15,ITER,0,2.293438,0.000000,1571608644.875604,401,99104.000000,14006.875000, ===
===,16,ITER,0,2.776323,0.000000,1571608645.358489,501,99104.000000,16143.593750, ===
===,17,FAILURE-CHECK-START,0,2.776397,0.000000,1571608645.358563,501,99104.000000,16143.593750, ===
===,18,FAILURE-CHECK-STOP,0,2.776462,0.000000,1571608645.358628,501,99104.000000,16143.593750, ===
===,19,FAILURE-CHECK,0,2.776518,0.000166,1571608645.358684,501,99104.000000,16143.593750, ===
===,20,ITER,0,3.259947,0.000000,1571608645.842113,601,99104.000000,18280.312500, ===
===,21,ITER,0,3.743034,0.000000,1571608646.325199,701,99104.000000,20417.031250, ===
===,22,ITER,0,4.226122,0.000000,1571608646.808287,801,99104.000000,22553.750000, ===
===,23,ITER,0,4.708938,0.000000,1571608647.291104,901,99104.000000,24690.468750, ===
===,24,ITER,0,5.192544,0.000000,1571608647.774710,1001,99104.000000,26827.187500, ===
===,25,FAILURE-CHECK-START,0,5.192586,0.000000,1571608647.774752,1001,99104.000000,26827.187500, ===
===,26,FAILURE-CHECK-STOP,0,5.192691,0.000000,1571608647.774857,1001,99104.000000,26827.187500, ===
===,27,FAILURE-CHECK,0,5.192745,0.000175,1571608647.774911,1001,99104.000000,26827.187500, ===
===,28,ITER,0,5.675939,0.000000,1571608648.258105,1101,99104.000000,28963.906250, ===
===,29,ITER,0,6.181239,0.000000,1571608648.763405,1201,99104.000000,31100.625000, ===
===,30,ITER,0,6.668632,0.000000,1571608649.250798,1301,99104.000000,33237.343750, ===
===,31,ITER,0,7.150090,0.000000,1571608649.732255,1401,99104.000000,35374.062500, ===
===,32,ITER,0,7.631168,0.000000,1571608650.213334,1501,99104.000000,37510.781250, ===
===,33,FAILURE-CHECK-START,0,7.631210,0.000000,1571608650.213376,1501,99260.000000,37510.781250, ===
===,34,FAILURE-CHECK-STOP,0,7.631308,0.000000,1571608650.213474,1501,99260.000000,37510.781250, ===
===,35,FAILURE-CHECK,0,7.631372,0.000180,1571608650.213538,1501,99260.000000,37510.781250, ===
===,36,ITER,0,8.112563,0.000000,1571608650.694729,1601,99260.000000,39647.500000, ===
===,37,ITER,0,8.597056,0.000000,1571608651.179222,1701,99436.000000,41784.218750, ===
===,38,ITER,0,9.078889,0.000000,1571608651.661055,1801,99608.000000,43920.937500, ===
===,39,ITER,0,9.560515,0.000000,1571608652.142681,1901,99784.000000,46057.656250, ===
===,40,ITER,0,10.042182,0.000000,1571608652.624348,2001,99956.000000,48194.375000, ===
===,41,FAILURE-CHECK-START,0,10.042229,0.000000,1571608652.624395,2001,100124.000000,48194.375000, ===
===,42,FAILURE-CHECK-STOP,0,10.042327,0.000000,1571608652.624493,2001,100124.000000,48194.375000, ===
===,43,FAILURE-CHECK,0,10.042390,0.000178,1571608652.624556,2001,100124.000000,48194.375000, ===
===,44,CHECKPOINT-START,0,10.042422,0.000000,1571608652.624588,2001,100124.000000,48194.375000, ===
===,45,CHECKPOINT-PRE-NEW,0,10.042479,0.000000,1571608652.624645,2001,100124.000000,42734.375000, ===
===,46,CHECKPOINT-POST-NEW,0,10.121220,0.000000,1571608652.703386,2001,158080.000000,48194.375000, ===
===,47,CHECKPOINT-STOP,0,10.121251,0.000000,1571608652.703417,2001,158196.000000,48194.375000, ===
===,48,CHECKPOINT,0,10.121271,0.078872,1571608652.703437,2001,158196.000000,48194.375000, ===
===,49,ITER,0,10.601419,0.000000,1571608653.183585,2101,158196.000000,50331.093750, ===
===,50,ITER,0,11.082936,0.000000,1571608653.665102,2201,158196.000000,52467.812500, ===
===,51,ITER,0,11.564143,0.000000,1571608654.146309,2301,158196.000000,54604.531250, ===
===,52,ITER,0,12.046571,0.000000,1571608654.628737,2401,158196.000000,56741.250000, ===
===,53,ITER,0,12.527910,0.000000,1571608655.110075,2501,158196.000000,58877.968750, ===
===,54,FAILURE-CHECK-START,0,12.527962,0.000000,1571608655.110128,2501,158196.000000,58877.968750, ===
===,55,FAILURE-CHECK-STOP,0,12.528026,0.000000,1571608655.110192,2501,158196.000000,58877.968750, ===
===,56,FAILURE-CHECK,0,12.528063,0.000129,1571608655.110229,2501,158196.000000,58877.968750, ===
===,57,ITER,0,13.010112,0.000000,1571608655.592277,2601,158196.000000,61014.687500, ===
===,58,ITER,0,13.491978,0.000000,1571608656.074144,2701,158196.000000,63151.406250, ===
===,59,ITER,0,13.973751,0.000000,1571608656.555917,2801,158196.000000,65288.125000, ===
===,60,ITER,0,14.454962,0.000000,1571608657.037128,2901,158196.000000,67424.843750, ===
===,61,ITER,0,14.936873,0.000000,1571608657.519039,3001,158196.000000,69561.562500, ===
===,62,FAILURE-CHECK-START,0,14.936918,0.000000,1571608657.519084,3001,158196.000000,69561.562500, ===
===,63,FAILURE-CHECK-STOP,0,14.937022,0.000000,1571608657.519188,3001,158196.000000,69561.562500, ===
===,64,FAILURE-CHECK,0,14.937105,0.000204,1571608657.519271,3001,158196.000000,69561.562500, ===
