===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000085,0.000000,1571608928.815810,0,40268.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.154996,0.000000,1571608928.970720,0,55940.000000,102.203125, ===
===,2,INIT,0,0.155038,0.154989,1571608928.970762,0,56160.000000,102.203125, ===
===,3,FAILURE-DETECT,0,0.155093,0.000000,1571608928.970818,0,56160.000000,102.203125, ===
===,4,FAILURE-DETECT,0,3.013751,0.000000,1571608931.829476,0,123084.000000,43209.421875, ===
===,5,FAILURE-DETECT,0,5.872648,0.000000,1571608934.688373,0,186448.000000,47770.750000, ===
===,6,FAILURE-DETECT,0,8.730125,0.000000,1571608937.545850,0,249988.000000,52332.078125, ===
===,7,FAILURE-DETECT,0,11.587919,0.000000,1571608940.403644,0,313264.000000,56893.406250, ===
===,8,FAILURE-DETECT,0,14.446849,0.000000,1571608943.262574,0,376544.000000,61454.734375, ===
===,9,FAILURE-DETECT,0,17.305359,0.000000,1571608946.121084,0,439820.000000,66016.062500, ===
===,10,COMM-ERROR,0,21.627891,0.000000,1571608950.443615,0,503096.000000,67475.687500, ===
===,11,FAILURE-DETECT,0,23.005382,0.000000,1571608951.821107,0,504568.000000,70577.390625, ===
===,12,RESTORE-START,0,23.005466,0.000000,1571608951.821191,0,504600.000000,70577.390625, ===
===,13,COMM-ERROR,0,23.006248,0.000000,1571608951.821973,0,504600.000000,70577.390625, ===
===,0,INIT-START,1,0.000074,0.000000,1571608928.816533,0,40268.000000,0.000000, ===
===,1,INIT-STOP,1,0.154265,0.000000,1571608928.970723,0,56648.000000,138.218750, ===
===,2,INIT,1,0.154311,0.154277,1571608928.970769,0,56848.000000,138.218750, ===
===,3,FAILURE-DETECT,1,0.154339,0.000000,1571608928.970798,0,56848.000000,138.218750, ===
===,4,FAILURE-DETECT,1,3.013961,0.000000,1571608931.830419,0,123388.000000,44850.906250, ===
===,5,FAILURE-DETECT,1,5.872865,0.000000,1571608934.689324,0,186724.000000,51017.703125, ===
===,6,FAILURE-DETECT,1,8.730232,0.000000,1571608937.546691,0,250000.000000,57184.500000, ===
===,7,FAILURE-DETECT,1,11.587943,0.000000,1571608940.404402,0,313276.000000,63351.296875, ===
===,8,FAILURE-DETECT,1,14.446646,0.000000,1571608943.263105,0,376552.000000,69518.093750, ===
===,9,FAILURE-DETECT,1,17.304889,0.000000,1571608946.121347,0,440092.000000,75684.890625, ===
===,10,FAILURE-GENERATE,1,18.747333,0.000000,1571608947.563792,0,503372.000000,77658.265625, ===
===,0,INIT-START,2,0.000075,0.000000,1571608928.816728,0,40092.000000,0.000000, ===
===,1,INIT-STOP,2,0.154072,0.000000,1571608928.970725,0,55640.000000,102.203125, ===
===,2,INIT,2,0.154111,0.154075,1571608928.970764,0,55880.000000,102.203125, ===
===,3,FAILURE-DETECT,2,0.154136,0.000000,1571608928.970789,0,55880.000000,102.203125, ===
===,4,FAILURE-DETECT,2,3.005896,0.000000,1571608931.822549,0,57748.000000,7503.304688, ===
===,5,FAILURE-DETECT,2,5.864763,0.000000,1571608934.681416,0,59684.000000,12064.632812, ===
===,6,FAILURE-DETECT,2,8.722140,0.000000,1571608937.538793,0,61656.000000,16625.960938, ===
===,7,FAILURE-DETECT,2,11.579853,0.000000,1571608940.396506,0,63592.000000,21187.289062, ===
===,8,FAILURE-DETECT,2,14.438549,0.000000,1571608943.255202,0,65528.000000,25748.617188, ===
===,9,FAILURE-DETECT,2,17.296814,0.000000,1571608946.113467,0,67504.000000,30309.945312, ===
===,10,COMM-ERROR,2,21.627043,0.000000,1571608950.443695,0,69436.000000,31769.570312, ===
===,11,FAILURE-DETECT,2,22.996694,0.000000,1571608951.813346,0,72240.000000,34871.273438, ===
===,12,RESTORE-START,2,23.004543,0.000000,1571608951.821196,0,72368.000000,34871.273438, ===
===,13,COMM-ERROR,2,23.004706,0.000000,1571608951.821358,0,72368.000000,34871.273438, ===
===,0,INIT-START,3,0.000075,0.000000,1571608928.816105,0,40276.000000,0.000000, ===
===,1,INIT-STOP,3,0.154697,0.000000,1571608928.970727,0,56044.000000,138.218750, ===
===,2,INIT,3,0.154746,0.154711,1571608928.970775,0,56280.000000,138.218750, ===
===,3,FAILURE-DETECT,3,0.154768,0.000000,1571608928.970798,0,56280.000000,138.218750, ===
===,4,FAILURE-DETECT,3,3.005282,0.000000,1571608931.821312,0,58300.000000,9159.976562, ===
===,5,FAILURE-DETECT,3,5.864166,0.000000,1571608934.680196,0,60240.000000,15326.773438, ===
===,6,FAILURE-DETECT,3,8.721527,0.000000,1571608937.537557,0,62172.000000,21493.570312, ===
===,7,FAILURE-DETECT,3,11.579259,0.000000,1571608940.395289,0,64108.000000,27660.367188, ===
===,8,FAILURE-DETECT,3,14.437937,0.000000,1571608943.253967,0,66084.000000,33827.164062, ===
===,9,FAILURE-DETECT,3,17.296192,0.000000,1571608946.112222,0,68020.000000,39993.960938, ===
===,10,COMM-ERROR,3,21.627747,0.000000,1571608950.443776,0,69956.000000,41967.335938, ===
===,11,FAILURE-DETECT,3,22.996052,0.000000,1571608951.812082,0,72856.000000,46160.757812, ===
===,12,RESTORE-START,3,23.005174,0.000000,1571608951.821204,0,72964.000000,46160.757812, ===
===,13,COMM-ERROR,3,23.005667,0.000000,1571608951.821697,0,72964.000000,46160.757812, ===
===,0,INIT-START,4,0.000073,0.000000,1571608928.816694,0,40248.000000,0.000000, ===
===,1,INIT-STOP,4,0.154098,0.000000,1571608928.970719,0,57076.000000,176.218750, ===
===,2,INIT,4,0.154145,0.154111,1571608928.970765,0,57316.000000,176.218750, ===
===,3,FAILURE-DETECT,4,0.154171,0.000000,1571608928.970792,0,57316.000000,176.218750, ===
===,4,FAILURE-DETECT,4,3.004883,0.000000,1571608931.821504,0,60036.000000,10906.195312, ===
===,5,FAILURE-DETECT,4,5.863736,0.000000,1571608934.680357,0,62432.000000,18765.179688, ===
===,6,FAILURE-DETECT,4,8.721142,0.000000,1571608937.537763,0,64820.000000,26624.164062, ===
===,7,FAILURE-DETECT,4,11.578832,0.000000,1571608940.395453,0,67248.000000,34483.148438, ===
===,8,FAILURE-DETECT,4,14.437542,0.000000,1571608943.254163,0,69636.000000,42342.132812, ===
===,9,FAILURE-DETECT,4,17.295801,0.000000,1571608946.112422,0,72028.000000,50201.117188, ===
===,10,COMM-ERROR,4,21.627066,0.000000,1571608950.443687,0,74416.000000,52715.992188, ===
===,11,FAILURE-DETECT,4,22.995674,0.000000,1571608951.812295,0,77112.000000,58060.101562, ===
===,12,RESTORE-START,4,23.004580,0.000000,1571608951.821201,0,77236.000000,58060.101562, ===
[i01r01c01s07:245369] [ 0] ===,13,COMM-ERROR,4,23.004831,0.000000,1571608951.821451,0,77236.000000,58060.101562, ===
===,0,INIT-START,5,0.000072,0.000000,1571608928.816010,0,40144.000000,0.000000, ===
===,1,INIT-STOP,5,0.154791,0.000000,1571608928.970729,0,55904.000000,138.218750, ===
===,2,INIT,5,0.154842,0.154808,1571608928.970779,0,56168.000000,138.218750, ===
