===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.012397,0.000000,1572876510.705693,0,54880.000000,0.000000, ===
===,1,INIT-STOP,0,0.211468,0.000000,1572876510.904875,0,87956.000000,0.000000, ===
===,2,INIT,0,0.212454,0.202378,1572876510.905786,0,87960.000000,0.000000, ===
===,3,ITER,0,0.213238,0.000000,1572876510.906634,1,87968.000000,0.000000, ===
===,4,FAILURE-CHECK-START,0,0.214165,0.000000,1572876510.907552,1,87968.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,0,0.253827,0.000000,1572876510.947220,1,88104.000000,0.000000, ===
===,6,FAILURE-CHECK,0,0.254388,0.040594,1572876510.947747,1,88104.000000,0.000000, ===
===,7,ITER,0,0.828490,0.000000,1572876511.521909,2,121392.000000,64.023438, ===
===,8,ITER,0,1.274839,0.000000,1572876511.968259,3,121460.000000,128.046875, ===
===,9,ITER,0,1.573661,0.000000,1572876512.267075,4,121476.000000,192.070312, ===
===,10,ITER,0,1.874188,0.000000,1572876512.567602,5,121492.000000,256.093750, ===
===,11,ITER,0,2.161804,0.000000,1572876512.855224,6,121512.000000,320.117188, ===
===,12,ITER,0,2.453054,0.000000,1572876513.146474,7,121528.000000,384.140625, ===
===,13,ITER,0,2.740664,0.000000,1572876513.434084,8,121532.000000,448.164062, ===
===,14,ITER,0,3.030557,0.000000,1572876513.723977,9,121532.000000,512.187500, ===
===,15,ITER,0,3.320217,0.000000,1572876514.013637,10,121536.000000,576.210938, ===
===,16,ITER,0,3.611902,0.000000,1572876514.305322,11,121536.000000,640.234375, ===
===,17,FAILURE-CHECK-START,0,3.612114,0.000000,1572876514.305535,11,121536.000000,640.234375, ===
===,18,FAILURE-CHECK-STOP,0,3.613624,0.000000,1572876514.307044,11,121540.000000,640.234375, ===
===,19,FAILURE-CHECK,0,3.613829,0.001845,1572876514.307246,11,121540.000000,640.234375, ===
===,20,CHECKPOINT-START,0,3.614286,0.000000,1572876514.307682,11,121540.000000,640.234375, ===
===,21,CHECKPOINT-PRE-NEW,0,3.615063,0.000000,1572876514.308460,11,121544.000000,640.234375, ===
===,22,CHECKPOINT-POST-NEW,0,5.275541,0.000000,1572876515.968943,11,187372.000000,66176.234375, ===
===,23,CHECKPOINT-STOP,0,5.276080,0.000000,1572876515.969488,11,187376.000000,66176.234375, ===
===,24,CHECKPOINT,0,5.276502,1.662528,1572876515.969869,11,187380.000000,66176.234375, ===
===,25,ITER,0,5.567557,0.000000,1572876516.260977,12,187400.000000,66240.257812, ===
===,26,ITER,0,5.863264,0.000000,1572876516.556684,13,187420.000000,66304.281250, ===
