===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000241,0.000000,0,7976.000000,0.000000, ===
===,1,INIT-STOP,0,0.004833,0.000000,0,10136.000000,0.000000, ===
===,2,INIT,0,0.004879,0.004736,0,10136.000000,0.000000, ===
===,3,ITER,0,0.004924,0.000000,1,10140.000000,0.000000, ===
===,4,FAILURE-CHECK-START,0,0.004967,0.000000,1,10140.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,0,0.005254,0.000000,1,10188.000000,0.000000, ===
===,6,FAILURE-CHECK,0,0.005294,0.000352,1,10188.000000,0.000000, ===
===,7,CHECKPOINT-START,0,0.005355,0.000000,1,10188.000000,0.000000, ===
===,8,CHECKPOINT-PRE-NEW,0,0.005437,0.000000,1,10188.000000,0.000000, ===
===,9,CHECKPOINT-POST-NEW,0,0.057568,0.000000,1,18728.000000,4096.000000, ===
===,10,CHECKPOINT-STOP,0,0.057624,0.000000,1,18728.000000,4096.000000, ===
===,11,CHECKPOINT,0,0.057657,0.052343,1,18728.000000,4096.000000, ===
===,12,ITER,0,0.070166,0.000000,2,20844.000000,4112.023438, ===
===,13,ITER,0,0.080764,0.000000,3,22936.000000,4128.046875, ===
===,14,ITER,0,0.084934,0.000000,4,22948.000000,4144.070312, ===
===,15,ITER,0,0.089224,0.000000,5,22952.000000,4160.093750, ===
===,16,ITER,0,0.093378,0.000000,6,22960.000000,4176.117188, ===
===,17,ITER,0,0.097685,0.000000,7,22960.000000,4192.140625, ===
===,18,ITER,0,0.101738,0.000000,8,22960.000000,4208.164062, ===
===,19,ITER,0,0.105636,0.000000,9,22960.000000,4224.187500, ===
===,20,ITER,0,0.110280,0.000000,10,22964.000000,4240.210938, ===
===,21,ITER,0,0.114359,0.000000,11,22976.000000,4256.234375, ===
===,22,FAILURE-CHECK-START,0,0.114405,0.000000,11,22976.000000,4256.234375, ===
===,23,FAILURE-CHECK-STOP,0,0.114616,0.000000,11,22976.000000,4256.234375, ===
===,24,FAILURE-CHECK,0,0.114656,0.000278,11,22976.000000,4256.234375, ===
===,25,CHECKPOINT-START,0,0.114700,0.000000,11,22976.000000,4256.234375, ===
===,26,CHECKPOINT-PRE-NEW,0,0.114744,0.000000,11,22976.000000,160.234375, ===
===,27,CHECKPOINT-POST-NEW,0,0.173740,0.000000,11,37296.000000,4256.234375, ===
===,28,CHECKPOINT-STOP,0,0.174398,0.000000,11,37296.000000,4256.234375, ===
===,29,CHECKPOINT,0,0.175517,0.060842,11,37296.000000,4256.234375, ===
===,30,ITER,0,0.179802,0.000000,12,37296.000000,4272.257812, ===
===,31,ITER,0,0.184191,0.000000,13,37296.000000,4288.281250, ===
===,32,ITER,0,0.189038,0.000000,14,37296.000000,4304.304688, ===
===,33,ITER,0,0.193347,0.000000,15,37300.000000,4320.328125, ===
===,34,ITER,0,0.197192,0.000000,16,37300.000000,4336.351562, ===
===,35,ITER,0,0.201406,0.000000,17,37300.000000,4352.375000, ===
===,36,ITER,0,0.205708,0.000000,18,37300.000000,4368.398438, ===
===,37,ITER,0,0.209754,0.000000,19,37300.000000,4384.421875, ===
===,38,ITER,0,0.213835,0.000000,20,37300.000000,4400.445312, ===
===,39,ITER,0,0.218193,0.000000,21,37300.000000,4416.468750, ===
===,40,FAILURE-CHECK-START,0,0.218245,0.000000,21,37300.000000,4416.468750, ===
===,41,FAILURE-CHECK-STOP,0,0.218749,0.000000,21,37300.000000,4416.468750, ===
===,42,FAILURE-CHECK,0,0.218791,0.000574,21,37300.000000,4416.468750, ===
===,43,CHECKPOINT-START,0,0.218847,0.000000,21,37300.000000,4416.468750, ===
===,44,CHECKPOINT-PRE-NEW,0,0.218895,0.000000,21,37300.000000,320.468750, ===
===,45,CHECKPOINT-POST-NEW,0,0.257148,0.000000,21,45492.000000,4416.468750, ===
===,46,CHECKPOINT-STOP,0,0.257202,0.000000,21,45492.000000,4416.468750, ===
===,47,CHECKPOINT,0,0.257234,0.038418,21,45492.000000,4416.468750, ===
===,48,ITER,0,0.261187,0.000000,22,45492.000000,4432.492188, ===
===,49,ITER,0,0.265116,0.000000,23,45492.000000,4448.515625, ===
===,50,ITER,0,0.269100,0.000000,24,45492.000000,4464.539062, ===
===,51,ITER,0,0.273331,0.000000,25,45492.000000,4480.562500, ===
