===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000170,0.000000,0,7972.000000,0.000000, ===
===,1,INIT-STOP,0,0.003851,0.000000,0,10136.000000,0.000000, ===
===,2,INIT,0,0.003910,0.003792,0,10136.000000,0.000000, ===
===,3,ITER,0,0.003939,0.000000,1,10140.000000,0.000000, ===
===,4,FAILURE-CHECK-START,0,0.003967,0.000000,1,10140.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,0,0.004983,0.000000,1,10188.000000,0.000000, ===
===,6,FAILURE-CHECK,0,0.005027,0.001076,1,10188.000000,0.000000, ===
===,7,CHECKPOINT-START,0,0.005079,0.000000,1,10188.000000,0.000000, ===
===,8,CHECKPOINT-PRE-NEW,0,0.005119,0.000000,1,10188.000000,0.000000, ===
===,9,CHECKPOINT-POST-NEW,0,0.055087,0.000000,1,18728.000000,4096.000000, ===
===,10,CHECKPOINT-STOP,0,0.055140,0.000000,1,18728.000000,4096.000000, ===
===,11,CHECKPOINT,0,0.055175,0.050128,1,18728.000000,4096.000000, ===
===,12,ITER,0,0.064952,0.000000,2,20844.000000,4112.023438, ===
===,13,ITER,0,0.074572,0.000000,3,22940.000000,4128.046875, ===
===,14,ITER,0,0.078739,0.000000,4,22952.000000,4144.070312, ===
===,15,ITER,0,0.082608,0.000000,5,22956.000000,4160.093750, ===
===,16,ITER,0,0.086855,0.000000,6,22964.000000,4176.117188, ===
===,17,ITER,0,0.090885,0.000000,7,22964.000000,4192.140625, ===
===,18,ITER,0,0.094817,0.000000,8,22964.000000,4208.164062, ===
===,19,ITER,0,0.098884,0.000000,9,22964.000000,4224.187500, ===
===,20,ITER,0,0.102966,0.000000,10,22968.000000,4240.210938, ===
===,21,ITER,0,0.106815,0.000000,11,22980.000000,4256.234375, ===
===,22,FAILURE-CHECK-START,0,0.106863,0.000000,11,22980.000000,4256.234375, ===
===,23,FAILURE-CHECK-STOP,0,0.106915,0.000000,11,22980.000000,4256.234375, ===
===,24,FAILURE-CHECK,0,0.106955,0.000119,11,22980.000000,4256.234375, ===
===,25,CHECKPOINT-START,0,0.106998,0.000000,11,22980.000000,4256.234375, ===
===,26,CHECKPOINT-PRE-NEW,0,0.107041,0.000000,11,22980.000000,160.234375, ===
===,27,CHECKPOINT-POST-NEW,0,0.157237,0.000000,11,37300.000000,4256.234375, ===
===,28,CHECKPOINT-STOP,0,0.157294,0.000000,11,37300.000000,4256.234375, ===
===,29,CHECKPOINT,0,0.157354,0.050380,11,37300.000000,4256.234375, ===
===,30,ITER,0,0.161287,0.000000,12,37300.000000,4272.257812, ===
===,31,ITER,0,0.165305,0.000000,13,37300.000000,4288.281250, ===
===,32,ITER,0,0.169470,0.000000,14,37300.000000,4304.304688, ===
===,33,ITER,0,0.173386,0.000000,15,37304.000000,4320.328125, ===
===,34,ITER,0,0.177411,0.000000,16,37304.000000,4336.351562, ===
===,35,ITER,0,0.181449,0.000000,17,37304.000000,4352.375000, ===
===,36,ITER,0,0.184695,0.000000,18,37304.000000,4368.398438, ===
===,37,ITER,0,0.188935,0.000000,19,37304.000000,4384.421875, ===
===,38,ITER,0,0.192953,0.000000,20,37304.000000,4400.445312, ===
===,39,ITER,0,0.196826,0.000000,21,37304.000000,4416.468750, ===
===,40,FAILURE-CHECK-START,0,0.196872,0.000000,21,37304.000000,4416.468750, ===
===,41,FAILURE-CHECK-STOP,0,0.196919,0.000000,21,37304.000000,4416.468750, ===
===,42,FAILURE-CHECK,0,0.196955,0.000109,21,37304.000000,4416.468750, ===
===,43,CHECKPOINT-START,0,0.196996,0.000000,21,37304.000000,4416.468750, ===
===,44,CHECKPOINT-PRE-NEW,0,0.197036,0.000000,21,37304.000000,320.468750, ===
===,45,CHECKPOINT-POST-NEW,0,0.224874,0.000000,21,45500.000000,4416.468750, ===
===,46,CHECKPOINT-STOP,0,0.224930,0.000000,21,45500.000000,4416.468750, ===
===,47,CHECKPOINT,0,0.224957,0.027984,21,45500.000000,4416.468750, ===
===,48,ITER,0,0.228930,0.000000,22,45500.000000,4432.492188, ===
===,49,ITER,0,0.232849,0.000000,23,45500.000000,4448.515625, ===
===,50,ITER,0,0.237011,0.000000,24,45500.000000,4464.539062, ===
===,51,ITER,0,0.240903,0.000000,25,45500.000000,4480.562500, ===
===,52,ITER,0,0.244964,0.000000,26,45500.000000,4496.585938, ===
===,53,ITER,0,0.249084,0.000000,27,45500.000000,4512.609375, ===
===,54,ITER,0,0.252893,0.000000,28,45500.000000,4528.632812, ===
===,55,ITER,0,0.256662,0.000000,29,45500.000000,4544.656250, ===
===,56,ITER,0,0.260544,0.000000,30,45500.000000,4560.679688, ===
===,57,COMM-ERROR,0,0.270655,0.000000,30,45520.000000,4560.679688, ===
===,58,COMM-ERROR,0,0.270765,0.000000,30,45520.000000,4560.679688, ===
===,59,COMM-ERROR,0,0.274613,0.000000,30,45520.000000,4576.695312, ===
===,60,ITER,0,0.274674,0.000000,31,45520.000000,4576.703125, ===
===,61,FAILURE-CHECK-START,0,0.274715,0.000000,31,45520.000000,4576.703125, ===
===,62,FAILURE-CHECK-STOP,0,0.274856,0.000000,31,45520.000000,4576.703125, ===
===,63,FAILURE-CHECK,0,0.274914,0.000220,31,45520.000000,4576.703125, ===
===,64,FAILURE-DETECT,0,0.274995,0.000000,31,45520.000000,4576.703125, ===
===,65,RESTORE-START,0,0.275146,0.000000,31,45520.000000,4576.703125, ===
===,66,RESTORE-STOP,0,0.281992,0.000000,31,46524.000000,8672.703125, ===
===,67,RESTORE,0,0.282026,0.006911,31,46524.000000,8672.703125, ===
===,68,CHECKPOINT-START,0,0.282073,0.000000,31,46524.000000,8672.703125, ===
===,69,CHECKPOINT-PRE-NEW,0,0.282117,0.000000,31,46524.000000,480.703125, ===
===,70,CHECKPOINT-POST-NEW,0,0.326268,0.000000,31,52672.000000,5940.703125, ===
===,71,CHECKPOINT-STOP,0,0.326332,0.000000,31,52672.000000,5940.703125, ===
===,72,CHECKPOINT,0,0.326376,0.044327,31,52672.000000,5940.703125, ===
===,73,ITER,0,0.330432,0.000000,22,52672.000000,5956.726562, ===
===,74,ITER,0,0.336169,0.000000,23,52672.000000,5972.750000, ===
===,75,ITER,0,0.341347,0.000000,24,52672.000000,5988.773438, ===
===,76,ITER,0,0.346710,0.000000,25,52672.000000,6004.796875, ===
===,77,ITER,0,0.352412,0.000000,26,52672.000000,6020.820312, ===
===,78,ITER,0,0.357688,0.000000,27,52672.000000,6036.843750, ===
===,79,ITER,0,0.363270,0.000000,28,52672.000000,6052.867188, ===
===,80,ITER,0,0.368669,0.000000,29,52672.000000,6068.890625, ===
===,81,ITER,0,0.372550,0.000000,30,52672.000000,6084.914062, ===
===,82,ITER,0,0.376157,0.000000,31,52672.000000,6100.937500, ===
===,83,FAILURE-CHECK-START,0,0.376198,0.000000,31,52672.000000,6100.937500, ===
===,84,FAILURE-CHECK-STOP,0,0.376264,0.000000,31,52672.000000,6100.937500, ===
===,85,FAILURE-CHECK,0,0.376308,0.000132,31,52672.000000,6100.937500, ===
===,86,CHECKPOINT-START,0,0.376353,0.000000,31,52672.000000,6100.937500, ===
===,87,CHECKPOINT-PRE-NEW,0,0.376470,0.000000,31,52672.000000,640.937500, ===
===,88,CHECKPOINT-POST-NEW,0,0.408121,0.000000,31,62920.000000,6100.937500, ===
===,89,CHECKPOINT-STOP,0,0.408183,0.000000,31,62920.000000,6100.937500, ===
===,90,CHECKPOINT,0,0.408210,0.031885,31,62920.000000,6100.937500, ===
===,91,ITER,0,0.413728,0.000000,32,62920.000000,6116.960938, ===
===,92,ITER,0,0.418878,0.000000,33,62920.000000,6132.984375, ===
===,93,ITER,0,0.424241,0.000000,34,62920.000000,6149.007812, ===
===,94,ITER,0,0.429484,0.000000,35,62920.000000,6165.031250, ===
===,95,ITER,0,0.434970,0.000000,36,62920.000000,6181.054688, ===
===,96,ITER,0,0.440020,0.000000,37,62920.000000,6197.078125, ===
===,97,ITER,0,0.445608,0.000000,38,62920.000000,6213.101562, ===
===,98,ITER,0,0.450689,0.000000,39,62920.000000,6229.125000, ===
===,99,ITER,0,0.456066,0.000000,40,62920.000000,6245.148438, ===
===,100,COMM-ERROR,0,0.464131,0.000000,40,62920.000000,6245.148438, ===
===,101,COMM-ERROR,0,0.464279,0.000000,40,62920.000000,6245.148438, ===
===,102,COMM-ERROR,0,0.467798,0.000000,40,62920.000000,6261.164062, ===
===,103,ITER,0,0.467944,0.000000,41,62920.000000,6261.171875, ===
===,104,FAILURE-CHECK-START,0,0.468013,0.000000,41,62920.000000,6261.171875, ===
===,105,FAILURE-CHECK-STOP,0,0.469639,0.000000,41,62920.000000,6261.171875, ===
===,106,FAILURE-CHECK,0,0.469703,0.001731,41,62920.000000,6261.171875, ===
===,107,FAILURE-DETECT,0,0.469789,0.000000,41,62920.000000,6261.171875, ===
===,108,RESTORE-START,0,0.469987,0.000000,41,62920.000000,6261.171875, ===
===,109,RESTORE-STOP,0,0.483061,0.000000,41,67708.000000,8993.171875, ===
===,110,RESTORE,0,0.483090,0.013152,41,67708.000000,8993.171875, ===
===,111,CHECKPOINT-START,0,0.483133,0.000000,41,67708.000000,8993.171875, ===
===,112,CHECKPOINT-PRE-NEW,0,0.483184,0.000000,41,67708.000000,801.171875, ===
===,113,CHECKPOINT-POST-NEW,0,0.543053,0.000000,41,75904.000000,8993.171875, ===
===,114,CHECKPOINT-STOP,0,0.543137,0.000000,41,75904.000000,8993.171875, ===
===,115,CHECKPOINT,0,0.543176,0.060070,41,75904.000000,8993.171875, ===
===,116,ITER,0,0.551552,0.000000,32,75904.000000,9009.179688, ===
===,117,ITER,0,0.556356,0.000000,33,75904.000000,9025.187500, ===
===,118,ITER,0,0.561054,0.000000,34,75904.000000,9041.195312, ===
===,119,ITER,0,0.565718,0.000000,35,75904.000000,9057.203125, ===
===,120,ITER,0,0.570504,0.000000,36,75904.000000,9073.210938, ===
===,121,ITER,0,0.578348,0.000000,37,75904.000000,9089.218750, ===
===,122,ITER,0,0.586490,0.000000,38,75904.000000,9105.226562, ===
===,123,ITER,0,0.591179,0.000000,39,75904.000000,9121.234375, ===
===,124,ITER,0,0.595980,0.000000,40,75904.000000,9137.242188, ===
===,125,ITER,0,0.601150,0.000000,41,75904.000000,9153.250000, ===
===,126,FAILURE-CHECK-START,0,0.601206,0.000000,41,75904.000000,9153.250000, ===
===,127,FAILURE-CHECK-STOP,0,0.601262,0.000000,41,75904.000000,9153.250000, ===
===,128,FAILURE-CHECK,0,0.601337,0.000164,41,75904.000000,9153.250000, ===
===,129,CHECKPOINT-START,0,0.601416,0.000000,41,75904.000000,9153.250000, ===
===,130,CHECKPOINT-PRE-NEW,0,0.601517,0.000000,41,75904.000000,961.250000, ===
===,131,CHECKPOINT-POST-NEW,0,0.646607,0.000000,41,92288.000000,9153.250000, ===
===,132,CHECKPOINT-STOP,0,0.646676,0.000000,41,92288.000000,9153.250000, ===
===,133,CHECKPOINT,0,0.646710,0.045340,41,92288.000000,9153.250000, ===
===,134,ITER,0,0.651854,0.000000,42,92288.000000,9169.257812, ===
===,135,ITER,0,0.657364,0.000000,43,92288.000000,9185.265625, ===
===,136,ITER,0,0.664335,0.000000,44,92288.000000,9201.273438, ===
===,137,ITER,0,0.672161,0.000000,45,92288.000000,9217.281250, ===
===,138,ITER,0,0.678093,0.000000,46,92288.000000,9233.289062, ===
===,139,ITER,0,0.685303,0.000000,47,92288.000000,9249.296875, ===
===,140,ITER,0,0.690775,0.000000,48,92288.000000,9265.304688, ===
===,141,ITER,0,0.696366,0.000000,49,92288.000000,9281.312500, ===
===,142,ITER,0,0.701217,0.000000,50,92288.000000,9297.320312, ===
===,143,FINALIZE-START,0,0.706182,0.000000,50,92288.000000,9313.328125, ===
===,144,FINALIZE-STOP,0,0.723554,0.000000,50,89316.000000,9313.328125, ===
===,145,FINALIZE,0,0.723615,0.017514,50,89316.000000,9313.328125, ===
===,0,INIT-START,1,0.000132,0.000000,0,7944.000000,0.000000, ===
===,1,INIT-STOP,1,0.004227,0.000000,0,10124.000000,0.000000, ===
===,2,INIT,1,0.004293,0.004228,0,10124.000000,0.000000, ===
===,3,ITER,1,0.004335,0.000000,1,10128.000000,0.000000, ===
===,4,FAILURE-CHECK-START,1,0.004380,0.000000,1,10128.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,1,0.004983,0.000000,1,10176.000000,0.000000, ===
===,6,FAILURE-CHECK,1,0.005023,0.000668,1,10176.000000,0.000000, ===
===,7,CHECKPOINT-START,1,0.005065,0.000000,1,10176.000000,0.000000, ===
===,8,CHECKPOINT-PRE-NEW,1,0.005099,0.000000,1,10176.000000,0.000000, ===
===,9,CHECKPOINT-POST-NEW,1,0.028150,0.000000,1,14624.000000,4096.000000, ===
===,10,CHECKPOINT-STOP,1,0.028198,0.000000,1,14624.000000,4096.000000, ===
===,11,CHECKPOINT,1,0.028224,0.023183,1,14624.000000,4096.000000, ===
===,12,ITER,1,0.064942,0.000000,2,16736.000000,4112.023438, ===
===,13,ITER,1,0.074568,0.000000,3,18840.000000,4128.046875, ===
===,14,ITER,1,0.078735,0.000000,4,18848.000000,4144.070312, ===
===,15,ITER,1,0.082586,0.000000,5,18856.000000,4160.093750, ===
===,16,ITER,1,0.086853,0.000000,6,18856.000000,4176.117188, ===
===,17,ITER,1,0.090877,0.000000,7,18860.000000,4192.140625, ===
===,18,ITER,1,0.094828,0.000000,8,18864.000000,4208.164062, ===
===,19,ITER,1,0.098889,0.000000,9,18864.000000,4224.187500, ===
===,20,ITER,1,0.102976,0.000000,10,18868.000000,4240.210938, ===
===,21,ITER,1,0.106792,0.000000,11,18880.000000,4256.234375, ===
===,22,FAILURE-CHECK-START,1,0.106848,0.000000,11,18880.000000,4256.234375, ===
===,23,FAILURE-CHECK-STOP,1,0.106970,0.000000,11,18880.000000,4256.234375, ===
===,24,FAILURE-CHECK,1,0.107039,0.000227,11,18880.000000,4256.234375, ===
===,25,CHECKPOINT-START,1,0.107200,0.000000,11,18880.000000,4256.234375, ===
===,26,CHECKPOINT-PRE-NEW,1,0.107254,0.000000,11,18880.000000,160.234375, ===
===,27,CHECKPOINT-POST-NEW,1,0.135828,0.000000,11,29104.000000,4256.234375, ===
===,28,CHECKPOINT-STOP,1,0.135893,0.000000,11,29104.000000,4256.234375, ===
===,29,CHECKPOINT,1,0.135933,0.028866,11,29104.000000,4256.234375, ===
===,30,ITER,1,0.161299,0.000000,12,29104.000000,4272.257812, ===
===,31,ITER,1,0.165308,0.000000,13,29104.000000,4288.281250, ===
===,32,ITER,1,0.169468,0.000000,14,29104.000000,4304.304688, ===
===,33,ITER,1,0.173374,0.000000,15,29108.000000,4320.328125, ===
===,34,ITER,1,0.177403,0.000000,16,29108.000000,4336.351562, ===
===,35,ITER,1,0.181457,0.000000,17,29108.000000,4352.375000, ===
===,36,ITER,1,0.184693,0.000000,18,29108.000000,4368.398438, ===
===,37,ITER,1,0.188936,0.000000,19,29108.000000,4384.421875, ===
===,38,ITER,1,0.192950,0.000000,20,29108.000000,4400.445312, ===
===,39,ITER,1,0.196814,0.000000,21,29108.000000,4416.468750, ===
===,40,FAILURE-CHECK-START,1,0.196865,0.000000,21,29108.000000,4416.468750, ===
===,41,FAILURE-CHECK-STOP,1,0.196923,0.000000,21,29108.000000,4416.468750, ===
