===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000191,0.000000,0,7976.000000,0.000000, ===
===,1,INIT-STOP,0,0.003541,0.000000,0,10136.000000,0.000000, ===
===,2,INIT,0,0.003586,0.003451,0,10136.000000,0.000000, ===
===,3,ITER,0,0.003620,0.000000,1,10140.000000,0.000000, ===
===,4,FAILURE-CHECK-START,0,0.003671,0.000000,1,10140.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,0,0.004696,0.000000,1,10188.000000,0.000000, ===
===,6,FAILURE-CHECK,0,0.004762,0.001124,1,10188.000000,0.000000, ===
===,7,ITER,0,0.017795,0.000000,2,12380.000000,16.023438, ===
===,8,ITER,0,0.028859,0.000000,3,14472.000000,32.046875, ===
===,9,ITER,0,0.033538,0.000000,4,14488.000000,48.070312, ===
===,10,ITER,0,0.037951,0.000000,5,14496.000000,64.093750, ===
===,11,ITER,0,0.041853,0.000000,6,14516.000000,80.117188, ===
===,12,ITER,0,0.046107,0.000000,7,14516.000000,96.140625, ===
===,13,ITER,0,0.050246,0.000000,8,14516.000000,112.164062, ===
===,14,ITER,0,0.054523,0.000000,9,14516.000000,128.187500, ===
===,15,ITER,0,0.058661,0.000000,10,14520.000000,144.210938, ===
===,16,ITER,0,0.063042,0.000000,11,14532.000000,160.234375, ===
===,17,FAILURE-CHECK-START,0,0.063088,0.000000,11,14532.000000,160.234375, ===
===,18,FAILURE-CHECK-STOP,0,0.063165,0.000000,11,14532.000000,160.234375, ===
===,19,FAILURE-CHECK,0,0.063202,0.000141,11,14532.000000,160.234375, ===
===,20,ITER,0,0.067499,0.000000,12,14532.000000,176.257812, ===
===,21,ITER,0,0.071610,0.000000,13,14532.000000,192.281250, ===
===,22,ITER,0,0.075747,0.000000,14,14532.000000,208.304688, ===
===,23,ITER,0,0.079912,0.000000,15,14532.000000,224.328125, ===
===,24,ITER,0,0.084119,0.000000,16,14532.000000,240.351562, ===
===,25,ITER,0,0.088351,0.000000,17,14544.000000,256.375000, ===
===,26,ITER,0,0.092503,0.000000,18,14544.000000,272.398438, ===
===,27,ITER,0,0.096695,0.000000,19,14544.000000,288.421875, ===
===,28,ITER,0,0.100798,0.000000,20,14544.000000,304.445312, ===
===,29,ITER,0,0.104984,0.000000,21,14544.000000,320.468750, ===
===,30,FAILURE-CHECK-START,0,0.105034,0.000000,21,14544.000000,320.468750, ===
