===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000202,0.000000,0,7968.000000,0.000000, ===
===,1,INIT-STOP,0,0.004290,0.000000,0,10132.000000,0.000000, ===
===,2,INIT,0,0.004337,0.004184,0,10132.000000,0.000000, ===
===,3,ITER,0,0.004375,0.000000,1,10136.000000,0.000000, ===
===,4,FAILURE-CHECK-START,0,0.004416,0.000000,1,10136.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,0,0.004546,0.000000,1,10184.000000,0.000000, ===
===,6,FAILURE-CHECK,0,0.004583,0.000189,1,10184.000000,0.000000, ===
===,7,CHECKPOINT-START,0,0.004625,0.000000,1,10184.000000,0.000000, ===
===,8,CHECKPOINT-PRE-NEW,0,0.004659,0.000000,1,10184.000000,0.000000, ===
===,9,CHECKPOINT-POST-NEW,0,0.054375,0.000000,1,18724.000000,4096.000000, ===
===,10,CHECKPOINT-STOP,0,0.054432,0.000000,1,18724.000000,4096.000000, ===
===,11,CHECKPOINT,0,0.054464,0.049863,1,18724.000000,4096.000000, ===
===,12,ITER,0,0.068866,0.000000,2,20840.000000,4112.023438, ===
===,13,ITER,0,0.078673,0.000000,3,22928.000000,4128.046875, ===
===,14,ITER,0,0.082847,0.000000,4,22948.000000,4144.070312, ===
===,15,ITER,0,0.086839,0.000000,5,22952.000000,4160.093750, ===
===,16,ITER,0,0.090729,0.000000,6,22960.000000,4176.117188, ===
===,17,ITER,0,0.094881,0.000000,7,22960.000000,4192.140625, ===
===,18,ITER,0,0.098956,0.000000,8,22960.000000,4208.164062, ===
===,19,ITER,0,0.102850,0.000000,9,22960.000000,4224.187500, ===
===,20,ITER,0,0.106822,0.000000,10,22964.000000,4240.210938, ===
===,21,ITER,0,0.110923,0.000000,11,22976.000000,4256.234375, ===
===,22,FAILURE-CHECK-START,0,0.110974,0.000000,11,22976.000000,4256.234375, ===
===,23,FAILURE-CHECK-STOP,0,0.111052,0.000000,11,22976.000000,4256.234375, ===
===,24,FAILURE-CHECK,0,0.111107,0.000162,11,22976.000000,4256.234375, ===
===,25,CHECKPOINT-START,0,0.111151,0.000000,11,22976.000000,4256.234375, ===
===,26,CHECKPOINT-PRE-NEW,0,0.111203,0.000000,11,22976.000000,160.234375, ===
===,27,CHECKPOINT-POST-NEW,0,0.161616,0.000000,11,37300.000000,4256.234375, ===
===,28,CHECKPOINT-STOP,0,0.161667,0.000000,11,37300.000000,4256.234375, ===
===,29,CHECKPOINT,0,0.161698,0.050573,11,37300.000000,4256.234375, ===
===,30,ITER,0,0.165632,0.000000,12,37300.000000,4272.257812, ===
===,31,ITER,0,0.169647,0.000000,13,37300.000000,4288.281250, ===
===,32,ITER,0,0.173599,0.000000,14,37300.000000,4304.304688, ===
===,33,ITER,0,0.177443,0.000000,15,37304.000000,4320.328125, ===
===,34,ITER,0,0.181446,0.000000,16,37304.000000,4336.351562, ===
===,35,ITER,0,0.185525,0.000000,17,37304.000000,4352.375000, ===
===,36,ITER,0,0.189331,0.000000,18,37304.000000,4368.398438, ===
===,37,ITER,0,0.193485,0.000000,19,37304.000000,4384.421875, ===
===,38,ITER,0,0.197420,0.000000,20,37304.000000,4400.445312, ===
===,39,ITER,0,0.201438,0.000000,21,37304.000000,4416.468750, ===
===,40,FAILURE-CHECK-START,0,0.201490,0.000000,21,37304.000000,4416.468750, ===
===,41,FAILURE-CHECK-STOP,0,0.201547,0.000000,21,37304.000000,4416.468750, ===
===,42,FAILURE-CHECK,0,0.201591,0.000129,21,37304.000000,4416.468750, ===
===,43,CHECKPOINT-START,0,0.201636,0.000000,21,37304.000000,4416.468750, ===
===,44,CHECKPOINT-PRE-NEW,0,0.201680,0.000000,21,37304.000000,320.468750, ===
===,45,CHECKPOINT-POST-NEW,0,0.238229,0.000000,21,45496.000000,4416.468750, ===
===,46,CHECKPOINT-STOP,0,0.238281,0.000000,21,45496.000000,4416.468750, ===
===,47,CHECKPOINT,0,0.238312,0.036701,21,45496.000000,4416.468750, ===
===,48,ITER,0,0.242257,0.000000,22,45496.000000,4432.492188, ===
===,49,ITER,0,0.246133,0.000000,23,45496.000000,4448.515625, ===
===,50,ITER,0,0.250123,0.000000,24,45496.000000,4464.539062, ===
===,51,ITER,0,0.254006,0.000000,25,45496.000000,4480.562500, ===
===,52,ITER,0,0.258025,0.000000,26,45496.000000,4496.585938, ===
===,53,ITER,0,0.261876,0.000000,27,45496.000000,4512.609375, ===
===,54,ITER,0,0.265537,0.000000,28,45496.000000,4528.632812, ===
===,55,ITER,0,0.269621,0.000000,29,45496.000000,4544.656250, ===
===,56,ITER,0,0.273565,0.000000,30,45496.000000,4560.679688, ===
===,57,ITER,0,0.277767,0.000000,31,45496.000000,4576.703125, ===
===,58,FAILURE-CHECK-START,0,0.277901,0.000000,31,45496.000000,4576.703125, ===
===,59,FAILURE-CHECK-STOP,0,0.277962,0.000000,31,45496.000000,4576.703125, ===
===,60,FAILURE-CHECK,0,0.278004,0.000199,31,45496.000000,4576.703125, ===
===,61,CHECKPOINT-START,0,0.278063,0.000000,31,45496.000000,4576.703125, ===
===,62,CHECKPOINT-PRE-NEW,0,0.278181,0.000000,31,45496.000000,480.703125, ===
===,63,CHECKPOINT-POST-NEW,0,0.311382,0.000000,31,53688.000000,4576.703125, ===
===,64,CHECKPOINT-STOP,0,0.311435,0.000000,31,53688.000000,4576.703125, ===
===,65,CHECKPOINT,0,0.311469,0.033447,31,53688.000000,4576.703125, ===
===,66,ITER,0,0.315635,0.000000,32,53688.000000,4592.726562, ===
===,67,ITER,0,0.319675,0.000000,33,53688.000000,4608.750000, ===
===,68,ITER,0,0.323716,0.000000,34,53688.000000,4624.773438, ===
===,69,ITER,0,0.327825,0.000000,35,53688.000000,4640.796875, ===
===,70,ITER,0,0.332103,0.000000,36,53688.000000,4656.820312, ===
===,71,ITER,0,0.336284,0.000000,37,53688.000000,4672.843750, ===
===,72,ITER,0,0.340420,0.000000,38,53688.000000,4688.867188, ===
===,73,ITER,0,0.344549,0.000000,39,53688.000000,4704.890625, ===
===,74,ITER,0,0.348481,0.000000,40,53688.000000,4720.914062, ===
===,75,ITER,0,0.352499,0.000000,41,53688.000000,4736.937500, ===
===,76,FAILURE-CHECK-START,0,0.352563,0.000000,41,53688.000000,4736.937500, ===
===,77,FAILURE-CHECK-STOP,0,0.352673,0.000000,41,53688.000000,4736.937500, ===
===,78,FAILURE-CHECK,0,0.352717,0.000170,41,53688.000000,4736.937500, ===
