===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000187,0.000000,0,7968.000000,0.000000, ===
===,1,INIT-STOP,0,0.004661,0.000000,0,10128.000000,0.000000, ===
===,2,INIT,0,0.004724,0.004598,0,10128.000000,0.000000, ===
===,3,ITER,0,0.004761,0.000000,1,10132.000000,0.000000, ===
===,4,FAILURE-CHECK-START,0,0.004801,0.000000,1,10132.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,0,0.004967,0.000000,1,10180.000000,0.000000, ===
===,6,FAILURE-CHECK,0,0.005055,0.000274,1,10180.000000,0.000000, ===
===,7,CHECKPOINT-START,0,0.005104,0.000000,1,10180.000000,0.000000, ===
===,8,CHECKPOINT-PRE-NEW,0,0.005140,0.000000,1,10180.000000,0.000000, ===
===,9,CHECKPOINT-POST-NEW,0,0.057973,0.000000,1,18720.000000,4096.000000, ===
===,10,CHECKPOINT-STOP,0,0.058025,0.000000,1,18720.000000,4096.000000, ===
===,11,CHECKPOINT,0,0.058055,0.052979,1,18720.000000,4096.000000, ===
===,12,ITER,0,0.073108,0.000000,2,20836.000000,4112.023438, ===
===,13,ITER,0,0.086751,0.000000,3,22932.000000,4128.046875, ===
===,14,ITER,0,0.094990,0.000000,4,22944.000000,4144.070312, ===
===,15,ITER,0,0.099369,0.000000,5,22948.000000,4160.093750, ===
===,16,ITER,0,0.104063,0.000000,6,22956.000000,4176.117188, ===
===,17,ITER,0,0.108165,0.000000,7,22956.000000,4192.140625, ===
===,18,ITER,0,0.112129,0.000000,8,22956.000000,4208.164062, ===
===,19,ITER,0,0.116233,0.000000,9,22956.000000,4224.187500, ===
===,20,ITER,0,0.120509,0.000000,10,22960.000000,4240.210938, ===
===,21,ITER,0,0.124494,0.000000,11,22972.000000,4256.234375, ===
===,22,FAILURE-CHECK-START,0,0.124542,0.000000,11,22972.000000,4256.234375, ===
===,23,FAILURE-CHECK-STOP,0,0.124596,0.000000,11,22972.000000,4256.234375, ===
===,24,FAILURE-CHECK,0,0.124632,0.000116,11,22972.000000,4256.234375, ===
===,25,CHECKPOINT-START,0,0.124673,0.000000,11,22972.000000,4256.234375, ===
===,26,CHECKPOINT-PRE-NEW,0,0.124714,0.000000,11,22972.000000,160.234375, ===
===,27,CHECKPOINT-POST-NEW,0,0.176881,0.000000,11,37296.000000,4256.234375, ===
===,28,CHECKPOINT-STOP,0,0.176933,0.000000,11,37296.000000,4256.234375, ===
===,29,CHECKPOINT,0,0.176966,0.052317,11,37296.000000,4256.234375, ===
===,30,ITER,0,0.180936,0.000000,12,37296.000000,4272.257812, ===
===,31,ITER,0,0.184815,0.000000,13,37296.000000,4288.281250, ===
===,32,ITER,0,0.188940,0.000000,14,37296.000000,4304.304688, ===
===,33,ITER,0,0.193040,0.000000,15,37300.000000,4320.328125, ===
===,34,ITER,0,0.197142,0.000000,16,37300.000000,4336.351562, ===
===,35,ITER,0,0.201141,0.000000,17,37300.000000,4352.375000, ===
===,36,ITER,0,0.205116,0.000000,18,37300.000000,4368.398438, ===
===,37,ITER,0,0.209013,0.000000,19,37300.000000,4384.421875, ===
===,38,ITER,0,0.213034,0.000000,20,37300.000000,4400.445312, ===
===,39,ITER,0,0.217070,0.000000,21,37300.000000,4416.468750, ===
===,40,FAILURE-CHECK-START,0,0.217118,0.000000,21,37300.000000,4416.468750, ===
===,41,FAILURE-CHECK-STOP,0,0.217173,0.000000,21,37300.000000,4416.468750, ===
===,42,FAILURE-CHECK,0,0.217213,0.000122,21,37300.000000,4416.468750, ===
===,43,CHECKPOINT-START,0,0.217273,0.000000,21,37300.000000,4416.468750, ===
===,44,CHECKPOINT-PRE-NEW,0,0.217316,0.000000,21,37300.000000,320.468750, ===
===,45,CHECKPOINT-POST-NEW,0,0.257175,0.000000,21,45496.000000,4416.468750, ===
===,46,CHECKPOINT-STOP,0,0.257234,0.000000,21,45496.000000,4416.468750, ===
===,47,CHECKPOINT,0,0.257274,0.040036,21,45496.000000,4416.468750, ===
===,48,ITER,0,0.261286,0.000000,22,45496.000000,4432.492188, ===
===,49,ITER,0,0.265808,0.000000,23,45496.000000,4448.515625, ===
===,50,ITER,0,0.269771,0.000000,24,45496.000000,4464.539062, ===
===,51,ITER,0,0.273779,0.000000,25,45496.000000,4480.562500, ===
===,52,ITER,0,0.277712,0.000000,26,45496.000000,4496.585938, ===
===,53,ITER,0,0.281778,0.000000,27,45496.000000,4512.609375, ===
===,54,ITER,0,0.285688,0.000000,28,45496.000000,4528.632812, ===
===,55,ITER,0,0.289607,0.000000,29,45496.000000,4544.656250, ===
===,56,ITER,0,0.293548,0.000000,30,45496.000000,4560.679688, ===
===,57,COMM-ERROR,0,0.303068,0.000000,30,45516.000000,4560.679688, ===
===,58,COMM-ERROR,0,0.303174,0.000000,30,45516.000000,4560.679688, ===
===,59,COMM-ERROR,0,0.306934,0.000000,30,45516.000000,4576.695312, ===
===,60,ITER,0,0.306999,0.000000,31,45516.000000,4576.703125, ===
===,61,FAILURE-CHECK-START,0,0.307038,0.000000,31,45516.000000,4576.703125, ===
===,62,FAILURE-CHECK-STOP,0,0.307095,0.000000,31,45516.000000,4576.703125, ===
===,63,FAILURE-CHECK,0,0.307130,0.000115,31,45516.000000,4576.703125, ===
===,64,FAILURE-DETECT,0,0.307166,0.000000,31,45516.000000,4576.703125, ===
===,65,RESTORE-START,0,0.307383,0.000000,31,45516.000000,4576.703125, ===
===,66,RESTORE-STOP,0,0.315356,0.000000,31,46520.000000,8672.703125, ===
===,67,RESTORE,0,0.315384,0.008030,31,46520.000000,8672.703125, ===
===,68,CHECKPOINT-START,0,0.315416,0.000000,31,46520.000000,8672.703125, ===
===,69,CHECKPOINT-PRE-NEW,0,0.315465,0.000000,31,46520.000000,480.703125, ===
===,70,CHECKPOINT-POST-NEW,0,0.363978,0.000000,31,52668.000000,5940.703125, ===
===,71,CHECKPOINT-STOP,0,0.364063,0.000000,31,52668.000000,5940.703125, ===
===,72,CHECKPOINT,0,0.364172,0.048775,31,52668.000000,5940.703125, ===
===,73,ITER,0,0.368254,0.000000,22,52668.000000,5956.726562, ===
===,74,ITER,0,0.373719,0.000000,23,52668.000000,5972.750000, ===
===,75,ITER,0,0.379495,0.000000,24,52668.000000,5988.773438, ===
===,76,ITER,0,0.384559,0.000000,25,52668.000000,6004.796875, ===
===,77,ITER,0,0.389742,0.000000,26,52668.000000,6020.820312, ===
===,78,ITER,0,0.395388,0.000000,27,52668.000000,6036.843750, ===
