===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.005185,0.000000,1572200415.427609,0,39800.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.172454,0.000000,1572200415.594879,0,55784.000000,102.203125, ===
===,2,INIT,0,0.172505,0.167358,1572200415.594929,0,56012.000000,102.203125, ===
===,3,FAILURE-DETECT,0,0.172541,0.000000,1572200415.594966,0,56012.000000,102.203125, ===
===,4,CHECKPOINT-START,0,0.176438,0.000000,1572200415.598863,0,56012.000000,102.203125, ===
===,5,CHECKPOINT-STOP,0,0.951034,0.000000,1572200416.373459,0,122452.000000,38648.101562, ===
===,6,CHECKPOINT,0,0.951068,0.774652,1572200416.373493,0,122628.000000,38648.101562, ===
===,7,FAILURE-DETECT,0,1.179907,0.000000,1572200416.602331,5,122888.000000,39104.226562, ===
===,8,FAILURE-DETECT,0,3.233739,0.000000,1572200418.656164,50,122908.000000,43209.421875, ===
===,9,FAILURE-DETECT,0,5.318229,0.000000,1572200420.740654,100,122908.000000,47770.750000, ===
===,10,FAILURE-DETECT,0,7.401562,0.000000,1572200422.823987,150,122908.000000,52332.078125, ===
===,11,FAILURE-DETECT,0,9.484175,0.000000,1572200424.906600,200,122908.000000,56893.406250, ===
===,12,CHECKPOINT-START,0,9.484996,0.000000,1572200424.907421,200,122908.000000,18347.507812, ===
===,13,CHECKPOINT-STOP,0,10.258726,0.000000,1572200425.681151,200,185816.000000,56893.406250, ===
===,14,CHECKPOINT,0,10.258758,0.773782,1572200425.681182,200,185996.000000,56893.406250, ===
===,15,FAILURE-DETECT,0,12.342873,0.000000,1572200427.765298,250,186256.000000,61454.734375, ===
===,16,FAILURE-DETECT,0,14.427081,0.000000,1572200429.849506,300,186492.000000,66016.062500, ===
===,17,FAILURE-DETECT,0,16.510640,0.000000,1572200431.933065,350,186492.000000,70577.390625, ===
===,18,FAILURE-DETECT,0,18.595861,0.000000,1572200434.018286,400,186492.000000,75138.718750, ===
===,19,CHECKPOINT-START,0,18.595935,0.000000,1572200434.018360,400,186492.000000,36592.820312, ===
===,20,CHECKPOINT-STOP,0,19.371253,0.000000,1572200434.793678,400,249092.000000,75138.718750, ===
===,21,CHECKPOINT,0,19.371285,0.775372,1572200434.793709,400,249272.000000,75138.718750, ===
===,22,COMM-ERROR,0,24.196641,0.000000,1572200439.619065,446,249532.000000,79335.140625, ===
===,23,FAILURE-DETECT,0,24.359224,0.000000,1572200439.781649,450,249780.000000,79700.046875, ===
===,24,RESTORE-START,0,24.359327,0.000000,1572200439.781752,450,249784.000000,79700.046875, ===
===,25,COMM-ERROR,0,24.361859,0.000000,1572200439.784284,450,249784.000000,79700.046875, ===
===,0,INIT-START,1,0.008092,0.000000,1572200415.430532,0,39844.000000,0.000000, ===
===,1,INIT-STOP,1,0.172436,0.000000,1572200415.594876,0,56500.000000,138.218750, ===
===,2,INIT,1,0.172483,0.164430,1572200415.594922,0,56728.000000,138.218750, ===
===,3,FAILURE-DETECT,1,0.172510,0.000000,1572200415.594950,0,56728.000000,138.218750, ===
===,4,CHECKPOINT-START,1,0.176914,0.000000,1572200415.599354,0,56728.000000,138.218750, ===
===,5,CHECKPOINT-STOP,1,0.950445,0.000000,1572200416.372885,0,122980.000000,38684.117188, ===
===,6,CHECKPOINT,1,0.950479,0.773584,1572200416.372919,0,123020.000000,38684.117188, ===
===,7,FAILURE-DETECT,1,1.180917,0.000000,1572200416.603357,5,123280.000000,39300.789062, ===
===,8,FAILURE-DETECT,1,3.234736,0.000000,1572200418.657175,50,123452.000000,44850.906250, ===
