===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000173,0.000000,0,7972.000000,0.000000, ===
===,1,INIT-STOP,0,0.004214,0.000000,0,10136.000000,0.000000, ===
===,2,INIT,0,0.004257,0.004134,0,10136.000000,0.000000, ===
===,3,ITER,0,0.004296,0.000000,1,10140.000000,0.000000, ===
===,4,FAILURE-CHECK-START,0,0.004335,0.000000,1,10140.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,0,0.004577,0.000000,1,10188.000000,0.000000, ===
===,6,FAILURE-CHECK,0,0.004618,0.000305,1,10188.000000,0.000000, ===
===,7,CHECKPOINT-START,0,0.004659,0.000000,1,10188.000000,0.000000, ===
===,8,CHECKPOINT-PRE-NEW,0,0.004693,0.000000,1,10188.000000,0.000000, ===
===,9,CHECKPOINT-POST-NEW,0,0.056347,0.000000,1,18728.000000,4096.000000, ===
===,10,CHECKPOINT-STOP,0,0.056399,0.000000,1,18728.000000,4096.000000, ===
===,11,CHECKPOINT,0,0.056433,0.051798,1,18728.000000,4096.000000, ===
===,12,ITER,0,0.066180,0.000000,2,20844.000000,4112.023438, ===
===,13,ITER,0,0.076744,0.000000,3,22944.000000,4128.046875, ===
===,14,ITER,0,0.080714,0.000000,4,22956.000000,4144.070312, ===
===,15,ITER,0,0.084553,0.000000,5,22960.000000,4160.093750, ===
===,16,ITER,0,0.088480,0.000000,6,22968.000000,4176.117188, ===
===,17,ITER,0,0.092375,0.000000,7,22968.000000,4192.140625, ===
===,18,ITER,0,0.096231,0.000000,8,22968.000000,4208.164062, ===
===,19,ITER,0,0.100167,0.000000,9,22968.000000,4224.187500, ===
===,20,ITER,0,0.104077,0.000000,10,22972.000000,4240.210938, ===
===,21,ITER,0,0.108446,0.000000,11,22984.000000,4256.234375, ===
===,22,FAILURE-CHECK-START,0,0.108500,0.000000,11,22984.000000,4256.234375, ===
===,23,FAILURE-CHECK-STOP,0,0.108577,0.000000,11,22984.000000,4256.234375, ===
===,24,FAILURE-CHECK,0,0.108614,0.000142,11,22984.000000,4256.234375, ===
===,25,CHECKPOINT-START,0,0.108702,0.000000,11,22984.000000,4256.234375, ===
===,26,CHECKPOINT-PRE-NEW,0,0.108745,0.000000,11,22984.000000,160.234375, ===
===,27,CHECKPOINT-POST-NEW,0,0.159622,0.000000,11,37312.000000,4256.234375, ===
===,28,CHECKPOINT-STOP,0,0.159686,0.000000,11,37312.000000,4256.234375, ===
===,29,CHECKPOINT,0,0.159725,0.051074,11,37312.000000,4256.234375, ===
===,30,ITER,0,0.163801,0.000000,12,37312.000000,4272.257812, ===
===,31,ITER,0,0.167777,0.000000,13,37312.000000,4288.281250, ===
===,32,ITER,0,0.171821,0.000000,14,37312.000000,4304.304688, ===
===,33,ITER,0,0.175890,0.000000,15,37316.000000,4320.328125, ===
===,34,ITER,0,0.179898,0.000000,16,37316.000000,4336.351562, ===
===,35,ITER,0,0.183878,0.000000,17,37316.000000,4352.375000, ===
===,36,ITER,0,0.187841,0.000000,18,37316.000000,4368.398438, ===
===,37,ITER,0,0.191851,0.000000,19,37316.000000,4384.421875, ===
===,38,ITER,0,0.196065,0.000000,20,37316.000000,4400.445312, ===
===,39,ITER,0,0.199973,0.000000,21,37316.000000,4416.468750, ===
===,40,FAILURE-CHECK-START,0,0.200022,0.000000,21,37316.000000,4416.468750, ===
===,41,FAILURE-CHECK-STOP,0,0.200074,0.000000,21,37316.000000,4416.468750, ===
===,42,FAILURE-CHECK,0,0.200110,0.000114,21,37316.000000,4416.468750, ===
===,43,CHECKPOINT-START,0,0.200175,0.000000,21,37316.000000,4416.468750, ===
===,44,CHECKPOINT-PRE-NEW,0,0.200259,0.000000,21,37316.000000,320.468750, ===
===,45,CHECKPOINT-POST-NEW,0,0.236776,0.000000,21,45508.000000,4416.468750, ===
===,46,CHECKPOINT-STOP,0,0.236831,0.000000,21,45508.000000,4416.468750, ===
===,47,CHECKPOINT,0,0.236869,0.036741,21,45508.000000,4416.468750, ===
===,48,ITER,0,0.241104,0.000000,22,45508.000000,4432.492188, ===
===,49,ITER,0,0.244986,0.000000,23,45508.000000,4448.515625, ===
===,50,ITER,0,0.248965,0.000000,24,45508.000000,4464.539062, ===
===,51,ITER,0,0.252864,0.000000,25,45508.000000,4480.562500, ===
===,52,ITER,0,0.256784,0.000000,26,45508.000000,4496.585938, ===
===,53,ITER,0,0.260924,0.000000,27,45508.000000,4512.609375, ===
===,54,ITER,0,0.264846,0.000000,28,45508.000000,4528.632812, ===
===,55,ITER,0,0.268730,0.000000,29,45508.000000,4544.656250, ===
===,56,ITER,0,0.272702,0.000000,30,45508.000000,4560.679688, ===
===,57,COMM-ERROR,0,0.282784,0.000000,30,45528.000000,4560.679688, ===
===,58,COMM-ERROR,0,0.282918,0.000000,30,45528.000000,4560.679688, ===
===,59,COMM-ERROR,0,0.285406,0.000000,30,45528.000000,4576.695312, ===
===,60,ITER,0,0.285476,0.000000,31,45528.000000,4576.703125, ===
===,61,FAILURE-CHECK-START,0,0.285580,0.000000,31,45528.000000,4576.703125, ===
===,62,FAILURE-CHECK-STOP,0,0.286632,0.000000,31,45528.000000,4576.703125, ===
===,63,FAILURE-CHECK,0,0.286741,0.001189,31,45528.000000,4576.703125, ===
===,64,FAILURE-DETECT,0,0.286782,0.000000,31,45528.000000,4576.703125, ===
===,65,RESTORE-START,0,0.286948,0.000000,31,45528.000000,4576.703125, ===
===,66,RESTORE-STOP,0,0.293620,0.000000,31,46532.000000,8672.703125, ===
===,67,RESTORE,0,0.293650,0.006754,31,46532.000000,8672.703125, ===
===,68,CHECKPOINT-START,0,0.293698,0.000000,31,46532.000000,8672.703125, ===
===,69,CHECKPOINT-PRE-NEW,0,0.293754,0.000000,31,46532.000000,480.703125, ===
===,70,CHECKPOINT-POST-NEW,0,0.329850,0.000000,31,52680.000000,5940.703125, ===
===,71,CHECKPOINT-STOP,0,0.329894,0.000000,31,52680.000000,5940.703125, ===
===,72,CHECKPOINT,0,0.329922,0.036251,31,52680.000000,5940.703125, ===
===,73,ITER,0,0.335697,0.000000,22,52680.000000,5956.726562, ===
===,74,ITER,0,0.341232,0.000000,23,52680.000000,5972.750000, ===
===,75,ITER,0,0.346506,0.000000,24,52680.000000,5988.773438, ===
===,76,ITER,0,0.351887,0.000000,25,52680.000000,6004.796875, ===
===,77,ITER,0,0.357565,0.000000,26,52680.000000,6020.820312, ===
===,78,ITER,0,0.362346,0.000000,27,52680.000000,6036.843750, ===
===,79,ITER,0,0.365735,0.000000,28,52680.000000,6052.867188, ===
===,80,ITER,0,0.369051,0.000000,29,52680.000000,6068.890625, ===
===,81,ITER,0,0.374266,0.000000,30,52680.000000,6084.914062, ===
===,82,ITER,0,0.379700,0.000000,31,52680.000000,6100.937500, ===
===,83,FAILURE-CHECK-START,0,0.379750,0.000000,31,52680.000000,6100.937500, ===
===,84,FAILURE-CHECK-STOP,0,0.379821,0.000000,31,52680.000000,6100.937500, ===
===,85,FAILURE-CHECK,0,0.379860,0.000139,31,52680.000000,6100.937500, ===
===,86,CHECKPOINT-START,0,0.379903,0.000000,31,52680.000000,6100.937500, ===
