===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000223,0.000000,0,8060.000000,0.000000, ===
===,1,INIT-STOP,0,0.001907,0.000000,0,8680.000000,0.000000, ===
===,2,INIT,0,0.001949,0.001796,0,8680.000000,0.000000, ===
===,3,ITER,0,0.001994,0.000000,1,8684.000000,0.000000, ===
===,4,FAILURE-CHECK-START,0,0.002036,0.000000,1,8684.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,0,0.003874,0.000000,1,8736.000000,0.000000, ===
===,6,FAILURE-CHECK,0,0.004021,0.002005,1,8736.000000,0.000000, ===
===,7,CHECKPOINT-START,0,0.004066,0.000000,1,8736.000000,0.000000, ===
===,8,CHECKPOINT-PRE-NEW,0,0.004099,0.000000,1,8736.000000,0.000000, ===
===,9,CHECKPOINT-POST-NEW,0,0.039782,0.000000,1,12992.000000,1023.781250, ===
===,10,CHECKPOINT-STOP,0,0.039846,0.000000,1,12992.000000,1023.781250, ===
===,11,CHECKPOINT,0,0.039878,0.035836,1,12992.000000,1023.781250, ===
===,12,ITER,0,0.046256,0.000000,2,13564.000000,1032.289062, ===
===,13,ITER,0,0.050844,0.000000,3,14108.000000,1040.796875, ===
===,14,ITER,0,0.054966,0.000000,4,14108.000000,1049.304688, ===
===,15,ITER,0,0.057541,0.000000,5,14116.000000,1057.812500, ===
===,16,ITER,0,0.060087,0.000000,6,14120.000000,1066.320312, ===
===,17,ITER,0,0.062615,0.000000,7,14140.000000,1074.828125, ===
===,18,ITER,0,0.064897,0.000000,8,14140.000000,1083.335938, ===
===,19,ITER,0,0.067443,0.000000,9,14140.000000,1091.843750, ===
===,20,ITER,0,0.069645,0.000000,10,14144.000000,1100.351562, ===
===,21,ITER,0,0.072346,0.000000,11,14156.000000,1108.859375, ===
===,22,FAILURE-CHECK-START,0,0.072470,0.000000,11,14156.000000,1108.859375, ===
===,23,FAILURE-CHECK-STOP,0,0.072651,0.000000,11,14156.000000,1108.859375, ===
===,24,FAILURE-CHECK,0,0.072722,0.000356,11,14156.000000,1108.859375, ===
===,25,CHECKPOINT-START,0,0.072766,0.000000,11,14156.000000,1108.859375, ===
===,26,CHECKPOINT-PRE-NEW,0,0.072818,0.000000,11,14156.000000,85.078125, ===
===,27,CHECKPOINT-POST-NEW,0,0.107718,0.000000,11,19608.000000,1108.859375, ===
===,28,CHECKPOINT-STOP,0,0.107808,0.000000,11,19608.000000,1108.859375, ===
===,29,CHECKPOINT,0,0.107853,0.035111,11,19608.000000,1108.859375, ===
===,30,ITER,0,0.110355,0.000000,12,19612.000000,1117.367188, ===
===,31,ITER,0,0.112753,0.000000,13,19612.000000,1125.875000, ===
===,32,ITER,0,0.115132,0.000000,14,19616.000000,1134.382812, ===
===,33,ITER,0,0.117547,0.000000,15,19624.000000,1142.890625, ===
===,34,ITER,0,0.119852,0.000000,16,19628.000000,1151.398438, ===
===,35,ITER,0,0.122192,0.000000,17,19636.000000,1159.906250, ===
===,36,ITER,0,0.124518,0.000000,18,19636.000000,1168.414062, ===
===,37,ITER,0,0.127048,0.000000,19,19636.000000,1176.921875, ===
===,38,ITER,0,0.129511,0.000000,20,19636.000000,1185.429688, ===
===,39,ITER,0,0.131884,0.000000,21,19636.000000,1193.937500, ===
===,40,FAILURE-CHECK-START,0,0.131927,0.000000,21,19636.000000,1193.937500, ===
===,41,FAILURE-CHECK-STOP,0,0.132084,0.000000,21,19636.000000,1193.937500, ===
===,42,FAILURE-CHECK,0,0.132124,0.000223,21,19636.000000,1193.937500, ===
===,43,CHECKPOINT-START,0,0.132166,0.000000,21,19636.000000,1193.937500, ===
===,44,CHECKPOINT-PRE-NEW,0,0.132208,0.000000,21,19636.000000,170.156250, ===
===,45,CHECKPOINT-POST-NEW,0,0.152894,0.000000,21,23548.000000,1193.937500, ===
===,46,CHECKPOINT-STOP,0,0.152952,0.000000,21,23548.000000,1193.937500, ===
===,47,CHECKPOINT,0,0.152988,0.020846,21,23548.000000,1193.937500, ===
===,48,ITER,0,0.155098,0.000000,22,23548.000000,1202.445312, ===
===,49,ITER,0,0.157397,0.000000,23,23548.000000,1210.953125, ===
===,50,ITER,0,0.159978,0.000000,24,23548.000000,1219.460938, ===
===,51,ITER,0,0.162693,0.000000,25,23552.000000,1227.968750, ===
