===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000134,0.000000,1571616864.680448,0,38676.000000,0.000000, ===
===,1,INIT-STOP,0,0.003846,0.000000,1571616864.684160,0,41960.000000,0.000000, ===
===,2,INIT,0,0.003879,0.003797,1571616864.684191,0,42156.000000,0.000000, ===
===,3,ITER,0,0.003914,0.000000,1571616864.684228,1,42156.000000,0.000000, ===
===,4,FAILURE-CHECK-START,0,0.003944,0.000000,1571616864.684258,1,42160.000000,0.000000, ===
===,5,FAILURE-CHECK-STOP,0,0.004097,0.000000,1571616864.684411,1,42160.000000,0.000000, ===
===,6,FAILURE-CHECK,0,0.004118,0.000190,1571616864.684432,1,42196.000000,0.000000, ===
===,7,CHECKPOINT-START,0,0.004139,0.000000,1571616864.684453,1,42196.000000,0.000000, ===
===,8,CHECKPOINT-PRE-NEW,0,0.004158,0.000000,1571616864.684472,1,42196.000000,0.000000, ===
===,9,CHECKPOINT-POST-NEW,0,0.090569,0.000000,1571616864.770883,1,93340.000000,5460.000000, ===
===,10,CHECKPOINT-STOP,0,0.090604,0.000000,1571616864.770918,1,93340.000000,5460.000000, ===
===,11,CHECKPOINT,0,0.090627,0.086498,1571616864.770940,1,93340.000000,5460.000000, ===
===,12,ITER,0,0.813124,0.000000,1571616865.493437,101,98956.000000,7596.718750, ===
===,13,ITER,0,1.339564,0.000000,1571616866.019877,201,99052.000000,9733.437500, ===
===,14,ITER,0,1.827807,0.000000,1571616866.508121,301,99052.000000,11870.156250, ===
===,15,ITER,0,2.317566,0.000000,1571616866.997880,401,99052.000000,14006.875000, ===
===,16,ITER,0,2.805807,0.000000,1571616867.486120,501,99052.000000,16143.593750, ===
===,17,FAILURE-CHECK-START,0,2.805859,0.000000,1571616867.486173,501,99052.000000,16143.593750, ===
===,18,FAILURE-CHECK-STOP,0,2.805940,0.000000,1571616867.486254,501,99052.000000,16143.593750, ===
===,19,FAILURE-CHECK,0,2.806004,0.000175,1571616867.486318,501,99052.000000,16143.593750, ===
===,20,ITER,0,3.295718,0.000000,1571616867.976032,601,99052.000000,18280.312500, ===
===,21,ITER,0,3.783930,0.000000,1571616868.464244,701,99052.000000,20417.031250, ===
===,22,ITER,0,4.273786,0.000000,1571616868.954100,801,99052.000000,22553.750000, ===
===,23,ITER,0,4.762265,0.000000,1571616869.442579,901,99052.000000,24690.468750, ===
===,24,ITER,0,5.253159,0.000000,1571616869.933473,1001,99052.000000,26827.187500, ===
===,25,FAILURE-CHECK-START,0,5.253210,0.000000,1571616869.933524,1001,99052.000000,26827.187500, ===
===,26,FAILURE-CHECK-STOP,0,5.253284,0.000000,1571616869.933598,1001,99052.000000,26827.187500, ===
