===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.004139,0.000000,1572052644.411722,0,39884.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.156924,0.000000,1572052644.564507,0,55652.000000,102.203125, ===
===,2,INIT,0,0.156972,0.152869,1572052644.564552,0,55880.000000,102.203125, ===
===,3,FAILURE-DETECT,0,0.157010,0.000000,1572052644.564593,0,55880.000000,102.203125, ===
===,4,CHECKPOINT-START,0,0.157904,0.000000,1572052644.565486,0,55880.000000,102.203125, ===
===,5,CHECKPOINT-STOP,0,0.936942,0.000000,1572052645.344525,0,122444.000000,38648.101562, ===
===,6,CHECKPOINT,0,0.936976,0.779092,1572052645.344558,0,122620.000000,38648.101562, ===
===,7,FAILURE-DETECT,0,1.144391,0.000000,1572052645.551974,5,122880.000000,39104.226562, ===
===,8,FAILURE-DETECT,0,3.020275,0.000000,1572052647.427858,50,122900.000000,43209.421875, ===
===,9,FAILURE-DETECT,0,5.104520,0.000000,1572052649.512103,100,122900.000000,47770.750000, ===
===,10,FAILURE-DETECT,0,7.187835,0.000000,1572052651.595418,150,122900.000000,52332.078125, ===
===,11,FAILURE-DETECT,0,9.270843,0.000000,1572052653.678426,200,122900.000000,56893.406250, ===
===,12,CHECKPOINT-START,0,9.271666,0.000000,1572052653.679249,200,122900.000000,18347.507812, ===
===,13,CHECKPOINT-STOP,0,10.046961,0.000000,1572052654.454544,200,185808.000000,56893.406250, ===
===,14,CHECKPOINT,0,10.046995,0.775351,1572052654.454577,200,185988.000000,56893.406250, ===
===,15,FAILURE-DETECT,0,12.130183,0.000000,1572052656.537765,250,186248.000000,61454.734375, ===
===,16,FAILURE-DETECT,0,14.215471,0.000000,1572052658.623054,300,186484.000000,66016.062500, ===
===,17,FAILURE-DETECT,0,16.298680,0.000000,1572052660.706263,350,186484.000000,70577.390625, ===
===,18,FAILURE-DETECT,0,18.384651,0.000000,1572052662.792234,400,186484.000000,75138.718750, ===
===,19,CHECKPOINT-START,0,18.384733,0.000000,1572052662.792316,400,186484.000000,36592.820312, ===
===,20,CHECKPOINT-STOP,0,19.160594,0.000000,1572052663.568177,400,249084.000000,75138.718750, ===
===,21,CHECKPOINT,0,19.160628,0.775923,1572052663.568210,400,249264.000000,75138.718750, ===
===,22,FAILURE-DETECT,0,21.252640,0.000000,1572052665.660223,450,249524.000000,79700.046875, ===
===,23,FAILURE-DETECT,0,23.345074,0.000000,1572052667.752657,500,249764.000000,84261.375000, ===
===,24,FAILURE-DETECT,0,25.434284,0.000000,1572052669.841867,550,249764.000000,88822.703125, ===
===,25,FAILURE-DETECT,0,27.529658,0.000000,1572052671.937241,600,249764.000000,93384.031250, ===
===,26,CHECKPOINT-START,0,27.530237,0.000000,1572052671.937820,600,249764.000000,54838.132812, ===
===,27,CHECKPOINT-STOP,0,28.305865,0.000000,1572052672.713448,600,312624.000000,93384.031250, ===
===,28,CHECKPOINT,0,28.305899,0.775684,1572052672.713482,600,312664.000000,93384.031250, ===
===,29,FAILURE-DETECT,0,30.417245,0.000000,1572052674.824828,650,312924.000000,97945.359375, ===
===,30,FAILURE-DETECT,0,32.535630,0.000000,1572052676.943213,700,313040.000000,102506.687500, ===
===,31,FAILURE-DETECT,0,34.661673,0.000000,1572052679.069256,750,313040.000000,107068.015625, ===
===,32,FAILURE-DETECT,0,36.797119,0.000000,1572052681.204702,800,313040.000000,111629.343750, ===
===,33,CHECKPOINT-START,0,36.800210,0.000000,1572052681.207793,800,313040.000000,73083.445312, ===
===,34,CHECKPOINT-STOP,0,37.582232,0.000000,1572052681.989815,800,375904.000000,111629.343750, ===
===,35,CHECKPOINT,0,37.582266,0.782075,1572052681.989848,800,375940.000000,111629.343750, ===
===,36,FAILURE-DETECT,0,39.723805,0.000000,1572052684.131388,850,376200.000000,116190.671875, ===
===,37,COMM-ERROR,0,43.712076,0.000000,1572052688.119659,880,376316.000000,118927.468750, ===
===,38,FAILURE-DETECT,0,44.536432,0.000000,1572052688.944015,900,376324.000000,120752.000000, ===
===,39,RESTORE-START,0,44.540187,0.000000,1572052688.947769,900,376328.000000,120752.000000, ===
===,40,COMM-ERROR,0,44.540573,0.000000,1572052688.948156,900,376328.000000,120752.000000, ===
===,41,RESTORE-STOP,0,44.870944,0.000000,1572052689.278527,900,511524.000000,120752.007812, ===
===,42,RESTORE,0,44.870973,0.330821,1572052689.278556,900,511524.000000,120752.007812, ===
===,43,FAILURE-DETECT,0,92.899827,0.000000,1572052737.307410,850,515796.000000,120752.007812, ===
===,44,FAILURE-DETECT,0,140.935886,0.000000,1572052785.343469,900,515796.000000,120752.007812, ===
===,45,FAILURE-DETECT,0,188.981323,0.000000,1572052833.388906,950,515796.000000,120752.007812, ===
===,46,FAILURE-DETECT,0,237.038769,0.000000,1572052881.446351,1000,515796.000000,120752.007812, ===
===,47,CHECKPOINT-START,0,237.038850,0.000000,1572052881.446433,1000,515984.000000,82206.109375, ===
===,48,CHECKPOINT-STOP,0,237.173351,0.000000,1572052881.580934,1000,555316.000000,82206.109375, ===
===,49,CHECKPOINT,0,237.173390,0.134556,1572052881.580972,1000,555452.000000,82206.109375, ===
===,50,FAILURE-DETECT,0,285.198347,0.000000,1572052929.605930,1050,559724.000000,82206.109375, ===
===,51,FAILURE-DETECT,0,333.233718,0.000000,1572052977.641301,1100,559724.000000,82206.109375, ===
===,52,FAILURE-DETECT,0,381.274946,0.000000,1572053025.682529,1150,559724.000000,82206.109375, ===
===,53,FAILURE-DETECT,0,429.299999,0.000000,1572053073.707582,1200,559724.000000,82206.109375, ===
===,54,CHECKPOINT-START,0,429.300100,0.000000,1572053073.707683,1200,559724.000000,82206.109375, ===
===,55,CHECKPOINT-STOP,0,429.434156,0.000000,1572053073.841739,1200,598000.000000,82206.109375, ===
===,56,CHECKPOINT,0,429.434197,0.134132,1572053073.841779,1200,598004.000000,82206.109375, ===
===,57,FAILURE-DETECT,0,477.477734,0.000000,1572053121.885316,1250,602276.000000,82206.109375, ===
===,58,FAILURE-DETECT,0,525.525812,0.000000,1572053169.933394,1300,602476.000000,82206.109375, ===
===,59,FINALIZE-START,0,563.977304,0.000000,1572053208.384887,1339,602476.000000,82206.109375, ===
===,60,FINALIZE-STOP,0,565.766615,0.000000,1572053210.174198,1339,572924.000000,82206.125000, ===
===,61,FINALIZE,0,565.766654,1.789428,1572053210.174237,1339,572924.000000,82206.125000, ===
===,0,INIT-START,1,0.007799,0.000000,1572052644.414561,0,39812.000000,0.000000, ===
===,1,INIT-STOP,1,0.157848,0.000000,1572052644.564610,0,56352.000000,138.218750, ===
===,2,INIT,1,0.157883,0.150127,1572052644.564644,0,56572.000000,138.218750, ===
===,3,FAILURE-DETECT,1,0.157905,0.000000,1572052644.564667,0,56572.000000,138.218750, ===
===,4,CHECKPOINT-START,1,0.158358,0.000000,1572052644.565120,0,56572.000000,138.218750, ===
===,5,CHECKPOINT-STOP,1,0.937289,0.000000,1572052645.344051,0,122780.000000,38684.117188, ===
===,6,CHECKPOINT,1,0.937324,0.778985,1572052645.344086,0,122820.000000,38684.117188, ===
===,7,FAILURE-DETECT,1,1.146252,0.000000,1572052645.553014,5,123080.000000,39300.789062, ===
===,8,FAILURE-DETECT,1,3.022085,0.000000,1572052647.428847,50,123256.000000,44850.906250, ===
===,9,FAILURE-DETECT,1,5.106301,0.000000,1572052649.513063,100,123256.000000,51017.703125, ===
===,10,FAILURE-DETECT,1,7.189526,0.000000,1572052651.596288,150,123256.000000,57184.500000, ===
===,11,FAILURE-DETECT,1,9.272404,0.000000,1572052653.679166,200,123256.000000,63351.296875, ===
===,12,CHECKPOINT-START,1,9.272524,0.000000,1572052653.679286,200,123256.000000,24805.398438, ===
===,13,CHECKPOINT-STOP,1,10.047380,0.000000,1572052654.454142,200,186120.000000,63351.296875, ===
===,14,CHECKPOINT,1,10.047415,0.774949,1572052654.454177,200,186156.000000,63351.296875, ===
===,15,FAILURE-DETECT,1,12.131561,0.000000,1572052656.538323,250,186416.000000,69518.093750, ===
===,16,FAILURE-DETECT,1,14.216581,0.000000,1572052658.623343,300,186532.000000,75684.890625, ===
===,17,FAILURE-DETECT,1,16.299644,0.000000,1572052660.706405,350,186532.000000,81851.687500, ===
===,18,FAILURE-DETECT,1,18.385424,0.000000,1572052662.792186,400,186532.000000,88018.484375, ===
===,19,CHECKPOINT-START,1,18.385551,0.000000,1572052662.792313,400,186532.000000,49472.585938, ===
===,20,CHECKPOINT-STOP,1,19.161067,0.000000,1572052663.567829,400,249132.000000,88018.484375, ===
===,21,CHECKPOINT,1,19.161102,0.775575,1572052663.567863,400,249308.000000,88018.484375, ===
===,22,FAILURE-DETECT,1,21.253264,0.000000,1572052665.660026,450,249568.000000,94185.281250, ===
===,23,FAILURE-DETECT,1,23.345753,0.000000,1572052667.752515,500,249808.000000,100352.078125, ===
===,24,FAILURE-DETECT,1,25.435248,0.000000,1572052669.842010,550,250068.000000,106518.875000, ===
===,25,FAILURE-DETECT,1,27.530979,0.000000,1572052671.937741,600,250116.000000,112685.671875, ===
===,26,CHECKPOINT-START,1,27.531060,0.000000,1572052671.937822,600,250116.000000,74139.773438, ===
===,27,CHECKPOINT-STOP,1,28.306385,0.000000,1572052672.713146,600,312672.000000,112685.671875, ===
===,28,CHECKPOINT,1,28.306420,0.775384,1572052672.713182,600,312860.000000,112685.671875, ===
===,29,FAILURE-DETECT,1,30.419156,0.000000,1572052674.825918,650,313384.000000,118852.468750, ===
===,30,FAILURE-DETECT,1,32.538256,0.000000,1572052676.945018,700,313392.000000,125019.265625, ===
===,31,FAILURE-DETECT,1,34.664869,0.000000,1572052679.071631,750,313392.000000,131186.062500, ===
===,32,FAILURE-DETECT,1,36.800956,0.000000,1572052681.207718,800,313392.000000,137352.859375, ===
===,33,CHECKPOINT-START,1,36.801037,0.000000,1572052681.207799,800,313392.000000,98806.960938, ===
===,34,CHECKPOINT-STOP,1,37.582853,0.000000,1572052681.989615,800,375948.000000,137352.859375, ===
===,35,CHECKPOINT,1,37.582887,0.781874,1572052681.989649,800,376172.000000,137352.859375, ===
===,36,FAILURE-DETECT,1,39.728074,0.000000,1572052684.134836,850,376432.000000,143519.656250, ===
===,37,COMM-ERROR,1,43.712809,0.000000,1572052688.119571,880,376668.000000,147219.734375, ===
===,38,FAILURE-DETECT,1,44.540912,0.000000,1572052688.947674,900,376676.000000,149686.453125, ===
===,39,RESTORE-START,1,44.541013,0.000000,1572052688.947775,900,377128.000000,149686.453125, ===
===,40,COMM-ERROR,1,44.541246,0.000000,1572052688.948008,900,377128.000000,149686.453125, ===
===,41,FINALIZE-START,1,44.664382,0.000000,1572052689.071144,900,374388.000000,149686.460938, ===
===,42,FINALIZE-STOP,1,566.267400,0.000000,1572053210.674162,900,346320.000000,149686.476562, ===
===,43,FINALIZE,1,566.267434,521.603112,1572053210.674195,900,346320.000000,149686.476562, ===
===,0,INIT-START,2,0.000079,0.000000,1572052644.415552,0,39948.000000,0.000000, ===
===,1,INIT-STOP,2,0.149143,0.000000,1572052644.564616,0,55696.000000,102.203125, ===
===,2,INIT,2,0.149174,0.149138,1572052644.564646,0,55928.000000,102.203125, ===
===,3,FAILURE-DETECT,2,0.149198,0.000000,1572052644.564671,0,55928.000000,102.203125, ===
===,4,CHECKPOINT-START,2,0.150046,0.000000,1572052644.565519,0,55928.000000,102.203125, ===
===,5,CHECKPOINT-STOP,2,0.927701,0.000000,1572052645.343174,0,57600.000000,2941.984375, ===
===,6,CHECKPOINT,2,0.927735,0.777706,1572052645.343207,0,57680.000000,2941.984375, ===
===,7,FAILURE-DETECT,2,1.129623,0.000000,1572052645.545095,5,57628.000000,3398.109375, ===
