===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000102,0.000000,1571578217.258521,0,39968.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.157660,0.000000,1571578217.416078,0,55800.000000,102.203125, ===
===,2,INIT,0,0.157705,0.157642,1571578217.416123,0,56028.000000,102.203125, ===
===,0,INIT-START,1,0.000073,0.000000,1571578217.258463,0,39964.000000,0.000000, ===
===,1,INIT-STOP,1,0.157701,0.000000,1571578217.416091,0,56540.000000,138.218750, ===
===,2,INIT,1,0.157751,0.157716,1571578217.416140,0,56748.000000,138.218750, ===
===,0,INIT-START,2,0.000083,0.000000,1571578217.258497,0,39924.000000,0.000000, ===
===,1,INIT-STOP,2,0.157665,0.000000,1571578217.416079,0,55780.000000,102.203125, ===
===,2,INIT,2,0.157708,0.157671,1571578217.416121,0,56012.000000,102.203125, ===
===,0,INIT-START,3,0.000077,0.000000,1571578217.258500,0,39996.000000,0.000000, ===
===,1,INIT-STOP,3,0.157668,0.000000,1571578217.416091,0,55972.000000,138.218750, ===
===,2,INIT,3,0.157726,0.157686,1571578217.416148,0,56212.000000,138.218750, ===
===,0,INIT-START,4,0.000109,0.000000,1571578217.258536,0,39872.000000,0.000000, ===
===,1,INIT-STOP,4,0.157652,0.000000,1571578217.416079,0,56956.000000,176.218750, ===
===,2,INIT,4,0.157693,0.157626,1571578217.416119,0,57188.000000,176.218750, ===
===,0,INIT-START,5,0.000092,0.000000,1571578217.258517,0,40276.000000,0.000000, ===
===,1,INIT-STOP,5,0.157666,0.000000,1571578217.416091,0,55856.000000,138.218750, ===
===,2,INIT,5,0.157717,0.157669,1571578217.416141,0,56100.000000,138.218750, ===
===,0,INIT-START,6,0.000083,0.000000,1571578217.258461,0,39832.000000,0.000000, ===
===,1,INIT-STOP,6,0.157701,0.000000,1571578217.416078,0,55996.000000,102.203125, ===
===,2,INIT,6,0.157749,0.157712,1571578217.416126,0,56008.000000,102.203125, ===
===,0,INIT-START,7,0.000094,0.000000,1571578217.258452,0,39964.000000,0.000000, ===
===,1,INIT-STOP,7,0.157733,0.000000,1571578217.416091,0,56696.000000,138.218750, ===
===,2,INIT,7,0.157787,0.157743,1571578217.416145,0,56960.000000,138.218750, ===
===,0,INIT-START,8,0.000097,0.000000,1571578217.258487,0,39988.000000,0.000000, ===
===,1,INIT-STOP,8,0.157689,0.000000,1571578217.416079,0,55916.000000,102.203125, ===
===,2,INIT,8,0.157736,0.157685,1571578217.416125,0,56164.000000,102.203125, ===
===,0,INIT-START,9,0.000077,0.000000,1571578217.258444,0,39932.000000,0.000000, ===
===,1,INIT-STOP,9,0.157725,0.000000,1571578217.416092,0,56252.000000,138.218750, ===
===,2,INIT,9,0.157776,0.157739,1571578217.416142,0,56260.000000,138.218750, ===
===,0,INIT-START,10,0.000081,0.000000,1571578217.258493,0,40404.000000,0.000000, ===
===,1,INIT-STOP,10,0.157683,0.000000,1571578217.416094,0,57340.000000,176.218750, ===
===,2,INIT,10,0.157718,0.157675,1571578217.416129,0,57348.000000,176.218750, ===
===,0,INIT-START,11,0.000094,0.000000,1571578217.258530,0,39964.000000,0.000000, ===
===,1,INIT-STOP,11,0.157657,0.000000,1571578217.416093,0,55972.000000,138.218750, ===
===,2,INIT,11,0.157703,0.157648,1571578217.416138,0,56216.000000,138.218750, ===
===,0,INIT-START,12,0.000113,0.000000,1571578217.258462,0,39968.000000,0.000000, ===
===,1,INIT-STOP,12,0.157749,0.000000,1571578217.416098,0,56396.000000,176.218750, ===
===,2,INIT,12,0.157789,0.157728,1571578217.416136,0,56632.000000,176.218750, ===
===,0,INIT-START,13,0.000073,0.000000,1571578217.258494,0,39708.000000,0.000000, ===
===,1,INIT-STOP,13,0.157688,0.000000,1571578217.416109,0,57360.000000,216.312500, ===
===,2,INIT,13,0.157732,0.157696,1571578217.416152,0,57604.000000,216.312500, ===
===,0,INIT-START,14,0.000088,0.000000,1571578217.258492,0,40000.000000,0.000000, ===
===,1,INIT-STOP,14,0.157692,0.000000,1571578217.416096,0,56500.000000,176.218750, ===
===,2,INIT,14,0.157730,0.157682,1571578217.416133,0,56744.000000,176.218750, ===
===,0,INIT-START,15,0.000099,0.000000,1571578217.258525,0,39980.000000,0.000000, ===
