===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000116,0.000000,1571577001.900961,0,38644.000000,0.000000, ===
===,1,INIT-STOP,0,0.000158,0.000000,1571577001.901003,0,39228.000000,0.000000, ===
===,2,INIT,0,0.000177,0.000103,1571577001.901022,0,39228.000000,0.000000, ===
===,3,ITER,0,0.000366,0.000000,1571577001.901211,0,39228.000000,0.000000, ===
===,4,ITER,0,0.271675,0.000000,1571577002.172520,10000,41764.000000,13344.000000, ===
===,5,ITER,0,0.542816,0.000000,1571577002.443661,20000,44016.000000,26656.000000, ===
===,6,ITER,0,0.811672,0.000000,1571577002.712517,30000,46380.000000,39968.000000, ===
===,7,ITER,0,1.081351,0.000000,1571577002.982195,40000,49012.000000,53344.000000, ===
===,8,ITER,0,1.349481,0.000000,1571577003.250326,50000,51144.000000,66656.000000, ===
===,9,ITER,0,1.618590,0.000000,1571577003.519435,60000,53776.000000,79968.000000, ===
===,10,ITER,0,1.880298,0.000000,1571577003.781143,70000,55912.000000,93344.000000, ===
===,11,ITER,0,2.149506,0.000000,1571577004.050351,80000,58540.000000,106656.000000, ===
===,12,ITER,0,2.419389,0.000000,1571577004.320234,90000,60676.000000,119968.000000, ===
===,13,ITER,0,2.690823,0.000000,1571577004.591668,100000,63304.000000,133344.000000, ===
===,14,ITER,0,2.959350,0.000000,1571577004.860195,110000,65440.000000,146656.000000, ===
===,0,INIT-START,1,0.000111,0.000000,1571577001.901229,0,38644.000000,0.000000, ===
===,1,INIT-STOP,1,0.000166,0.000000,1571577001.901284,0,38992.000000,0.000000, ===
===,2,INIT,1,0.000199,0.000125,1571577001.901316,0,38996.000000,0.000000, ===
===,3,ITER,1,0.000409,0.000000,1571577001.901527,0,38996.000000,0.000000, ===
===,4,ITER,1,0.271459,0.000000,1571577002.172577,10000,41456.000000,13376.000000, ===
===,5,ITER,1,0.542563,0.000000,1571577002.443681,20000,43732.000000,26688.000000, ===
===,6,ITER,1,0.811413,0.000000,1571577002.712531,30000,46096.000000,40000.000000, ===
===,7,ITER,1,1.081095,0.000000,1571577002.982213,40000,48728.000000,53376.000000, ===
===,8,ITER,1,1.349229,0.000000,1571577003.250347,50000,50864.000000,66688.000000, ===
===,9,ITER,1,1.618361,0.000000,1571577003.519479,60000,53496.000000,80000.000000, ===
===,10,ITER,1,1.880042,0.000000,1571577003.781160,70000,55628.000000,93376.000000, ===
===,11,ITER,1,2.149286,0.000000,1571577004.050404,80000,58260.000000,106688.000000, ===
===,12,ITER,1,2.419159,0.000000,1571577004.320277,90000,60392.000000,120000.000000, ===
===,13,ITER,1,2.690594,0.000000,1571577004.591712,100000,63024.000000,133376.000000, ===
