===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000102,0.000000,1570402044.919768,0,38844.000000,0.000000, ===
===,1,INIT-STOP,0,0.041809,0.000000,1570402044.961475,0,104356.000000,0.000000, ===
===,2,INIT,0,0.041837,0.041777,1570402044.961502,0,104532.000000,0.000000, ===
===,3,ITER,0,0.041855,0.000000,1570402044.961521,1,104532.000000,0.000000, ===
===,4,ITER,0,0.275602,0.000000,1570402045.195268,2,169844.000000,104.195312, ===
===,5,ITER,0,0.499130,0.000000,1570402045.418796,3,169984.000000,208.390625, ===
===,6,ITER,0,0.662546,0.000000,1570402045.582212,4,169984.000000,312.585938, ===
===,7,ITER,0,0.829164,0.000000,1570402045.748830,5,170088.000000,416.781250, ===
===,8,ITER,0,0.945485,0.000000,1570402045.865151,6,170088.000000,520.976562, ===
===,9,ITER,0,1.062182,0.000000,1570402045.981848,7,170104.000000,625.171875, ===
===,10,ITER,0,1.228874,0.000000,1570402046.148540,8,170108.000000,729.367188, ===
===,11,ITER,0,1.378885,0.000000,1570402046.298551,9,170116.000000,833.562500, ===
===,12,ITER,0,1.513975,0.000000,1570402046.433641,10,170128.000000,937.757812, ===
===,13,ITER,0,1.680649,0.000000,1570402046.600315,11,170128.000000,1041.953125, ===
===,14,ITER,0,1.847308,0.000000,1570402046.766974,12,170128.000000,1146.148438, ===
===,15,ITER,0,2.013974,0.000000,1570402046.933640,13,170128.000000,1250.343750, ===
===,16,ITER,0,2.180519,0.000000,1570402047.100185,14,170132.000000,1354.539062, ===
===,17,ITER,0,2.347223,0.000000,1570402047.266889,15,170140.000000,1458.734375, ===
===,18,ITER,0,2.508558,0.000000,1570402047.428224,16,170144.000000,1562.929688, ===
===,19,ITER,0,2.632900,0.000000,1570402047.552566,17,170144.000000,1667.125000, ===
===,20,ITER,0,2.799537,0.000000,1570402047.719203,18,170144.000000,1771.320312, ===
===,21,ITER,0,2.961247,0.000000,1570402047.880913,19,170144.000000,1875.515625, ===
===,22,ITER,0,3.127936,0.000000,1570402048.047602,20,170144.000000,1979.710938, ===
===,23,ITER,0,3.294481,0.000000,1570402048.214147,21,170144.000000,2083.906250, ===
===,24,ITER,0,3.461041,0.000000,1570402048.380707,22,170144.000000,2188.101562, ===
===,25,ITER,0,3.627605,0.000000,1570402048.547271,23,170144.000000,2292.296875, ===
===,26,ITER,0,3.794188,0.000000,1570402048.713854,24,170144.000000,2396.492188, ===
===,27,ITER,0,3.959983,0.000000,1570402048.879649,25,170144.000000,2500.687500, ===
===,28,ITER,0,4.083238,0.000000,1570402049.002904,26,170148.000000,2604.882812, ===
===,29,ITER,0,4.249817,0.000000,1570402049.169483,27,170148.000000,2709.078125, ===
===,30,ITER,0,4.416329,0.000000,1570402049.335995,28,170148.000000,2813.273438, ===
===,31,ITER,0,4.582944,0.000000,1570402049.502610,29,170148.000000,2917.468750, ===
===,32,ITER,0,4.749550,0.000000,1570402049.669216,30,170148.000000,3021.664062, ===
===,33,ITER,0,4.881819,0.000000,1570402049.801485,31,170148.000000,3125.859375, ===
===,34,ITER,0,5.022343,0.000000,1570402049.942009,32,170148.000000,3230.054688, ===
