===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000139,0.000000,1571390907.343978,0,38868.000000,0.000000, ===
===,1,INIT-STOP,0,0.042174,0.000000,1571390907.386013,0,104240.000000,0.000000, ===
===,2,INIT,0,0.042201,0.042105,1571390907.386039,0,104476.000000,0.000000, ===
===,3,ITER,0,0.042221,0.000000,1571390907.386060,1,104476.000000,0.000000, ===
===,4,ITER,0,0.322583,0.000000,1571390907.666422,2,169784.000000,104.195312, ===
===,5,ITER,0,0.546677,0.000000,1571390907.890516,3,169920.000000,208.390625, ===
===,6,ITER,0,0.715025,0.000000,1571390908.058864,4,169920.000000,312.585938, ===
===,7,ITER,0,0.883728,0.000000,1571390908.227567,5,170024.000000,416.781250, ===
===,8,ITER,0,1.052857,0.000000,1571390908.396696,6,170028.000000,520.976562, ===
===,9,ITER,0,1.223257,0.000000,1571390908.567096,7,170040.000000,625.171875, ===
===,10,ITER,0,1.392134,0.000000,1571390908.735973,8,170040.000000,729.367188, ===
===,11,ITER,0,1.562910,0.000000,1571390908.906749,9,170048.000000,833.562500, ===
===,12,ITER,0,1.731606,0.000000,1571390909.075445,10,170060.000000,937.757812, ===
===,13,ITER,0,1.900252,0.000000,1571390909.244091,11,170060.000000,1041.953125, ===
===,0,INIT-START,1,0.000121,0.000000,1571390907.344246,0,38888.000000,0.000000, ===
===,1,INIT-STOP,1,0.057361,0.000000,1571390907.401486,0,104500.000000,0.000000, ===
===,2,INIT,1,0.057397,0.057316,1571390907.401521,0,104524.000000,0.000000, ===
===,3,ITER,1,0.057428,0.000000,1571390907.401553,1,104524.000000,0.000000, ===
===,4,ITER,1,0.322272,0.000000,1571390907.666397,2,169904.000000,130.242188, ===
===,5,ITER,1,0.546380,0.000000,1571390907.890505,3,170024.000000,260.484375, ===
===,6,ITER,1,0.714734,0.000000,1571390908.058858,4,170024.000000,390.726562, ===
===,7,ITER,1,0.883425,0.000000,1571390908.227550,5,170024.000000,520.968750, ===
===,8,ITER,1,1.052563,0.000000,1571390908.396688,6,170024.000000,651.210938, ===
===,9,ITER,1,1.222972,0.000000,1571390908.567097,7,170040.000000,781.453125, ===
===,10,ITER,1,1.391819,0.000000,1571390908.735944,8,170040.000000,911.695312, ===
===,11,ITER,1,1.562637,0.000000,1571390908.906761,9,170044.000000,1041.937500, ===
===,12,ITER,1,1.731317,0.000000,1571390909.075442,10,170076.000000,1172.179688, ===
===,13,ITER,1,1.899961,0.000000,1571390909.244086,11,170084.000000,1302.421875, ===
===,0,INIT-START,2,0.000114,0.000000,1571390907.344171,0,38860.000000,0.000000, ===
===,1,INIT-STOP,2,0.057073,0.000000,1571390907.401131,0,104488.000000,0.000000, ===
===,2,INIT,2,0.057106,0.057033,1571390907.401163,0,104504.000000,0.000000, ===
===,3,ITER,2,0.057134,0.000000,1571390907.401192,1,104504.000000,0.000000, ===
===,4,ITER,2,0.322359,0.000000,1571390907.666417,2,170076.000000,182.367188, ===
===,5,ITER,2,0.546425,0.000000,1571390907.890483,3,170364.000000,364.734375, ===
===,6,ITER,2,0.714775,0.000000,1571390908.058833,4,170364.000000,547.101562, ===
===,7,ITER,2,0.883483,0.000000,1571390908.227541,5,170364.000000,729.468750, ===
===,8,ITER,2,1.052643,0.000000,1571390908.396700,6,170364.000000,911.835938, ===
===,9,ITER,2,1.223006,0.000000,1571390908.567064,7,170364.000000,1094.203125, ===
===,10,ITER,2,1.391907,0.000000,1571390908.735965,8,170364.000000,1276.570312, ===
===,11,ITER,2,1.562715,0.000000,1571390908.906773,9,170384.000000,1458.937500, ===
===,12,ITER,2,1.731389,0.000000,1571390909.075447,10,170412.000000,1641.304688, ===
===,13,ITER,2,1.900051,0.000000,1571390909.244109,11,170412.000000,1823.671875, ===
===,0,INIT-START,3,0.000110,0.000000,1571390907.344257,0,38856.000000,0.000000, ===
===,1,INIT-STOP,3,0.058409,0.000000,1571390907.402556,0,104244.000000,0.000000, ===
===,2,INIT,3,0.058444,0.058369,1571390907.402590,0,104484.000000,0.000000, ===
