===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000105,0.000000,1570402134.314008,0,40320.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.104098,0.000000,1570402134.418001,0,50748.000000,70.421875, ===
===,2,INIT,0,0.104139,0.104073,1570402134.418041,0,50972.000000,70.421875, ===
===,3,FINALIZE-START,0,7.589065,0.000000,1570402141.902968,0,51264.000000,17817.601562, ===
===,4,FINALIZE-STOP,0,10.573040,0.000000,1570402144.886943,0,21064.000000,17817.601562, ===
===,5,FINALIZE,0,10.573070,2.984056,1570402144.886972,0,21064.000000,17817.601562, ===
===,0,INIT-START,1,0.000491,0.000000,1570402134.314458,0,42300.000000,0.000000, ===
===,1,INIT-STOP,1,0.104041,0.000000,1570402134.418008,0,53164.000000,95.515625, ===
===,2,INIT,1,0.104092,0.103642,1570402134.418058,0,53392.000000,95.515625, ===
===,3,FINALIZE-START,1,7.593096,0.000000,1570402141.907063,0,53856.000000,24155.820312, ===
===,4,FINALIZE-STOP,1,9.593272,0.000000,1570402143.907239,0,23536.000000,24155.820312, ===
===,5,FINALIZE,1,9.593304,2.000261,1570402143.907271,0,23536.000000,24155.820312, ===
===,0,INIT-START,2,0.000093,0.000000,1570402134.314054,0,40288.000000,0.000000, ===
===,1,INIT-STOP,2,0.104041,0.000000,1570402134.418002,0,50744.000000,70.421875, ===
===,2,INIT,2,0.104082,0.104030,1570402134.418042,0,50952.000000,70.421875, ===
===,3,FINALIZE-START,2,7.586972,0.000000,1570402141.900933,0,51276.000000,17817.601562, ===
===,4,FINALIZE-STOP,2,10.104818,0.000000,1570402144.418779,0,21052.000000,17817.601562, ===
===,5,FINALIZE,2,10.104849,2.517940,1570402144.418809,0,21052.000000,17817.601562, ===
===,0,INIT-START,3,0.000085,0.000000,1570402134.314050,0,40152.000000,0.000000, ===
===,1,INIT-STOP,3,0.104044,0.000000,1570402134.418008,0,50768.000000,95.515625, ===
===,2,INIT,3,0.104090,0.104045,1570402134.418054,0,50924.000000,95.515625, ===
===,3,FINALIZE-START,3,7.586607,0.000000,1570402141.900571,0,51364.000000,24155.820312, ===
===,4,FINALIZE-STOP,3,10.164997,0.000000,1570402144.478962,0,21028.000000,24155.820312, ===
===,5,FINALIZE,3,10.165030,2.578512,1570402144.478995,0,21028.000000,24155.820312, ===
===,0,INIT-START,4,0.000085,0.000000,1570402134.314063,0,40256.000000,0.000000, ===
===,1,INIT-STOP,4,0.104024,0.000000,1570402134.418002,0,51612.000000,122.265625, ===
===,2,INIT,4,0.104070,0.104027,1570402134.418047,0,51732.000000,122.265625, ===
===,3,FINALIZE-START,4,7.586505,0.000000,1570402141.900482,0,52348.000000,30902.570312, ===
===,4,FINALIZE-STOP,4,9.884821,0.000000,1570402144.198799,0,21872.000000,30902.570312, ===
===,5,FINALIZE,4,9.884852,2.298407,1570402144.198830,0,21872.000000,30902.570312, ===
===,0,INIT-START,5,0.000096,0.000000,1570402134.314019,0,40268.000000,0.000000, ===
===,1,INIT-STOP,5,0.104086,0.000000,1570402134.418008,0,50968.000000,95.515625, ===
===,2,INIT,5,0.104132,0.104091,1570402134.418054,0,51148.000000,95.515625, ===
===,3,FINALIZE-START,5,7.586937,0.000000,1570402141.900859,0,51580.000000,24155.820312, ===
===,4,FINALIZE-STOP,5,10.300889,0.000000,1570402144.614812,0,21244.000000,24155.820312, ===
===,5,FINALIZE,5,10.300921,2.714036,1570402144.614843,0,21244.000000,24155.820312, ===
===,0,INIT-START,6,0.000080,0.000000,1570402134.314082,0,40164.000000,0.000000, ===
===,1,INIT-STOP,6,0.104000,0.000000,1570402134.418001,0,50596.000000,70.421875, ===
===,2,INIT,6,0.104042,0.104001,1570402134.418043,0,50820.000000,70.421875, ===
===,3,FINALIZE-START,6,7.586788,0.000000,1570402141.900790,0,51116.000000,17817.601562, ===
===,4,FINALIZE-STOP,6,9.608801,0.000000,1570402143.922803,0,20920.000000,17817.601562, ===
===,5,FINALIZE,6,9.608832,2.022097,1570402143.922833,0,20920.000000,17817.601562, ===
===,0,INIT-START,7,0.000082,0.000000,1570402134.314024,0,40296.000000,0.000000, ===
===,1,INIT-STOP,7,0.104066,0.000000,1570402134.418008,0,51368.000000,95.515625, ===
===,2,INIT,7,0.104112,0.104070,1570402134.418053,0,51416.000000,95.515625, ===
