===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000511,0.000000,1571391006.695602,0,42304.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.110599,0.000000,1571391006.805690,0,52684.000000,70.421875, ===
===,2,INIT,0,0.110645,0.110168,1571391006.805734,0,52888.000000,70.421875, ===
===,0,INIT-START,1,0.000087,0.000000,1571391006.695158,0,40064.000000,0.000000, ===
===,1,INIT-STOP,1,0.110651,0.000000,1571391006.805722,0,50960.000000,95.515625, ===
===,2,INIT,1,0.110704,0.110658,1571391006.805774,0,51184.000000,95.515625, ===
===,0,INIT-START,2,0.000077,0.000000,1571391006.695174,0,40168.000000,0.000000, ===
===,1,INIT-STOP,2,0.110594,0.000000,1571391006.805690,0,50572.000000,70.421875, ===
===,2,INIT,2,0.110639,0.110599,1571391006.805734,0,50776.000000,70.421875, ===
===,0,INIT-START,3,0.000098,0.000000,1571391006.695127,0,40212.000000,0.000000, ===
===,1,INIT-STOP,3,0.110705,0.000000,1571391006.805734,0,50860.000000,95.515625, ===
===,2,INIT,3,0.110747,0.110704,1571391006.805775,0,51020.000000,95.515625, ===
===,0,INIT-START,4,0.000077,0.000000,1571391006.695170,0,40232.000000,0.000000, ===
===,1,INIT-STOP,4,0.110634,0.000000,1571391006.805726,0,51572.000000,122.265625, ===
===,2,INIT,4,0.110668,0.110631,1571391006.805760,0,51708.000000,122.265625, ===
===,0,INIT-START,5,0.000103,0.000000,1571391006.695127,0,40264.000000,0.000000, ===
===,1,INIT-STOP,5,0.110709,0.000000,1571391006.805733,0,50852.000000,95.515625, ===
===,2,INIT,5,0.110753,0.110703,1571391006.805776,0,51024.000000,95.515625, ===
===,0,INIT-START,6,0.000080,0.000000,1571391006.695196,0,40300.000000,0.000000, ===
===,1,INIT-STOP,6,0.110627,0.000000,1571391006.805743,0,50744.000000,70.421875, ===
===,2,INIT,6,0.110676,0.110627,1571391006.805791,0,50960.000000,70.421875, ===
===,0,INIT-START,7,0.000080,0.000000,1571391006.695185,0,40268.000000,0.000000, ===
===,1,INIT-STOP,7,0.110627,0.000000,1571391006.805732,0,51328.000000,95.515625, ===
===,2,INIT,7,0.110666,0.110623,1571391006.805769,0,51344.000000,95.515625, ===
===,0,INIT-START,8,0.000082,0.000000,1571391006.695148,0,40128.000000,0.000000, ===
===,1,INIT-STOP,8,0.110663,0.000000,1571391006.805729,0,50732.000000,70.421875, ===
===,2,INIT,8,0.110697,0.110653,1571391006.805762,0,50748.000000,70.421875, ===
===,0,INIT-START,9,0.000079,0.000000,1571391006.695183,0,40276.000000,0.000000, ===
===,1,INIT-STOP,9,0.110628,0.000000,1571391006.805732,0,50808.000000,95.515625, ===
===,2,INIT,9,0.110667,0.110626,1571391006.805770,0,51044.000000,95.515625, ===
===,0,INIT-START,10,0.000080,0.000000,1571391006.695153,0,40168.000000,0.000000, ===
===,1,INIT-STOP,10,0.110675,0.000000,1571391006.805748,0,51468.000000,122.265625, ===
===,2,INIT,10,0.110713,0.110672,1571391006.805785,0,51672.000000,122.265625, ===
===,0,INIT-START,11,0.000076,0.000000,1571391006.695142,0,40308.000000,0.000000, ===
===,1,INIT-STOP,11,0.110672,0.000000,1571391006.805739,0,50836.000000,95.515625, ===
===,2,INIT,11,0.110711,0.110674,1571391006.805778,0,51068.000000,95.515625, ===
===,0,INIT-START,12,0.000080,0.000000,1571391006.695194,0,40244.000000,0.000000, ===
===,1,INIT-STOP,12,0.110635,0.000000,1571391006.805749,0,51176.000000,122.265625, ===
===,2,INIT,12,0.110672,0.110629,1571391006.805785,0,51260.000000,122.265625, ===
===,0,INIT-START,13,0.000088,0.000000,1571391006.695190,0,40180.000000,0.000000, ===
===,1,INIT-STOP,13,0.110653,0.000000,1571391006.805755,0,51924.000000,150.781250, ===
===,2,INIT,13,0.110689,0.110638,1571391006.805790,0,51980.000000,150.781250, ===
===,0,INIT-START,14,0.000078,0.000000,1571391006.695138,0,40324.000000,0.000000, ===
===,1,INIT-STOP,14,0.110698,0.000000,1571391006.805758,0,51328.000000,122.265625, ===
===,2,INIT,14,0.110738,0.110700,1571391006.805797,0,51396.000000,122.265625, ===
===,0,INIT-START,15,0.000078,0.000000,1571391006.695191,0,40236.000000,0.000000, ===
===,1,INIT-STOP,15,0.110636,0.000000,1571391006.805749,0,50832.000000,95.515625, ===
===,2,INIT,15,0.110670,0.110631,1571391006.805782,0,51060.000000,95.515625, ===
