===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000109,0.000000,1571149777.801597,0,38920.000000,0.000000, ===
===,1,INIT-STOP,0,0.000164,0.000000,1571149777.801652,0,39408.000000,0.000000, ===
===,2,INIT,0,0.000192,0.000117,1571149777.801679,0,39408.000000,0.000000, ===
===,0,INIT-START,1,0.000094,0.000000,1571149777.801429,0,38908.000000,0.000000, ===
===,1,INIT-STOP,1,0.000137,0.000000,1571149777.801472,0,39392.000000,0.000000, ===
===,2,INIT,1,0.000158,0.000115,1571149777.801492,0,39396.000000,0.000000, ===
===,0,INIT-START,2,0.000094,0.000000,1571149777.801436,0,38844.000000,0.000000, ===
===,1,INIT-STOP,2,0.000136,0.000000,1571149777.801478,0,39296.000000,0.000000, ===
===,2,INIT,2,0.000158,0.000113,1571149777.801500,0,39300.000000,0.000000, ===
===,0,INIT-START,3,0.000109,0.000000,1571149777.801622,0,38896.000000,0.000000, ===
===,1,INIT-STOP,3,0.000163,0.000000,1571149777.801676,0,39348.000000,0.000000, ===
===,2,INIT,3,0.000192,0.000126,1571149777.801704,0,39352.000000,0.000000, ===
===,0,INIT-START,4,0.000095,0.000000,1571149777.801572,0,38876.000000,0.000000, ===
===,1,INIT-STOP,4,0.000147,0.000000,1571149777.801625,0,39284.000000,0.000000, ===
===,2,INIT,4,0.000177,0.000123,1571149777.801654,0,39288.000000,0.000000, ===
===,0,INIT-START,5,0.000110,0.000000,1571149777.801377,0,38936.000000,0.000000, ===
===,1,INIT-STOP,5,0.000167,0.000000,1571149777.801434,0,39344.000000,0.000000, ===
===,2,INIT,5,0.000190,0.000141,1571149777.801457,0,39348.000000,0.000000, ===
===,0,INIT-START,6,0.000104,0.000000,1571149777.801488,0,38924.000000,0.000000, ===
===,1,INIT-STOP,6,0.000157,0.000000,1571149777.801542,0,39408.000000,0.000000, ===
===,2,INIT,6,0.000186,0.000129,1571149777.801570,0,39412.000000,0.000000, ===
===,0,INIT-START,7,0.000095,0.000000,1571149777.801628,0,38872.000000,0.000000, ===
===,1,INIT-STOP,7,0.000151,0.000000,1571149777.801684,0,39356.000000,0.000000, ===
===,2,INIT,7,0.000179,0.000127,1571149777.801711,0,39360.000000,0.000000, ===
===,0,INIT-START,8,0.000100,0.000000,1571149777.801439,0,38912.000000,0.000000, ===
===,1,INIT-STOP,8,0.000140,0.000000,1571149777.801479,0,39412.000000,0.000000, ===
===,2,INIT,8,0.000161,0.000115,1571149777.801500,0,39416.000000,0.000000, ===
===,0,INIT-START,9,0.000097,0.000000,1571149777.801595,0,38904.000000,0.000000, ===
===,1,INIT-STOP,9,0.000153,0.000000,1571149777.801651,0,39316.000000,0.000000, ===
===,2,INIT,9,0.000184,0.000124,1571149777.801681,0,39320.000000,0.000000, ===
===,0,INIT-START,10,0.000108,0.000000,1571149777.801572,0,38904.000000,0.000000, ===
===,1,INIT-STOP,10,0.000160,0.000000,1571149777.801625,0,39472.000000,0.000000, ===
===,2,INIT,10,0.000190,0.000131,1571149777.801654,0,39476.000000,0.000000, ===
===,0,INIT-START,11,0.000091,0.000000,1571149777.801631,0,38964.000000,0.000000, ===
===,1,INIT-STOP,11,0.000145,0.000000,1571149777.801685,0,39456.000000,0.000000, ===
===,2,INIT,11,0.000174,0.000119,1571149777.801714,0,39460.000000,0.000000, ===
===,0,INIT-START,12,0.000100,0.000000,1571149777.801383,0,38916.000000,0.000000, ===
===,1,INIT-STOP,12,0.000154,0.000000,1571149777.801437,0,39396.000000,0.000000, ===
===,2,INIT,12,0.000177,0.000126,1571149777.801460,0,39400.000000,0.000000, ===
===,0,INIT-START,13,0.000092,0.000000,1571149777.801507,0,38896.000000,0.000000, ===
===,1,INIT-STOP,13,0.000143,0.000000,1571149777.801558,0,39312.000000,0.000000, ===
===,2,INIT,13,0.000178,0.000122,1571149777.801592,0,39316.000000,0.000000, ===
===,0,INIT-START,14,0.000103,0.000000,1571149777.801584,0,38876.000000,0.000000, ===
===,1,INIT-STOP,14,0.000156,0.000000,1571149777.801637,0,39368.000000,0.000000, ===
===,2,INIT,14,0.000186,0.000129,1571149777.801667,0,39372.000000,0.000000, ===
===,0,INIT-START,15,0.000084,0.000000,1571149777.801519,0,38980.000000,0.000000, ===
===,1,INIT-STOP,15,0.000126,0.000000,1571149777.801561,0,39548.000000,0.000000, ===
===,2,INIT,15,0.000150,0.000106,1571149777.801585,0,39552.000000,0.000000, ===
===,0,INIT-START,16,0.000100,0.000000,1571149777.801610,0,38996.000000,0.000000, ===
===,1,INIT-STOP,16,0.000140,0.000000,1571149777.801650,0,39472.000000,0.000000, ===
===,2,INIT,16,0.000161,0.000104,1571149777.801671,0,39476.000000,0.000000, ===
===,0,INIT-START,17,0.000105,0.000000,1571149777.801465,0,38964.000000,0.000000, ===
===,1,INIT-STOP,17,0.000157,0.000000,1571149777.801517,0,39452.000000,0.000000, ===
===,2,INIT,17,0.000186,0.000120,1571149777.801546,0,39456.000000,0.000000, ===
===,0,INIT-START,18,0.000101,0.000000,1571149777.801382,0,38916.000000,0.000000, ===
===,1,INIT-STOP,18,0.000160,0.000000,1571149777.801441,0,39464.000000,0.000000, ===
===,2,INIT,18,0.000183,0.000124,1571149777.801464,0,39468.000000,0.000000, ===
===,0,INIT-START,19,0.000085,0.000000,1571149777.801505,0,38928.000000,0.000000, ===
===,1,INIT-STOP,19,0.000126,0.000000,1571149777.801546,0,39420.000000,0.000000, ===
===,2,INIT,19,0.000149,0.000107,1571149777.801569,0,39424.000000,0.000000, ===
===,3,FAILURE-GENERATE,19,3.166271,0.000000,1571149780.967691,0,68172.000000,160064.000000, ===
===,0,INIT-START,20,0.000103,0.000000,1571149777.801584,0,38920.000000,0.000000, ===
===,1,INIT-STOP,20,0.000156,0.000000,1571149777.801637,0,39328.000000,0.000000, ===
===,2,INIT,20,0.000186,0.000129,1571149777.801667,0,39332.000000,0.000000, ===
