===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000099,0.000000,1571390710.997535,0,38868.000000,0.000000, ===
===,1,INIT-STOP,0,0.000143,0.000000,1571390710.997579,0,39276.000000,0.000000, ===
===,2,INIT,0,0.000161,0.000102,1571390710.997597,0,39276.000000,0.000000, ===
===,3,ITER,0,0.000316,0.000000,1571390710.997752,0,39276.000000,0.000000, ===
===,4,ITER,0,0.278334,0.000000,1571390711.275770,0,41744.000000,13344.000000, ===
===,5,ITER,0,0.541925,0.000000,1571390711.539361,0,44028.000000,26656.000000, ===
===,6,ITER,0,0.804114,0.000000,1571390711.801550,0,46396.000000,39968.000000, ===
===,7,ITER,0,1.067210,0.000000,1571390712.064646,0,49028.000000,53344.000000, ===
===,8,ITER,0,1.329205,0.000000,1571390712.326641,0,51160.000000,66656.000000, ===
===,9,ITER,0,1.590652,0.000000,1571390712.588088,0,53792.000000,79968.000000, ===
===,10,ITER,0,1.853842,0.000000,1571390712.851278,0,55924.000000,93344.000000, ===
===,11,ITER,0,2.117031,0.000000,1571390713.114467,0,58524.000000,106656.000000, ===
===,12,ITER,0,2.378903,0.000000,1571390713.376339,0,60688.000000,119968.000000, ===
===,13,ITER,0,2.641297,0.000000,1571390713.638733,0,63320.000000,133344.000000, ===
===,14,ITER,0,2.903452,0.000000,1571390713.900888,0,65456.000000,146656.000000, ===
===,15,ITER,0,3.165628,0.000000,1571390714.163064,0,67820.000000,159968.000000, ===
===,16,ITER,0,3.428431,0.000000,1571390714.425867,0,70452.000000,173344.000000, ===
===,17,ITER,0,3.690360,0.000000,1571390714.687796,0,72584.000000,186656.000000, ===
===,0,INIT-START,1,0.000091,0.000000,1571390711.001295,0,38932.000000,0.000000, ===
===,1,INIT-STOP,1,0.000137,0.000000,1571390711.001341,0,39328.000000,0.000000, ===
===,2,INIT,1,0.000162,0.000114,1571390711.001365,0,39332.000000,0.000000, ===
===,3,ITER,1,0.000334,0.000000,1571390711.001538,0,39332.000000,0.000000, ===
===,4,ITER,1,0.274595,0.000000,1571390711.275798,0,41756.000000,13376.000000, ===
===,5,ITER,1,0.538176,0.000000,1571390711.539380,0,44072.000000,26688.000000, ===
===,6,ITER,1,0.800361,0.000000,1571390711.801565,0,46436.000000,40000.000000, ===
===,7,ITER,1,1.063462,0.000000,1571390712.064666,0,49068.000000,53376.000000, ===
===,8,ITER,1,1.325464,0.000000,1571390712.326668,0,51200.000000,66688.000000, ===
===,9,ITER,1,1.586914,0.000000,1571390712.588118,0,53832.000000,80000.000000, ===
===,10,ITER,1,1.850096,0.000000,1571390712.851300,0,55968.000000,93376.000000, ===
===,11,ITER,1,2.113295,0.000000,1571390713.114499,0,58568.000000,106688.000000, ===
===,12,ITER,1,2.375156,0.000000,1571390713.376360,0,60732.000000,120000.000000, ===
===,13,ITER,1,2.637557,0.000000,1571390713.638761,0,63360.000000,133376.000000, ===
===,14,ITER,1,2.899705,0.000000,1571390713.900909,0,65496.000000,146688.000000, ===
===,15,ITER,1,3.161879,0.000000,1571390714.163083,0,67860.000000,160000.000000, ===
===,16,ITER,1,3.424679,0.000000,1571390714.425883,0,70492.000000,173376.000000, ===
===,17,ITER,1,3.686609,0.000000,1571390714.687813,0,72628.000000,186688.000000, ===
===,0,INIT-START,2,0.000088,0.000000,1571390710.995349,0,38876.000000,0.000000, ===
===,1,INIT-STOP,2,0.000136,0.000000,1571390710.995397,0,39276.000000,0.000000, ===
