===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000102,0.000000,1571592979.409435,0,38576.000000,0.000000, ===
===,1,INIT-STOP,0,0.002833,0.000000,1571592979.412166,0,41888.000000,0.000000, ===
===,2,INIT,0,0.002860,0.002795,1571592979.412192,0,42088.000000,0.000000, ===
===,3,ITER,0,0.002883,0.000000,1571592979.412216,1,42088.000000,0.000000, ===
===,4,ITER,0,0.660155,0.000000,1571592980.069488,101,47776.000000,2136.718750, ===
===,5,ITER,0,1.184801,0.000000,1571592980.594134,201,47904.000000,4273.437500, ===
===,6,ITER,0,1.709086,0.000000,1571592981.118419,301,47904.000000,6410.156250, ===
===,7,ITER,0,2.235541,0.000000,1571592981.644874,401,47904.000000,8546.875000, ===
===,8,ITER,0,2.758891,0.000000,1571592982.168224,501,47904.000000,10683.593750, ===
===,9,ITER,0,3.282911,0.000000,1571592982.692244,601,47904.000000,12820.312500, ===
===,10,ITER,0,3.806428,0.000000,1571592983.215761,701,47904.000000,14957.031250, ===
===,11,ITER,0,4.330128,0.000000,1571592983.739461,801,47904.000000,17093.750000, ===
===,12,ITER,0,4.853784,0.000000,1571592984.263117,901,47904.000000,19230.468750, ===
===,0,INIT-START,1,0.000104,0.000000,1571592979.409358,0,38576.000000,0.000000, ===
===,1,INIT-STOP,1,0.003226,0.000000,1571592979.412480,0,41908.000000,0.000000, ===
===,2,INIT,1,0.003263,0.003216,1571592979.412516,0,41920.000000,0.000000, ===
===,3,ITER,1,0.003295,0.000000,1571592979.412549,1,41920.000000,0.000000, ===
===,4,ITER,1,0.660234,0.000000,1571592980.069487,101,47384.000000,2669.531250, ===
===,5,ITER,1,1.184890,0.000000,1571592980.594144,201,47796.000000,5339.062500, ===
===,6,ITER,1,1.709163,0.000000,1571592981.118417,301,47796.000000,8008.593750, ===
===,7,ITER,1,2.235612,0.000000,1571592981.644866,401,47800.000000,10678.125000, ===
===,8,ITER,1,2.758989,0.000000,1571592982.168243,501,47800.000000,13347.656250, ===
===,9,ITER,1,3.282972,0.000000,1571592982.692226,601,47800.000000,16017.187500, ===
===,10,ITER,1,3.806523,0.000000,1571592983.215777,701,47800.000000,18686.718750, ===
===,11,ITER,1,4.330244,0.000000,1571592983.739497,801,47800.000000,21356.250000, ===
===,12,ITER,1,4.853887,0.000000,1571592984.263141,901,47800.000000,24025.781250, ===
===,0,INIT-START,2,0.000087,0.000000,1571592979.409426,0,38652.000000,0.000000, ===
===,1,INIT-STOP,2,0.003206,0.000000,1571592979.412545,0,41896.000000,0.000000, ===
===,2,INIT,2,0.003242,0.003202,1571592979.412580,0,41908.000000,0.000000, ===
===,3,ITER,2,0.003275,0.000000,1571592979.412614,1,41908.000000,0.000000, ===
===,4,ITER,2,0.660137,0.000000,1571592980.069476,101,47536.000000,3739.843750, ===
