===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000101,0.000000,1571594915.511650,0,39812.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.159140,0.000000,1571594915.670689,0,55760.000000,102.203125, ===
===,2,INIT,0,0.159188,0.159123,1571594915.670736,0,55988.000000,102.203125, ===
===,0,INIT-START,1,0.000096,0.000000,1571594915.511671,0,39976.000000,0.000000, ===
===,1,INIT-STOP,1,0.159127,0.000000,1571594915.670701,0,56464.000000,138.218750, ===
===,2,INIT,1,0.159174,0.159133,1571594915.670748,0,56680.000000,138.218750, ===
===,0,INIT-START,2,0.000076,0.000000,1571594915.511732,0,39912.000000,0.000000, ===
===,1,INIT-STOP,2,0.159034,0.000000,1571594915.670690,0,55600.000000,102.203125, ===
===,2,INIT,2,0.159078,0.159040,1571594915.670733,0,55832.000000,102.203125, ===
===,0,INIT-START,3,0.000078,0.000000,1571594915.511741,0,39920.000000,0.000000, ===
===,1,INIT-STOP,3,0.159038,0.000000,1571594915.670701,0,55844.000000,138.218750, ===
===,2,INIT,3,0.159086,0.159046,1571594915.670748,0,56092.000000,138.218750, ===
===,0,INIT-START,4,0.000076,0.000000,1571594915.511690,0,39992.000000,0.000000, ===
===,1,INIT-STOP,4,0.159074,0.000000,1571594915.670688,0,56992.000000,176.218750, ===
===,2,INIT,4,0.159125,0.159087,1571594915.670738,0,57200.000000,176.218750, ===
===,0,INIT-START,5,0.000081,0.000000,1571594915.511739,0,40380.000000,0.000000, ===
===,1,INIT-STOP,5,0.159046,0.000000,1571594915.670704,0,55956.000000,138.218750, ===
===,2,INIT,5,0.159097,0.159058,1571594915.670754,0,56208.000000,138.218750, ===
===,0,INIT-START,6,0.000099,0.000000,1571594915.511715,0,39932.000000,0.000000, ===
===,1,INIT-STOP,6,0.159074,0.000000,1571594915.670690,0,55680.000000,102.203125, ===
===,2,INIT,6,0.159118,0.159064,1571594915.670732,0,55948.000000,102.203125, ===
===,0,INIT-START,7,0.000088,0.000000,1571594915.511676,0,39856.000000,0.000000, ===
===,1,INIT-STOP,7,0.159114,0.000000,1571594915.670701,0,56520.000000,138.218750, ===
===,2,INIT,7,0.159161,0.159120,1571594915.670748,0,56760.000000,138.218750, ===
===,0,INIT-START,8,0.000095,0.000000,1571594915.511650,0,40048.000000,0.000000, ===
===,1,INIT-STOP,8,0.159134,0.000000,1571594915.670689,0,55896.000000,102.203125, ===
===,2,INIT,8,0.159183,0.159142,1571594915.670737,0,56164.000000,102.203125, ===
===,0,INIT-START,9,0.000084,0.000000,1571594915.511676,0,39800.000000,0.000000, ===
===,1,INIT-STOP,9,0.159112,0.000000,1571594915.670704,0,56004.000000,138.218750, ===
===,2,INIT,9,0.159166,0.159128,1571594915.670757,0,56016.000000,138.218750, ===
===,0,INIT-START,10,0.000103,0.000000,1571594915.511650,0,39980.000000,0.000000, ===
===,1,INIT-STOP,10,0.159170,0.000000,1571594915.670717,0,57260.000000,176.218750, ===
===,2,INIT,10,0.159209,0.159162,1571594915.670755,0,57268.000000,176.218750, ===
===,0,INIT-START,11,0.000079,0.000000,1571594915.511716,0,39992.000000,0.000000, ===
===,1,INIT-STOP,11,0.159071,0.000000,1571594915.670708,0,55984.000000,138.218750, ===
