===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000118,0.000000,1571585373.694674,0,38676.000000,0.000000, ===
===,1,INIT-STOP,0,0.000172,0.000000,1571585373.694728,0,39376.000000,0.000000, ===
===,2,INIT,0,0.000202,0.000130,1571585373.694757,0,39376.000000,0.000000, ===
===,3,ITER,0,0.000479,0.000000,1571585373.695035,0,39376.000000,0.000000, ===
===,4,ITER,0,0.271224,0.000000,1571585373.965780,10000,41920.000000,13344.000000, ===
===,5,ITER,0,0.539296,0.000000,1571585374.233852,20000,44172.000000,26656.000000, ===
===,6,ITER,0,0.805445,0.000000,1571585374.500001,30000,46536.000000,39968.000000, ===
===,7,ITER,0,1.071800,0.000000,1571585374.766356,40000,49168.000000,53344.000000, ===
===,8,ITER,0,1.335683,0.000000,1571585375.030239,50000,51300.000000,66656.000000, ===
===,9,ITER,0,1.599144,0.000000,1571585375.293700,60000,53932.000000,79968.000000, ===
===,10,ITER,0,1.864181,0.000000,1571585375.558737,70000,56068.000000,93344.000000, ===
===,11,ITER,0,2.127650,0.000000,1571585375.822206,80000,58696.000000,106656.000000, ===
===,12,ITER,0,2.391431,0.000000,1571585376.085987,90000,60832.000000,119968.000000, ===
===,13,ITER,0,2.655664,0.000000,1571585376.350220,100000,63460.000000,133344.000000, ===
===,14,ITER,0,2.919674,0.000000,1571585376.614230,110000,65596.000000,146656.000000, ===
===,15,ITER,0,3.183004,0.000000,1571585376.877560,120000,67960.000000,159968.000000, ===
===,16,ITER,0,3.448106,0.000000,1571585377.142662,130000,70592.000000,173344.000000, ===
===,17,ITER,0,3.711532,0.000000,1571585377.406088,140000,72728.000000,186656.000000, ===
===,18,ITER,0,3.975256,0.000000,1571585377.669812,150000,75360.000000,199968.000000, ===
===,19,ITER,0,4.233134,0.000000,1571585377.927690,160000,77492.000000,213344.000000, ===
===,20,ITER,0,4.496399,0.000000,1571585378.190955,170000,80124.000000,226656.000000, ===
===,21,ITER,0,4.760605,0.000000,1571585378.455161,180000,82256.000000,239968.000000, ===
===,22,ITER,0,5.025212,0.000000,1571585378.719768,190000,84888.000000,253344.000000, ===
===,23,ITER,0,5.289185,0.000000,1571585378.983741,200000,87020.000000,266656.000000, ===
===,24,ITER,0,5.552628,0.000000,1571585379.247184,210000,89388.000000,279968.000000, ===
===,25,ITER,0,5.817504,0.000000,1571585379.512060,220000,92020.000000,293344.000000, ===
===,26,ITER,0,6.080557,0.000000,1571585379.775112,230000,94152.000000,306656.000000, ===
===,27,ITER,0,6.344103,0.000000,1571585380.038658,240000,96784.000000,319968.000000, ===
===,28,ITER,0,6.608702,0.000000,1571585380.303258,250000,98916.000000,333344.000000, ===
===,29,ITER,0,6.872271,0.000000,1571585380.566827,260000,101548.000000,346656.000000, ===
===,30,ITER,0,7.135909,0.000000,1571585380.830465,270000,103684.000000,359968.000000, ===
