===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000115,0.000000,1570396663.388804,0,39012.000000,0.000000, ===
===,1,INIT-STOP,0,0.057260,0.000000,1570396663.445949,0,104372.000000,0.000000, ===
===,2,INIT,0,0.057292,0.057220,1570396663.445980,0,104616.000000,0.000000, ===
===,3,ITER,0,0.057315,0.000000,1570396663.446004,1,104616.000000,0.000000, ===
===,4,ITER,0,0.315154,0.000000,1570396663.703843,2,169928.000000,104.195312, ===
===,5,ITER,0,0.542712,0.000000,1570396663.931401,3,170068.000000,208.390625, ===
===,6,ITER,0,0.658686,0.000000,1570396664.047374,4,170068.000000,312.585938, ===
===,7,ITER,0,0.772037,0.000000,1570396664.160726,5,170172.000000,416.781250, ===
===,8,ITER,0,0.885718,0.000000,1570396664.274407,6,170172.000000,520.976562, ===
===,9,ITER,0,0.999442,0.000000,1570396664.388131,7,170184.000000,625.171875, ===
===,10,ITER,0,1.112854,0.000000,1570396664.501543,8,170188.000000,729.367188, ===
===,11,ITER,0,1.228476,0.000000,1570396664.617164,9,170200.000000,833.562500, ===
===,12,ITER,0,1.341773,0.000000,1570396664.730462,10,170216.000000,937.757812, ===
===,13,ITER,0,1.455059,0.000000,1570396664.843748,11,170216.000000,1041.953125, ===
===,14,ITER,0,1.568361,0.000000,1570396664.957050,12,170220.000000,1146.148438, ===
===,15,ITER,0,1.681644,0.000000,1570396665.070333,13,170220.000000,1250.343750, ===
===,16,ITER,0,1.794948,0.000000,1570396665.183637,14,170224.000000,1354.539062, ===
===,17,ITER,0,1.908252,0.000000,1570396665.296940,15,170236.000000,1458.734375, ===
===,18,ITER,0,2.021487,0.000000,1570396665.410176,16,170240.000000,1562.929688, ===
===,19,ITER,0,2.134863,0.000000,1570396665.523552,17,170240.000000,1667.125000, ===
===,20,ITER,0,2.313066,0.000000,1570396665.701755,18,170240.000000,1771.320312, ===
===,21,ITER,0,2.448574,0.000000,1570396665.837263,19,170240.000000,1875.515625, ===
===,22,ITER,0,2.561848,0.000000,1570396665.950537,20,170240.000000,1979.710938, ===
===,23,ITER,0,2.675049,0.000000,1570396666.063738,21,170240.000000,2083.906250, ===
===,24,ITER,0,2.788261,0.000000,1570396666.176950,22,170240.000000,2188.101562, ===
===,25,ITER,0,2.901502,0.000000,1570396666.290191,23,170240.000000,2292.296875, ===
===,26,ITER,0,3.014732,0.000000,1570396666.403421,24,170240.000000,2396.492188, ===
===,27,ITER,0,3.150704,0.000000,1570396666.539393,25,170240.000000,2500.687500, ===
===,28,ITER,0,3.269383,0.000000,1570396666.658072,26,170244.000000,2604.882812, ===
===,29,ITER,0,3.382622,0.000000,1570396666.771311,27,170244.000000,2709.078125, ===
===,30,ITER,0,3.495892,0.000000,1570396666.884581,28,170244.000000,2813.273438, ===
===,31,ITER,0,3.609153,0.000000,1570396666.997842,29,170244.000000,2917.468750, ===
===,32,ITER,0,3.722414,0.000000,1570396667.111103,30,170244.000000,3021.664062, ===
===,33,ITER,0,3.835712,0.000000,1570396667.224401,31,170244.000000,3125.859375, ===
===,34,ITER,0,3.948984,0.000000,1570396667.337673,32,170244.000000,3230.054688, ===
===,35,ITER,0,4.091759,0.000000,1570396667.480448,33,170244.000000,3334.250000, ===
===,36,ITER,0,4.205167,0.000000,1570396667.593856,34,170244.000000,3438.445312, ===
===,37,ITER,0,4.318339,0.000000,1570396667.707028,35,170244.000000,3542.640625, ===
===,38,ITER,0,4.431528,0.000000,1570396667.820216,36,170244.000000,3646.835938, ===
===,39,ITER,0,4.544788,0.000000,1570396667.933476,37,170244.000000,3751.031250, ===
===,40,ITER,0,4.657997,0.000000,1570396668.046686,38,170244.000000,3855.226562, ===
===,41,ITER,0,4.771256,0.000000,1570396668.159945,39,170244.000000,3959.421875, ===
===,42,ITER,0,4.884494,0.000000,1570396668.273183,40,170244.000000,4063.617188, ===
===,43,ITER,0,4.997756,0.000000,1570396668.386445,41,170244.000000,4167.812500, ===
===,44,ITER,0,5.111044,0.000000,1570396668.499733,42,170244.000000,4272.007812, ===
===,45,ITER,0,5.224359,0.000000,1570396668.613047,43,170244.000000,4376.203125, ===
===,46,ITER,0,5.337583,0.000000,1570396668.726272,44,170244.000000,4480.398438, ===
===,47,ITER,0,5.450819,0.000000,1570396668.839508,45,170244.000000,4584.593750, ===
===,48,ITER,0,5.564100,0.000000,1570396668.952788,46,170244.000000,4688.789062, ===
===,49,ITER,0,5.677354,0.000000,1570396669.066042,47,170244.000000,4792.984375, ===
===,50,ITER,0,5.790648,0.000000,1570396669.179337,48,170244.000000,4897.179688, ===
===,51,ITER,0,5.903882,0.000000,1570396669.292571,49,170244.000000,5001.375000, ===
