===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000183,0.000000,0,8184.000000,0.000000, ===
===,1,INIT-STOP,0,0.873301,0.000000,0,73384.000000,0.000000, ===
===,2,INIT,0,0.873360,0.873229,0,73384.000000,0.000000, ===
===,3,ITER,0,0.873405,0.000000,1,73388.000000,0.000000, ===
===,4,ITER,0,4.954250,0.000000,2,138856.000000,104.195312, ===
===,5,ITER,0,7.928938,0.000000,3,139080.000000,208.390625, ===
===,6,ITER,0,9.389345,0.000000,4,139136.000000,312.585938, ===
===,7,ITER,0,10.767264,0.000000,5,139164.000000,416.781250, ===
===,8,ITER,0,12.185726,0.000000,6,139196.000000,520.976562, ===
===,9,ITER,0,13.574789,0.000000,7,139220.000000,625.171875, ===
===,10,ITER,0,14.888325,0.000000,8,139240.000000,729.367188, ===
===,11,ITER,0,16.259363,0.000000,9,139260.000000,833.562500, ===
===,12,ITER,0,17.654964,0.000000,10,139268.000000,937.757812, ===
===,13,ITER,0,19.077579,0.000000,11,139280.000000,1041.953125, ===
===,14,ITER,0,20.536519,0.000000,12,139280.000000,1146.148438, ===
===,15,ITER,0,21.890138,0.000000,13,139280.000000,1250.343750, ===
===,16,ITER,0,23.272160,0.000000,14,139288.000000,1354.539062, ===
===,0,INIT-START,1,0.000134,0.000000,0,8152.000000,0.000000, ===
===,1,INIT-STOP,1,0.119323,0.000000,0,73408.000000,0.000000, ===
===,2,INIT,1,0.119375,0.119306,0,73408.000000,0.000000, ===
===,3,ITER,1,0.119415,0.000000,1,73412.000000,0.000000, ===
===,4,ITER,1,4.951615,0.000000,2,138868.000000,130.242188, ===
===,5,ITER,1,7.928551,0.000000,3,139172.000000,260.484375, ===
===,6,ITER,1,9.389270,0.000000,4,139228.000000,390.726562, ===
===,7,ITER,1,10.767142,0.000000,5,139292.000000,520.968750, ===
===,8,ITER,1,12.185674,0.000000,6,139324.000000,651.210938, ===
===,9,ITER,1,13.574706,0.000000,7,139352.000000,781.453125, ===
===,10,ITER,1,14.887918,0.000000,8,139356.000000,911.695312, ===
===,11,ITER,1,16.259297,0.000000,9,139376.000000,1041.937500, ===
===,12,ITER,1,17.654494,0.000000,10,139416.000000,1172.179688, ===
===,13,ITER,1,19.078541,0.000000,11,139428.000000,1302.421875, ===
===,14,ITER,1,20.535438,0.000000,12,139428.000000,1432.664062, ===
===,15,ITER,1,21.889660,0.000000,13,139432.000000,1562.906250, ===
===,16,ITER,1,23.272053,0.000000,14,139448.000000,1693.148438, ===
===,0,INIT-START,2,0.000129,0.000000,0,8160.000000,0.000000, ===
===,1,INIT-STOP,2,0.275844,0.000000,0,73416.000000,0.000000, ===
===,2,INIT,2,0.275899,0.275830,0,73416.000000,0.000000, ===
===,3,ITER,2,0.275943,0.000000,1,73420.000000,0.000000, ===
===,4,ITER,2,4.682321,0.000000,2,139028.000000,182.367188, ===
===,5,ITER,2,7.661273,0.000000,3,139456.000000,364.734375, ===
===,6,ITER,2,9.112266,0.000000,4,139500.000000,547.101562, ===
===,7,ITER,2,10.491950,0.000000,5,139552.000000,729.468750, ===
===,8,ITER,2,11.911751,0.000000,6,139600.000000,911.835938, ===
===,9,ITER,2,13.298186,0.000000,7,139636.000000,1094.203125, ===
===,10,ITER,2,14.611053,0.000000,8,139644.000000,1276.570312, ===
===,11,ITER,2,15.985006,0.000000,9,139680.000000,1458.937500, ===
===,12,ITER,2,17.374176,0.000000,10,139716.000000,1641.304688, ===
===,13,ITER,2,18.799346,0.000000,11,139732.000000,1823.671875, ===
===,14,ITER,2,20.258386,0.000000,12,139736.000000,2006.039062, ===
