===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.003243,0.000000,0,8180.000000,0.000000, ===
===,1,INIT-STOP,0,1.427241,0.000000,0,73380.000000,0.000000, ===
===,2,INIT,0,1.427290,1.424112,0,73380.000000,0.000000, ===
===,3,ITER,0,1.427331,0.000000,1,73384.000000,0.000000, ===
===,4,ITER,0,5.457505,0.000000,2,138860.000000,104.195312, ===
===,5,ITER,0,8.512692,0.000000,3,139116.000000,208.390625, ===
===,6,ITER,0,10.022231,0.000000,4,139140.000000,312.585938, ===
===,7,ITER,0,11.405071,0.000000,5,139168.000000,416.781250, ===
===,8,ITER,0,12.804789,0.000000,6,139192.000000,520.976562, ===
===,9,ITER,0,14.307204,0.000000,7,139204.000000,625.171875, ===
===,10,ITER,0,15.875035,0.000000,8,139216.000000,729.367188, ===
===,11,ITER,0,17.307018,0.000000,9,139224.000000,833.562500, ===
===,12,ITER,0,18.684451,0.000000,10,139248.000000,937.757812, ===
===,13,ITER,0,20.050599,0.000000,11,139276.000000,1041.953125, ===
===,14,ITER,0,21.428397,0.000000,12,139276.000000,1146.148438, ===
===,15,ITER,0,22.792927,0.000000,13,139276.000000,1250.343750, ===
===,16,ITER,0,24.250397,0.000000,14,139284.000000,1354.539062, ===
===,17,ITER,0,26.034963,0.000000,15,139284.000000,1458.734375, ===
===,18,ITER,0,27.533082,0.000000,16,139284.000000,1562.929688, ===
===,19,ITER,0,28.986262,0.000000,17,139284.000000,1667.125000, ===
===,20,ITER,0,30.382344,0.000000,18,139284.000000,1771.320312, ===
===,21,ITER,0,31.976956,0.000000,19,139284.000000,1875.515625, ===
===,22,ITER,0,33.409419,0.000000,20,139284.000000,1979.710938, ===
===,23,ITER,0,34.819381,0.000000,21,139284.000000,2083.906250, ===
===,24,ITER,0,36.188271,0.000000,22,139284.000000,2188.101562, ===
===,25,ITER,0,37.631626,0.000000,23,139284.000000,2292.296875, ===
===,26,ITER,0,39.038382,0.000000,24,139284.000000,2396.492188, ===
===,27,ITER,0,40.382375,0.000000,25,139288.000000,2500.687500, ===
===,28,ITER,0,41.797184,0.000000,26,139288.000000,2604.882812, ===
===,29,ITER,0,43.182325,0.000000,27,139288.000000,2709.078125, ===
===,30,ITER,0,44.898230,0.000000,28,139288.000000,2813.273438, ===
===,31,ITER,0,46.788453,0.000000,29,139288.000000,2917.468750, ===
===,32,ITER,0,48.583432,0.000000,30,139292.000000,3021.664062, ===
===,33,ITER,0,50.351810,0.000000,31,139292.000000,3125.859375, ===
===,34,ITER,0,52.089278,0.000000,32,139296.000000,3230.054688, ===
===,35,ITER,0,53.820445,0.000000,33,139296.000000,3334.250000, ===
===,36,ITER,0,55.460792,0.000000,34,139300.000000,3438.445312, ===
===,37,ITER,0,57.164174,0.000000,35,139300.000000,3542.640625, ===
===,38,ITER,0,58.900633,0.000000,36,139304.000000,3646.835938, ===
===,39,ITER,0,60.470370,0.000000,37,139304.000000,3751.031250, ===
===,40,ITER,0,62.042947,0.000000,38,139308.000000,3855.226562, ===
===,41,ITER,0,63.578929,0.000000,39,139308.000000,3959.421875, ===
===,42,ITER,0,65.118728,0.000000,40,139308.000000,4063.617188, ===
===,43,ITER,0,66.667732,0.000000,41,139312.000000,4167.812500, ===
===,44,ITER,0,68.146210,0.000000,42,139312.000000,4272.007812, ===
===,45,ITER,0,69.723582,0.000000,43,139316.000000,4376.203125, ===
===,46,ITER,0,71.640287,0.000000,44,139316.000000,4480.398438, ===
===,47,ITER,0,73.400386,0.000000,45,139320.000000,4584.593750, ===
===,48,ITER,0,75.140378,0.000000,46,139320.000000,4688.789062, ===
===,49,ITER,0,76.839750,0.000000,47,139324.000000,4792.984375, ===
===,50,ITER,0,78.429364,0.000000,48,139324.000000,4897.179688, ===
===,51,ITER,0,80.038792,0.000000,49,139328.000000,5001.375000, ===
===,52,ITER,0,81.691840,0.000000,50,139328.000000,5105.570312, ===
===,53,ITER,0,83.283209,0.000000,51,139332.000000,5209.765625, ===
===,54,ITER,0,84.865716,0.000000,52,139332.000000,5313.960938, ===
