===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000106,0.000000,1571413922.893785,0,40276.000000,0.000000, ===
=== TESTS ON REPARTITIONING MODE === 
===,1,INIT-STOP,0,0.096696,0.000000,1571413922.990375,0,54144.000000,90.953125, ===
===,2,INIT,0,0.096743,0.096676,1571413922.990421,0,54196.000000,90.953125, ===
===,3,FINALIZE-START,0,54.372437,0.000000,1571413977.266116,0,55580.000000,129326.851562, ===
===,4,FINALIZE-STOP,0,56.992403,0.000000,1571413979.886082,0,25008.000000,129326.851562, ===
===,5,FINALIZE,0,56.992443,2.620060,1571413979.886122,0,25008.000000,129326.851562, ===
===,0,INIT-START,1,0.000092,0.000000,1571413922.893764,0,40244.000000,0.000000, ===
===,1,INIT-STOP,1,0.096711,0.000000,1571413922.990383,0,54824.000000,123.109375, ===
===,2,INIT,1,0.096759,0.096708,1571413922.990430,0,54920.000000,123.109375, ===
===,3,FINALIZE-START,1,54.371701,0.000000,1571413977.265373,0,56544.000000,174989.195312, ===
===,4,FINALIZE-STOP,1,56.832743,0.000000,1571413979.726415,0,25788.000000,174989.195312, ===
===,5,FINALIZE,1,56.832787,2.461142,1571413979.726458,0,25788.000000,174989.195312, ===
===,0,INIT-START,2,0.000078,0.000000,1571413922.893674,0,40212.000000,0.000000, ===
===,1,INIT-STOP,2,0.096779,0.000000,1571413922.990375,0,54148.000000,90.953125, ===
===,2,INIT,2,0.096826,0.096787,1571413922.990421,0,54236.000000,90.953125, ===
===,3,FINALIZE-START,2,54.368239,0.000000,1571413977.261835,0,55652.000000,129326.851562, ===
===,4,FINALIZE-STOP,2,56.928312,0.000000,1571413979.821907,0,25020.000000,129326.851562, ===
===,5,FINALIZE,2,56.928352,2.560168,1571413979.821948,0,25020.000000,129326.851562, ===
===,0,INIT-START,3,0.000075,0.000000,1571413922.893696,0,40212.000000,0.000000, ===
===,1,INIT-STOP,3,0.096763,0.000000,1571413922.990384,0,54344.000000,123.109375, ===
===,2,INIT,3,0.096810,0.096773,1571413922.990430,0,54380.000000,123.109375, ===
===,3,FINALIZE-START,3,54.366314,0.000000,1571413977.259935,0,56016.000000,174989.195312, ===
===,4,FINALIZE-STOP,3,57.056345,0.000000,1571413979.949966,0,25216.000000,174989.195312, ===
===,5,FINALIZE,3,57.056388,2.690184,1571413979.950008,0,25216.000000,174989.195312, ===
===,0,INIT-START,4,0.000079,0.000000,1571413922.893668,0,40308.000000,0.000000, ===
===,1,INIT-STOP,4,0.096787,0.000000,1571413922.990376,0,55200.000000,157.140625, ===
===,2,INIT,4,0.096833,0.096796,1571413922.990421,0,55428.000000,157.140625, ===
===,3,FINALIZE-START,4,54.367066,0.000000,1571413977.260655,0,57204.000000,223258.726562, ===
===,4,FINALIZE-STOP,4,57.000263,0.000000,1571413979.893851,0,26284.000000,223258.726562, ===
===,5,FINALIZE,4,57.000293,2.633319,1571413979.893882,0,26284.000000,223258.726562, ===
===,0,INIT-START,5,0.000088,0.000000,1571413922.893695,0,40312.000000,0.000000, ===
===,1,INIT-STOP,5,0.096776,0.000000,1571413922.990383,0,54348.000000,123.109375, ===
===,2,INIT,5,0.096823,0.096787,1571413922.990430,0,54448.000000,123.109375, ===
===,3,FINALIZE-START,5,54.367301,0.000000,1571413977.260908,0,56024.000000,174989.195312, ===
===,4,FINALIZE-STOP,5,55.700475,0.000000,1571413978.594082,0,25248.000000,174989.195312, ===
===,5,FINALIZE,5,55.700519,1.333276,1571413978.594125,0,25248.000000,174989.195312, ===
===,0,INIT-START,6,0.000078,0.000000,1571413922.893707,0,40256.000000,0.000000, ===
===,1,INIT-STOP,6,0.096746,0.000000,1571413922.990375,0,54080.000000,90.953125, ===
===,2,INIT,6,0.096792,0.096752,1571413922.990420,0,54256.000000,90.953125, ===
===,3,FINALIZE-START,6,54.372693,0.000000,1571413977.266322,0,55652.000000,129326.851562, ===
===,4,FINALIZE-STOP,6,56.460289,0.000000,1571413979.353918,0,25000.000000,129326.851562, ===
===,5,FINALIZE,6,56.460330,2.087693,1571413979.353958,0,25000.000000,129326.851562, ===
===,0,INIT-START,7,0.000090,0.000000,1571413922.893767,0,40256.000000,0.000000, ===
===,1,INIT-STOP,7,0.096706,0.000000,1571413922.990382,0,54812.000000,123.109375, ===
===,2,INIT,7,0.096752,0.096700,1571413922.990428,0,54952.000000,123.109375, ===
===,3,FINALIZE-START,7,54.367870,0.000000,1571413977.261547,0,56584.000000,174989.195312, ===
===,4,FINALIZE-STOP,7,56.964266,0.000000,1571413979.857943,0,25792.000000,174989.195312, ===
===,5,FINALIZE,7,56.964309,2.596497,1571413979.857986,0,25792.000000,174989.195312, ===
===,0,INIT-START,8,0.000075,0.000000,1571413922.893679,0,40292.000000,0.000000, ===
===,1,INIT-STOP,8,0.096771,0.000000,1571413922.990374,0,54200.000000,90.953125, ===
===,2,INIT,8,0.096817,0.096780,1571413922.990421,0,54340.000000,90.953125, ===
===,3,FINALIZE-START,8,54.367391,0.000000,1571413977.260994,0,55776.000000,129326.851562, ===
===,4,FINALIZE-STOP,8,57.428505,0.000000,1571413980.322109,0,25100.000000,129326.851562, ===
===,5,FINALIZE,8,57.428545,3.061210,1571413980.322148,0,25100.000000,129326.851562, ===
===,0,INIT-START,9,0.000084,0.000000,1571413922.893759,0,40164.000000,0.000000, ===
===,1,INIT-STOP,9,0.096712,0.000000,1571413922.990387,0,54188.000000,123.109375, ===
===,2,INIT,9,0.096754,0.096709,1571413922.990428,0,54308.000000,123.109375, ===
===,3,FINALIZE-START,9,54.369322,0.000000,1571413977.262997,0,55924.000000,174989.195312, ===
===,4,FINALIZE-STOP,9,57.008633,0.000000,1571413979.902308,0,25088.000000,174989.195312, ===
===,5,FINALIZE,9,57.008668,2.639402,1571413979.902343,0,25088.000000,174989.195312, ===
===,0,INIT-START,10,0.000081,0.000000,1571413922.893731,0,40296.000000,0.000000, ===
===,1,INIT-STOP,10,0.096753,0.000000,1571413922.990403,0,55348.000000,157.140625, ===
===,2,INIT,10,0.096785,0.096743,1571413922.990434,0,55348.000000,157.140625, ===
===,3,FINALIZE-START,10,54.367081,0.000000,1571413977.260731,0,57200.000000,223258.726562, ===
===,4,FINALIZE-STOP,10,56.940379,0.000000,1571413979.834028,0,26260.000000,223258.726562, ===
===,5,FINALIZE,10,56.940412,2.573391,1571413979.834062,0,26260.000000,223258.726562, ===
===,0,INIT-START,11,0.000077,0.000000,1571413922.893715,0,40128.000000,0.000000, ===
===,1,INIT-STOP,11,0.096752,0.000000,1571413922.990390,0,54176.000000,123.109375, ===
===,2,INIT,11,0.096794,0.096756,1571413922.990431,0,54216.000000,123.109375, ===
===,3,FINALIZE-START,11,54.368765,0.000000,1571413977.262403,0,55860.000000,174989.195312, ===
===,4,FINALIZE-STOP,11,56.596275,0.000000,1571413979.489912,0,25052.000000,174989.195312, ===
===,5,FINALIZE,11,56.596316,2.227605,1571413979.489954,0,25052.000000,174989.195312, ===
===,0,INIT-START,12,0.000097,0.000000,1571413922.893763,0,40220.000000,0.000000, ===
===,1,INIT-STOP,12,0.096738,0.000000,1571413922.990404,0,54420.000000,157.140625, ===
===,2,INIT,12,0.096772,0.096717,1571413922.990437,0,54584.000000,157.140625, ===
===,3,FINALIZE-START,12,54.369040,0.000000,1571413977.262706,0,56408.000000,223258.726562, ===
===,4,FINALIZE-STOP,12,56.344479,0.000000,1571413979.238145,0,25448.000000,223258.726562, ===
===,5,FINALIZE,12,56.344523,1.975542,1571413979.238188,0,25448.000000,223258.726562, ===
===,0,INIT-START,13,0.000080,0.000000,1571413922.893734,0,40220.000000,0.000000, ===
===,1,INIT-STOP,13,0.096752,0.000000,1571413922.990406,0,55488.000000,193.156250, ===
===,2,INIT,13,0.096786,0.096742,1571413922.990438,0,55552.000000,193.156250, ===
===,3,FINALIZE-START,13,54.368224,0.000000,1571413977.261878,0,57576.000000,274284.429688, ===
===,4,FINALIZE-STOP,13,56.832537,0.000000,1571413979.726190,0,26464.000000,274284.429688, ===
===,5,FINALIZE,13,56.832580,2.464408,1571413979.726233,0,26464.000000,274284.429688, ===
===,0,INIT-START,14,0.000080,0.000000,1571413922.893740,0,40156.000000,0.000000, ===
===,1,INIT-STOP,14,0.096747,0.000000,1571413922.990407,0,54456.000000,157.140625, ===
===,2,INIT,14,0.096783,0.096743,1571413922.990442,0,54648.000000,157.140625, ===
===,3,FINALIZE-START,14,54.367565,0.000000,1571413977.261225,0,56484.000000,223258.726562, ===
===,4,FINALIZE-STOP,14,56.412308,0.000000,1571413979.305968,0,25496.000000,223258.726562, ===
===,5,FINALIZE,14,56.412340,2.044835,1571413979.305999,0,25496.000000,223258.726562, ===
===,0,INIT-START,15,0.000074,0.000000,1571413922.893715,0,40304.000000,0.000000, ===
===,1,INIT-STOP,15,0.096752,0.000000,1571413922.990393,0,54412.000000,123.109375, ===
