===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
===,0,INIT-START,0,0.000116,0.000000,1570372665.417456,0,38908.000000,0.000000, ===
===,1,INIT-STOP,0,0.000168,0.000000,1570372665.417508,0,39352.000000,0.000000, ===
===,2,INIT,0,0.000188,0.000128,1570372665.417527,0,39352.000000,0.000000, ===
===,3,FINALIZE-START,0,6.579710,0.000000,1570372671.997050,0,98956.000000,0.000000, ===
===,4,FINALIZE-STOP,0,9.717459,0.000000,1570372675.134798,0,70508.000000,0.000000, ===
===,5,FINALIZE,0,9.717498,3.137833,1570372675.134838,0,70508.000000,0.000000, ===
===,0,INIT-START,1,0.000081,0.000000,1570372665.417467,0,38948.000000,0.000000, ===
===,1,INIT-STOP,1,0.000126,0.000000,1570372665.417512,0,39376.000000,0.000000, ===
===,2,INIT,1,0.000160,0.000130,1570372665.417546,0,39380.000000,0.000000, ===
===,3,FINALIZE-START,1,6.579666,0.000000,1570372671.997052,0,98956.000000,0.000000, ===
===,4,FINALIZE-STOP,1,8.417634,0.000000,1570372673.835020,0,70540.000000,0.000000, ===
===,5,FINALIZE,1,8.417675,1.838053,1570372673.835061,0,70540.000000,0.000000, ===
===,0,INIT-START,2,0.000083,0.000000,1570372665.417525,0,38904.000000,0.000000, ===
===,1,INIT-STOP,2,0.000136,0.000000,1570372665.417578,0,39348.000000,0.000000, ===
===,2,INIT,2,0.000166,0.000131,1570372665.417607,0,39352.000000,0.000000, ===
===,3,FINALIZE-START,2,6.579627,0.000000,1570372671.997069,0,98960.000000,0.000000, ===
===,4,FINALIZE-STOP,2,9.601434,0.000000,1570372675.018875,0,70504.000000,0.000000, ===
===,5,FINALIZE,2,9.601472,3.021887,1570372675.018914,0,70504.000000,0.000000, ===
===,0,INIT-START,3,0.000090,0.000000,1570372665.417466,0,38892.000000,0.000000, ===
===,1,INIT-STOP,3,0.000137,0.000000,1570372665.417513,0,39324.000000,0.000000, ===
===,2,INIT,3,0.000171,0.000134,1570372665.417546,0,39328.000000,0.000000, ===
===,3,FINALIZE-START,3,6.579713,0.000000,1570372671.997089,0,98932.000000,0.000000, ===
===,4,FINALIZE-STOP,3,8.502074,0.000000,1570372673.919450,0,70488.000000,0.000000, ===
===,5,FINALIZE,3,8.502116,1.922444,1570372673.919492,0,70488.000000,0.000000, ===
===,0,INIT-START,4,0.000093,0.000000,1570372665.417642,0,39436.000000,0.000000, ===
===,1,INIT-STOP,4,0.000134,0.000000,1570372665.417683,0,39480.000000,0.000000, ===
===,2,INIT,4,0.000154,0.000107,1570372665.417703,0,39484.000000,0.000000, ===
===,3,FINALIZE-START,4,6.579564,0.000000,1570372671.997113,0,99088.000000,0.000000, ===
===,4,FINALIZE-STOP,4,7.962193,0.000000,1570372673.379742,0,70644.000000,0.000000, ===
===,5,FINALIZE,4,7.962234,1.382713,1570372673.379783,0,70644.000000,0.000000, ===
===,0,INIT-START,5,0.000081,0.000000,1570372665.417541,0,38956.000000,0.000000, ===
===,1,INIT-STOP,5,0.000141,0.000000,1570372665.417601,0,39396.000000,0.000000, ===
===,2,INIT,5,0.000176,0.000137,1570372665.417635,0,39400.000000,0.000000, ===
===,3,FINALIZE-START,5,6.579680,0.000000,1570372671.997140,0,99004.000000,0.000000, ===
===,4,FINALIZE-STOP,5,8.449448,0.000000,1570372673.866908,0,70568.000000,0.000000, ===
===,5,FINALIZE,5,8.449490,1.869854,1570372673.866950,0,70568.000000,0.000000, ===
===,0,INIT-START,6,0.000084,0.000000,1570372665.417664,0,39024.000000,0.000000, ===
===,1,INIT-STOP,6,0.000137,0.000000,1570372665.417718,0,39504.000000,0.000000, ===
===,2,INIT,6,0.000166,0.000121,1570372665.417747,0,39508.000000,0.000000, ===
===,3,FINALIZE-START,6,6.579583,0.000000,1570372671.997164,0,99112.000000,0.000000, ===
===,4,FINALIZE-STOP,6,9.157415,0.000000,1570372674.574996,0,70652.000000,0.000000, ===
===,5,FINALIZE,6,9.157456,2.577918,1570372674.575036,0,70652.000000,0.000000, ===
===,0,INIT-START,7,0.000087,0.000000,1570372665.417582,0,38884.000000,0.000000, ===
===,1,INIT-STOP,7,0.000141,0.000000,1570372665.417635,0,39320.000000,0.000000, ===
===,2,INIT,7,0.000170,0.000131,1570372665.417664,0,39324.000000,0.000000, ===
===,3,FINALIZE-START,7,6.579686,0.000000,1570372671.997181,0,98928.000000,0.000000, ===
===,4,FINALIZE-STOP,7,8.362089,0.000000,1570372673.779584,0,70480.000000,0.000000, ===
===,5,FINALIZE,7,8.362127,1.782482,1570372673.779622,0,70480.000000,0.000000, ===
===,0,INIT-START,8,0.000090,0.000000,1570372665.417627,0,38908.000000,0.000000, ===
===,1,INIT-STOP,8,0.000141,0.000000,1570372665.417678,0,39356.000000,0.000000, ===
===,2,INIT,8,0.000182,0.000130,1570372665.417718,0,39360.000000,0.000000, ===
===,3,FINALIZE-START,8,6.579670,0.000000,1570372671.997207,0,98964.000000,0.000000, ===
===,4,FINALIZE-STOP,8,9.645657,0.000000,1570372675.063194,0,70504.000000,0.000000, ===
===,5,FINALIZE,8,9.645696,3.066072,1570372675.063232,0,70504.000000,0.000000, ===
===,0,INIT-START,9,0.000075,0.000000,1570372665.417587,0,38964.000000,0.000000, ===
===,1,INIT-STOP,9,0.000117,0.000000,1570372665.417629,0,39400.000000,0.000000, ===
===,2,INIT,9,0.000140,0.000106,1570372665.417652,0,39404.000000,0.000000, ===
===,3,FINALIZE-START,9,6.579718,0.000000,1570372671.997230,0,99008.000000,0.000000, ===
===,4,FINALIZE-STOP,9,8.701441,0.000000,1570372674.118953,0,70568.000000,0.000000, ===
===,5,FINALIZE,9,8.701483,2.121807,1570372674.118995,0,70568.000000,0.000000, ===
===,0,INIT-START,10,0.000096,0.000000,1570372665.417652,0,38924.000000,0.000000, ===
===,1,INIT-STOP,10,0.000170,0.000000,1570372665.417726,0,39360.000000,0.000000, ===
===,2,INIT,10,0.000215,0.000163,1570372665.417769,0,39364.000000,0.000000, ===
===,3,FINALIZE-START,10,6.579740,0.000000,1570372671.997296,0,98968.000000,0.000000, ===
===,4,FINALIZE-STOP,10,8.517503,0.000000,1570372673.935059,0,70516.000000,0.000000, ===
===,5,FINALIZE,10,8.517544,1.937856,1570372673.935099,0,70516.000000,0.000000, ===
===,0,INIT-START,11,0.000069,0.000000,1570372665.417484,0,38920.000000,0.000000, ===
===,1,INIT-STOP,11,0.000110,0.000000,1570372665.417525,0,39352.000000,0.000000, ===
===,2,INIT,11,0.000137,0.000106,1570372665.417551,0,39356.000000,0.000000, ===
===,3,FINALIZE-START,11,6.579866,0.000000,1570372671.997281,0,98952.000000,0.000000, ===
===,4,FINALIZE-STOP,11,8.777486,0.000000,1570372674.194901,0,70520.000000,0.000000, ===
===,5,FINALIZE,11,8.777517,2.197692,1570372674.194932,0,70520.000000,0.000000, ===
===,0,INIT-START,12,0.000100,0.000000,1570372665.417590,0,38908.000000,0.000000, ===
===,1,INIT-STOP,12,0.000154,0.000000,1570372665.417644,0,39352.000000,0.000000, ===
===,2,INIT,12,0.000182,0.000132,1570372665.417671,0,39356.000000,0.000000, ===
===,3,FINALIZE-START,12,6.579812,0.000000,1570372671.997302,0,98944.000000,0.000000, ===
===,4,FINALIZE-STOP,12,9.009602,0.000000,1570372674.427091,0,70508.000000,0.000000, ===
===,5,FINALIZE,12,9.009643,2.429872,1570372674.427132,0,70508.000000,0.000000, ===
===,0,INIT-START,13,0.000079,0.000000,1570372665.417664,0,39336.000000,0.000000, ===
===,1,INIT-STOP,13,0.000130,0.000000,1570372665.417715,0,39352.000000,0.000000, ===
===,2,INIT,13,0.000163,0.000122,1570372665.417748,0,39356.000000,0.000000, ===
===,3,FINALIZE-START,13,6.579744,0.000000,1570372671.997329,0,98944.000000,0.000000, ===
===,4,FINALIZE-STOP,13,8.997467,0.000000,1570372674.415051,0,70516.000000,0.000000, ===
===,5,FINALIZE,13,8.997508,2.417809,1570372674.415093,0,70516.000000,0.000000, ===
===,0,INIT-START,14,0.000093,0.000000,1570372665.417660,0,38980.000000,0.000000, ===
===,1,INIT-STOP,14,0.000153,0.000000,1570372665.417720,0,39488.000000,0.000000, ===
===,2,INIT,14,0.000180,0.000124,1570372665.417746,0,39492.000000,0.000000, ===
===,3,FINALIZE-START,14,6.579784,0.000000,1570372671.997351,0,99080.000000,0.000000, ===
===,4,FINALIZE-STOP,14,9.613242,0.000000,1570372675.030809,0,70640.000000,0.000000, ===
===,5,FINALIZE,14,9.613282,3.033539,1570372675.030848,0,70640.000000,0.000000, ===
===,0,INIT-START,15,0.000087,0.000000,1570372665.417655,0,38956.000000,0.000000, ===
===,1,INIT-STOP,15,0.000156,0.000000,1570372665.417724,0,39376.000000,0.000000, ===
===,2,INIT,15,0.000186,0.000138,1570372665.417754,0,39380.000000,0.000000, ===
===,3,FINALIZE-START,15,6.579803,0.000000,1570372671.997371,0,98976.000000,0.000000, ===
===,4,FINALIZE-STOP,15,8.441792,0.000000,1570372673.859359,0,70540.000000,0.000000, ===
===,5,FINALIZE,15,8.441832,1.862068,1570372673.859399,0,70540.000000,0.000000, ===
===,0,INIT-START,16,0.000083,0.000000,1570372665.417511,0,39440.000000,0.000000, ===
===,1,INIT-STOP,16,0.000138,0.000000,1570372665.417566,0,39468.000000,0.000000, ===
===,2,INIT,16,0.000170,0.000128,1570372665.417597,0,39472.000000,0.000000, ===
===,3,FINALIZE-START,16,6.579965,0.000000,1570372671.997393,0,99076.000000,0.000000, ===
===,4,FINALIZE-STOP,16,9.645775,0.000000,1570372675.063203,0,70644.000000,0.000000, ===
===,5,FINALIZE,16,9.645812,3.065888,1570372675.063239,0,70644.000000,0.000000, ===
===,0,INIT-START,17,0.000069,0.000000,1570372665.417473,0,38952.000000,0.000000, ===
===,1,INIT-STOP,17,0.000113,0.000000,1570372665.417517,0,39348.000000,0.000000, ===
===,2,INIT,17,0.000148,0.000117,1570372665.417551,0,39352.000000,0.000000, ===
===,3,FINALIZE-START,17,6.580011,0.000000,1570372671.997415,0,98956.000000,0.000000, ===
===,4,FINALIZE-STOP,17,8.137952,0.000000,1570372673.555356,0,70544.000000,0.000000, ===
===,5,FINALIZE,17,8.137995,1.558025,1570372673.555399,0,70544.000000,0.000000, ===
===,0,INIT-START,18,0.000073,0.000000,1570372665.417589,0,38880.000000,0.000000, ===
===,1,INIT-STOP,18,0.000117,0.000000,1570372665.417633,0,39312.000000,0.000000, ===
===,2,INIT,18,0.000138,0.000105,1570372665.417653,0,39316.000000,0.000000, ===
===,3,FINALIZE-START,18,6.579927,0.000000,1570372671.997443,0,98924.000000,0.000000, ===
===,4,FINALIZE-STOP,18,9.709299,0.000000,1570372675.126815,0,70480.000000,0.000000, ===
===,5,FINALIZE,18,9.709339,3.129455,1570372675.126855,0,70480.000000,0.000000, ===
===,0,INIT-START,19,0.000075,0.000000,1570372665.417466,0,38892.000000,0.000000, ===
===,1,INIT-STOP,19,0.000124,0.000000,1570372665.417515,0,39292.000000,0.000000, ===
===,2,INIT,19,0.000157,0.000128,1570372665.417548,0,39296.000000,0.000000, ===
===,3,FINALIZE-START,19,6.580073,0.000000,1570372671.997464,0,98900.000000,0.000000, ===
===,4,FINALIZE-STOP,19,8.597640,0.000000,1570372674.015031,0,70476.000000,0.000000, ===
===,5,FINALIZE,19,8.597682,2.017651,1570372674.015072,0,70476.000000,0.000000, ===
===,0,INIT-START,20,0.000069,0.000000,1570372665.417516,0,38964.000000,0.000000, ===
===,1,INIT-STOP,20,0.000114,0.000000,1570372665.417561,0,39404.000000,0.000000, ===
===,2,INIT,20,0.000135,0.000106,1570372665.417582,0,39408.000000,0.000000, ===
===,3,FINALIZE-START,20,6.580043,0.000000,1570372671.997490,0,99012.000000,0.000000, ===
===,4,FINALIZE-STOP,20,8.305757,0.000000,1570372673.723204,0,70572.000000,0.000000, ===
===,5,FINALIZE,20,8.305798,1.725798,1570372673.723244,0,70572.000000,0.000000, ===
===,0,INIT-START,21,0.000081,0.000000,1570372665.417515,0,38936.000000,0.000000, ===
===,1,INIT-STOP,21,0.000138,0.000000,1570372665.417572,0,39356.000000,0.000000, ===
===,2,INIT,21,0.000167,0.000129,1570372665.417601,0,39360.000000,0.000000, ===
===,3,FINALIZE-START,21,6.580077,0.000000,1570372671.997511,0,98964.000000,0.000000, ===
===,4,FINALIZE-STOP,21,8.581600,0.000000,1570372673.999034,0,70548.000000,0.000000, ===
===,5,FINALIZE,21,8.581641,2.001606,1570372673.999074,0,70548.000000,0.000000, ===
===,0,INIT-START,22,0.000096,0.000000,1570372665.417674,0,38972.000000,0.000000, ===
===,1,INIT-STOP,22,0.000151,0.000000,1570372665.417729,0,39472.000000,0.000000, ===
===,2,INIT,22,0.000180,0.000128,1570372665.417758,0,39476.000000,0.000000, ===
